sample,definition,variant,information,strategy,calibration,fold,n,loss_bp,below_rate
full,EQ,original,B,boosting,raw,2025-12,139,2.2104220084174053,0.2014388489208633
full,EQ,original,B,boosting,raw,2026-01,137,1.5736716837007094,0.18248175182481752
full,EQ,original,B,boosting,raw,2026-02,128,1.9692493568318377,0.1640625
full,EQ,original,B,boosting,raw,2026-03,105,2.7732268831931033,0.2571428571428571
full,EQ,original,B,linear,raw,2025-12,139,2.455687283587684,0.17985611510791366
full,EQ,original,B,linear,raw,2026-01,137,1.4984099952487226,0.08759124087591241
full,EQ,original,B,linear,raw,2026-02,128,1.909185778417434,0.171875
full,EQ,original,B,linear,raw,2026-03,105,2.755828351614538,0.34285714285714286
full,EQ,original,B,ml_selected,raw,2025-12,139,2.193727794669999,0.17266187050359713
full,EQ,original,B,ml_selected,raw,2026-01,137,1.4243812747445108,0.10036496350364964
full,EQ,original,B,ml_selected,raw,2026-02,128,1.8886385182617218,0.16015625
full,EQ,original,B,ml_selected,raw,2026-03,105,2.64677960577464,0.30238095238095236
full,EQ,original,B,qrf,raw,2025-12,139,2.1939241185919887,0.17266187050359713
full,EQ,original,B,qrf,raw,2026-01,137,1.420977541163544,0.0948905109489051
full,EQ,original,B,qrf,raw,2026-02,128,1.8784782487394889,0.15625
full,EQ,original,B,qrf,raw,2026-03,105,2.660634144593038,0.3047619047619048
full,EQ,original,B,threshold,raw,2025-12,139,2.5262490037179153,0.16546762589928057
full,EQ,original,B,threshold,raw,2026-01,137,1.4636258864469052,0.145985401459854
full,EQ,original,B,threshold,raw,2026-02,128,2.2379686308465208,0.1953125
full,EQ,original,B,threshold,raw,2026-03,105,2.9920421531957424,0.38095238095238093
full,EQ,original,F,boosting,raw,2025-12,139,2.161731873259092,0.17266187050359713
full,EQ,original,F,boosting,raw,2026-01,137,1.570041434666775,0.19708029197080293
full,EQ,original,F,boosting,raw,2026-02,128,1.9494042377524723,0.1796875
full,EQ,original,F,boosting,raw,2026-03,105,3.0812911639880993,0.3142857142857143
full,EQ,original,F,linear,raw,2025-12,139,2.515044162313872,0.17266187050359713
full,EQ,original,F,linear,raw,2026-01,137,1.5330934915577819,0.08759124087591241
full,EQ,original,F,linear,raw,2026-02,128,2.277364022251004,0.171875
full,EQ,original,F,linear,raw,2026-03,105,2.826188428757104,0.3523809523809524
full,EQ,original,F,ml_selected,raw,2025-12,139,2.1582630237944085,0.17446043165467626
full,EQ,original,F,ml_selected,raw,2026-01,137,1.4714372777898306,0.18248175182481752
full,EQ,original,F,ml_selected,raw,2026-02,128,1.8497512581975903,0.158203125
full,EQ,original,F,ml_selected,raw,2026-03,105,2.6868500486461193,0.2976190476190476
full,EQ,original,F,qrf,raw,2025-12,139,2.1713267979359365,0.17985611510791366
full,EQ,original,F,qrf,raw,2026-01,137,1.4698312143601564,0.18248175182481752
full,EQ,original,F,qrf,raw,2026-02,128,1.860672968267893,0.15625
full,EQ,original,F,qrf,raw,2026-03,105,2.6902239745196543,0.3142857142857143
full,EQ,original,F,threshold,raw,2025-12,139,2.372398878621799,0.17266187050359713
full,EQ,original,F,threshold,raw,2026-01,137,1.543559992372045,0.16058394160583941
full,EQ,original,F,threshold,raw,2026-02,128,2.4113342021528132,0.21875
full,EQ,original,F,threshold,raw,2026-03,105,3.128209234216438,0.38095238095238093
full,EQ,original,R,boosting,raw,2025-12,139,2.2230694017360193,0.19424460431654678
full,EQ,original,R,boosting,raw,2026-01,137,1.3899386709093213,0.12408759124087591
full,EQ,original,R,boosting,raw,2026-02,128,1.8822682910020616,0.1328125
full,EQ,original,R,boosting,raw,2026-03,105,2.7740225727092107,0.29523809523809524
full,EQ,original,R,linear,raw,2025-12,139,2.460673556074698,0.17985611510791366
full,EQ,original,R,linear,raw,2026-01,137,1.4984099952487226,0.08759124087591241
full,EQ,original,R,linear,raw,2026-02,128,1.9055565860051786,0.1640625
full,EQ,original,R,linear,raw,2026-03,105,2.797989561480535,0.37142857142857144
full,EQ,original,R,ml_selected,raw,2025-12,139,2.2230694017360193,0.19424460431654678
full,EQ,original,R,ml_selected,raw,2026-01,137,1.3899386709093213,0.12408759124087591
full,EQ,original,R,ml_selected,raw,2026-02,128,1.9066314601242336,0.162109375
full,EQ,original,R,ml_selected,raw,2026-03,105,2.6866861712824774,0.30238095238095236
full,EQ,original,R,qrf,raw,2025-12,139,2.2072833981291757,0.19424460431654678
full,EQ,original,R,qrf,raw,2026-01,137,1.4915163445902666,0.17518248175182483
full,EQ,original,R,qrf,raw,2026-02,128,1.912798332198872,0.1640625
full,EQ,original,R,qrf,raw,2026-03,105,2.7000514374223377,0.29523809523809524
full,EQ,original,R,threshold,raw,2025-12,139,2.2928691771876566,0.17985611510791366
