definition,variant,reference,excluded_day,remaining_n,raw_gain_pct,calibrated_gain_pct
EQ,original,linear,2026-03-02T00:00:00+00:00,97,5.405441330989347,-2.9550167083630896
EQ,original,linear,2026-03-03T00:00:00+00:00,97,4.68881911689879,-3.009318532655736
EQ,original,linear,2026-03-04T00:00:00+00:00,97,4.247863460497847,-8.724477718300028
EQ,original,linear,2026-03-05T00:00:00+00:00,97,6.1345422738152795,-4.599873256817344
EQ,original,linear,2026-03-06T00:00:00+00:00,102,5.533611383087833,-2.871519010002155
EQ,original,linear,2026-03-09T00:00:00+00:00,96,2.6189722842729024,-5.16976656985686
EQ,original,linear,2026-03-10T00:00:00+00:00,96,3.6725489298798153,-4.244124551700179
EQ,original,linear,2026-03-11T00:00:00+00:00,96,4.308170306355386,-3.7706013060559984
EQ,original,linear,2026-03-12T00:00:00+00:00,96,5.525892322547,-4.488585373865028
EQ,original,linear,2026-03-13T00:00:00+00:00,101,5.057054726132193,-3.8024385347167122
EQ,original,linear,2026-03-16T00:00:00+00:00,96,5.375433540929697,-4.573562628783634
EQ,original,linear,2026-03-17T00:00:00+00:00,96,7.99754330193373,-1.286925931927474
EQ,original,linear,2026-03-18T00:00:00+00:00,96,5.899980741917665,-2.748289791808034
EQ,original,linear,2026-03-19T00:00:00+00:00,102,2.698562650024039,-3.6898914096284985
EQ,original,threshold,2026-03-02T00:00:00+00:00,97,14.364145991745602,-2.5661771906773323
EQ,original,threshold,2026-03-03T00:00:00+00:00,97,13.427107029720798,-3.0250461358986236
EQ,original,threshold,2026-03-04T00:00:00+00:00,97,14.087226476561366,-9.498429066381142
EQ,original,threshold,2026-03-05T00:00:00+00:00,97,16.22121062436944,-3.447754818557902
EQ,original,threshold,2026-03-06T00:00:00+00:00,102,14.191431501178432,-3.4920325219065296
EQ,original,threshold,2026-03-09T00:00:00+00:00,96,11.421174562948933,-4.829905892159458
EQ,original,threshold,2026-03-10T00:00:00+00:00,96,14.073433778454946,-3.2381050932383193
EQ,original,threshold,2026-03-11T00:00:00+00:00,96,13.215899591450098,-3.269441953153107
EQ,original,threshold,2026-03-12T00:00:00+00:00,96,15.191310458151197,-3.7075570276525305
EQ,original,threshold,2026-03-13T00:00:00+00:00,101,13.499497083696365,-3.832637507151415
EQ,original,threshold,2026-03-16T00:00:00+00:00,96,15.218886325088032,-4.580545973286521
EQ,original,threshold,2026-03-17T00:00:00+00:00,96,16.33860751937525,-1.3509575482651304
EQ,original,threshold,2026-03-18T00:00:00+00:00,96,15.304549080066554,-2.8117217949688245
EQ,original,threshold,2026-03-19T00:00:00+00:00,102,11.12962305823565,-3.2829447249192123
EQ,own_scale,linear,2026-03-02T00:00:00+00:00,97,6.4718380798698405,-3.868443255073517
EQ,own_scale,linear,2026-03-03T00:00:00+00:00,97,5.711936266109685,-3.930690564694883
EQ,own_scale,linear,2026-03-04T00:00:00+00:00,97,3.6151892137510577,-12.36213337722296
EQ,own_scale,linear,2026-03-05T00:00:00+00:00,97,7.256902266372556,-5.705417040507932
EQ,own_scale,linear,2026-03-06T00:00:00+00:00,102,6.772916451817734,-3.4984149664153863
EQ,own_scale,linear,2026-03-09T00:00:00+00:00,96,3.0329088635013823,-6.146844460582712
EQ,own_scale,linear,2026-03-10T00:00:00+00:00,96,4.223798216436725,-5.007458403388942
EQ,own_scale,linear,2026-03-11T00:00:00+00:00,96,5.152330575944641,-4.55770178198196
EQ,own_scale,linear,2026-03-12T00:00:00+00:00,96,6.493543521322942,-5.467844799445154
EQ,own_scale,linear,2026-03-13T00:00:00+00:00,101,6.33878463910329,-4.7384340799973
EQ,own_scale,linear,2026-03-16T00:00:00+00:00,96,6.260396247179678,-5.464296474918506
EQ,own_scale,linear,2026-03-17T00:00:00+00:00,96,9.25621406890701,-2.484572707061372
EQ,own_scale,linear,2026-03-18T00:00:00+00:00,96,7.231155057428873,-3.475921899553458
EQ,own_scale,linear,2026-03-19T00:00:00+00:00,102,3.3687308444340425,-4.703214888772322
EQ,own_scale,threshold,2026-03-02T00:00:00+00:00,97,3.937679788583903,-1.8387782447800927
