definition,variant,reference,day,n,raw_advantage_sum_bp,calibrated_advantage_sum_bp
EQ,original,linear,2026-03-02T00:00:00+00:00,8,-0.8648125833508091,-2.4523917245026454
EQ,original,linear,2026-03-03T00:00:00+00:00,8,1.148196361471411,-2.23792564021674
EQ,original,linear,2026-03-04T00:00:00+00:00,8,4.492759719091525,5.653689523433349
EQ,original,linear,2026-03-05T00:00:00+00:00,8,-2.1158150184356046,0.5796651583276613
EQ,original,linear,2026-03-06T00:00:00+00:00,3,-1.3825435414959983,-2.3364753848601474
EQ,original,linear,2026-03-09T00:00:00+00:00,9,7.3515360419263365,1.9783075042060556
EQ,original,linear,2026-03-10T00:00:00+00:00,9,4.6659432357881006,-0.011689124500228742
EQ,original,linear,2026-03-11T00:00:00+00:00,9,3.2214073948670015,-0.9326159494059957
EQ,original,linear,2026-03-12T00:00:00+00:00,9,-1.2274099645279233,0.38173385392758874
EQ,original,linear,2026-03-13T00:00:00+00:00,4,0.16101015321249756,-0.4103911026740026
EQ,original,linear,2026-03-16T00:00:00+00:00,9,-0.7901556692875791,0.8259765818706082
EQ,original,linear,2026-03-17T00:00:00+00:00,9,-5.7719599746076,-5.983011200794209
EQ,original,linear,2026-03-18T00:00:00+00:00,9,-1.1928702865176557,-3.02021035912489
EQ,original,linear,2026-03-19T00:00:00+00:00,3,6.935244043519629,-0.5632158888540776
EQ,original,threshold,2026-03-02T00:00:00+00:00,8,0.8585360463916136,-2.760833986119321
EQ,original,threshold,2026-03-03T00:00:00+00:00,8,3.8371332733669683,-1.7349214986538475
EQ,original,threshold,2026-03-04T00:00:00+00:00,8,8.872332206577338,7.2737591011467275
EQ,original,threshold,2026-03-05T00:00:00+00:00,8,-3.26998452680857,-1.1545216404281198
EQ,original,threshold,2026-03-06T00:00:00+00:00,3,1.132257067741157,-0.5724702991544606
EQ,original,threshold,2026-03-09T00:00:00+00:00,9,11.445106726885658,1.7905028770078208
EQ,original,threshold,2026-03-10T00:00:00+00:00,9,3.535754767046525,-1.4960970823087592
EQ,original,threshold,2026-03-11T00:00:00+00:00,9,7.751290504415355,-1.4391538085768891
EQ,original,threshold,2026-03-12T00:00:00+00:00,9,-2.2210153363058236,-0.6421645442201631
EQ,original,threshold,2026-03-13T00:00:00+00:00,4,3.947374666704136,0.12279625820584106
EQ,original,threshold,2026-03-16T00:00:00+00:00,9,-2.3852022245349573,1.3107271178486728
EQ,original,threshold,2026-03-17T00:00:00+00:00,9,0.5057396789565252,-5.386951993050811
EQ,original,threshold,2026-03-18T00:00:00+00:00,9,0.7390875386632993,-2.425459011103806
EQ,original,threshold,2026-03-19T00:00:00+00:00,3,11.594304095784157,-0.9426724817053266
EQ,own_scale,linear,2026-03-02T00:00:00+00:00,8,-1.2999519849726,-2.878226232724716
EQ,own_scale,linear,2026-03-03T00:00:00+00:00,8,0.7890679122814723,-2.6133346997171847
EQ,own_scale,linear,2026-03-04T00:00:00+00:00,8,8.507473767002264,9.152316427205083
EQ,own_scale,linear,2026-03-05T00:00:00+00:00,8,-2.5575270729746475,0.4557305681225259
EQ,own_scale,linear,2026-03-06T00:00:00+00:00,3,-2.3587374822160703,-3.2809351424460953
EQ,own_scale,linear,2026-03-09T00:00:00+00:00,9,8.678319707777828,1.6323868456261916
