definition,variant,reference,day,n,raw_advantage_sum_bp,calibrated_advantage_sum_bp
EQ,own_scale,linear,2026-03-10T00:00:00+00:00,9,5.677207239217952,-0.7789402407388393
EQ,own_scale,linear,2026-03-11T00:00:00+00:00,9,3.5247455665354184,-1.6485398834482652
EQ,own_scale,linear,2026-03-12T00:00:00+00:00,9,-1.3789603774827255,0.008205943476823352
EQ,own_scale,linear,2026-03-13T00:00:00+00:00,4,-0.9137427680688197,-0.722549433177583
EQ,own_scale,linear,2026-03-16T00:00:00+00:00,9,-0.7315261180310657,0.3325078388677526
EQ,own_scale,linear,2026-03-17T00:00:00+00:00,9,-6.298750849673168,-5.891719398583757
EQ,own_scale,linear,2026-03-18T00:00:00+00:00,9,-2.1484959759945834,-3.852122719111532
EQ,own_scale,linear,2026-03-19T00:00:00+00:00,3,7.518310985244078,-0.6881052623463939
EQ,own_scale,threshold,2026-03-02T00:00:00+00:00,8,1.4219767286087157,-2.1059375763539268
EQ,own_scale,threshold,2026-03-03T00:00:00+00:00,8,1.049053085254577,-1.9979546011844085
EQ,own_scale,threshold,2026-03-04T00:00:00+00:00,8,6.23209868044467,8.529009918687471
EQ,own_scale,threshold,2026-03-05T00:00:00+00:00,8,-4.8959087293747015,-0.3102788652378945
EQ,own_scale,threshold,2026-03-06T00:00:00+00:00,3,-2.728135826855759,-2.9067617305839315
EQ,own_scale,threshold,2026-03-09T00:00:00+00:00,9,6.8580803772170285,0.6510525755001111
EQ,own_scale,threshold,2026-03-10T00:00:00+00:00,9,2.0021037287888874,-2.3140177527308445
EQ,own_scale,threshold,2026-03-11T00:00:00+00:00,9,1.7522274844797305,-1.4809730071546956
EQ,own_scale,threshold,2026-03-12T00:00:00+00:00,9,-1.2030790389753514,-1.4223619948858945
EQ,own_scale,threshold,2026-03-13T00:00:00+00:00,4,0.8766493264612045,1.398738179364857
EQ,own_scale,threshold,2026-03-16T00:00:00+00:00,9,-3.9731705275761477,1.754115759002434
EQ,own_scale,threshold,2026-03-17T00:00:00+00:00,9,-1.7280407770472364,-2.8299813947330765
EQ,own_scale,threshold,2026-03-18T00:00:00+00:00,9,-1.9738676473980181,-1.7726077733972365
EQ,own_scale,threshold,2026-03-19T00:00:00+00:00,3,8.576960601059435,-1.1255318187000525
CAP,original,linear,2026-03-02T00:00:00+00:00,8,-0.4474654922991769,0.13957807862583343
CAP,original,linear,2026-03-03T00:00:00+00:00,8,0.25065980565615115,0.5494834037870393
CAP,original,linear,2026-03-04T00:00:00+00:00,8,-4.312458632864154,-5.73266245446872
CAP,original,linear,2026-03-05T00:00:00+00:00,8,-0.12960602209934802,0.6141453217101459
CAP,original,linear,2026-03-06T00:00:00+00:00,3,-0.7865198482920595,0.034701489291162124
CAP,original,linear,2026-03-09T00:00:00+00:00,9,-0.030395387078772845,0.18927996199984948
CAP,original,linear,2026-03-10T00:00:00+00:00,9,-2.727105284306062,-1.819580640138494
CAP,original,linear,2026-03-11T00:00:00+00:00,9,-4.111639050261539,-2.9404109618060326
CAP,original,linear,2026-03-12T00:00:00+00:00,9,-0.16071426435928204,-2.2941699719896693
CAP,original,linear,2026-03-13T00:00:00+00:00,4,-1.3539060551342983,-0.11012178736008787
CAP,original,linear,2026-03-16T00:00:00+00:00,9,-0.5609622818675204,-0.5298935388196035
CAP,original,linear,2026-03-17T00:00:00+00:00,9,-1.5367487758197735,-1.1990502744472988
CAP,original,linear,2026-03-18T00:00:00+00:00,9,3.8442983496733873,6.628361596182929
CAP,original,linear,2026-03-19T00:00:00+00:00,3,2.4486719496222293,-0.5859086790349527
CAP,original,threshold,2026-03-02T00:00:00+00:00,8,-0.11209737795211383,0.503227290676478
CAP,original,threshold,2026-03-03T00:00:00+00:00,8,0.6431570644247337,1.5919067723362934
CAP,original,threshold,2026-03-04T00:00:00+00:00,8,-0.9035197294461872,-4.242150046286094
CAP,original,threshold,2026-03-05T00:00:00+00:00,8,-0.574044819382004,0.056927573282287036
CAP,original,threshold,2026-03-06T00:00:00+00:00,3,0.4507975456322798,1.4802721611333127
CAP,original,threshold,2026-03-09T00:00:00+00:00,9,0.8645075639477194,2.415595451263977
CAP,original,threshold,2026-03-10T00:00:00+00:00,9,-3.583741974018075,-1.7644062198801436
CAP,original,threshold,2026-03-11T00:00:00+00:00,9,-1.1395371062293087,-2.6297713362808732
CAP,original,threshold,2026-03-12T00:00:00+00:00,9,0.8309619667641497,-0.0520258874684294
CAP,original,threshold,2026-03-13T00:00:00+00:00,4,-3.3550453481808398,-0.38305893929985724
CAP,original,threshold,2026-03-16T00:00:00+00:00,9,-0.03397761411457351,0.3659974310411659
CAP,original,threshold,2026-03-17T00:00:00+00:00,9,0.1539311499382301,1.7372732978243661
CAP,original,threshold,2026-03-18T00:00:00+00:00,9,3.746493202007972,5.279514586028622
CAP,original,threshold,2026-03-19T00:00:00+00:00,3,0.12437538632247847,-0.4099320976383835
CAP,own_scale,linear,2026-03-02T00:00:00+00:00,8,-0.6752239859130115,-0.2511184282130905
CAP,own_scale,linear,2026-03-03T00:00:00+00:00,8,0.8962225761357421,1.5692108196227355
CAP,own_scale,linear,2026-03-04T00:00:00+00:00,8,-5.767527217988686,-8.347813507661035
CAP,own_scale,linear,2026-03-05T00:00:00+00:00,8,8.639664764779656,9.68215763172743
CAP,own_scale,linear,2026-03-06T00:00:00+00:00,3,-0.20653482553531904,-0.36143915668291393
CAP,own_scale,linear,2026-03-09T00:00:00+00:00,9,-1.4059072277537514,-0.2461591003330587
CAP,own_scale,linear,2026-03-10T00:00:00+00:00,9,-8.907339309456901,-3.730387508888875
CAP,own_scale,linear,2026-03-11T00:00:00+00:00,9,-3.607351583537428,-3.259919779322105
CAP,own_scale,linear,2026-03-12T00:00:00+00:00,9,-0.5799627974410584,0.27437035570633006
CAP,own_scale,linear,2026-03-13T00:00:00+00:00,4,1.0944870267198246,0.5249315912882323
CAP,own_scale,linear,2026-03-16T00:00:00+00:00,9,0.676839254868642,-0.6690479067060526
CAP,own_scale,linear,2026-03-17T00:00:00+00:00,9,7.463158586602816,-1.3772462172315436
CAP,own_scale,linear,2026-03-18T00:00:00+00:00,9,-0.5771001524493895,-0.6706029894952161
CAP,own_scale,linear,2026-03-19T00:00:00+00:00,3,6.5942078140008205,-0.09903137185867372
CAP,own_scale,threshold,2026-03-02T00:00:00+00:00,8,-1.228450635828452,-0.07775246518850232
CAP,own_scale,threshold,2026-03-03T00:00:00+00:00,8,0.19824260488869216,1.2887172029913332
CAP,own_scale,threshold,2026-03-04T00:00:00+00:00,8,-0.4732346538238591,-3.584917786532456
CAP,own_scale,threshold,2026-03-05T00:00:00+00:00,8,-0.8891481571651405,0.8405314581771333
CAP,own_scale,threshold,2026-03-06T00:00:00+00:00,3,-1.1237865189420984,-1.1472491452465152
CAP,own_scale,threshold,2026-03-09T00:00:00+00:00,9,2.605144740828104,0.09847510527464975
CAP,own_scale,threshold,2026-03-10T00:00:00+00:00,9,-5.79670410407731,-1.6967310894775451
CAP,own_scale,threshold,2026-03-11T00:00:00+00:00,9,-1.0475249467659518,-1.0947573582176333
CAP,own_scale,threshold,2026-03-12T00:00:00+00:00,9,-0.06666919120148385,-0.7605243436458428
CAP,own_scale,threshold,2026-03-13T00:00:00+00:00,4,-2.317671460354867,-0.9091540147178648
CAP,own_scale,threshold,2026-03-16T00:00:00+00:00,9,2.2631893863897035,-1.2282842326406294
CAP,own_scale,threshold,2026-03-17T00:00:00+00:00,9,-0.8271070698528316,0.29440283258816125
CAP,own_scale,threshold,2026-03-18T00:00:00+00:00,9,3.7699793131874326,4.258614987375361
CAP,own_scale,threshold,2026-03-19T00:00:00+00:00,3,0.07003009816194539,-0.6143906797432703
PCA,original,linear,2026-03-02T00:00:00+00:00,8,-0.9408013245391638,-2.3947135287663794
PCA,original,linear,2026-03-03T00:00:00+00:00,8,0.9565436839872399,-2.2286282177152836
PCA,original,linear,2026-03-04T00:00:00+00:00,8,5.48611773822174,5.835275880330949
PCA,original,linear,2026-03-05T00:00:00+00:00,8,-1.4737321869800928,0.8340073471788567
PCA,original,linear,2026-03-06T00:00:00+00:00,3,-1.8365082922632072,-2.510934938926076
PCA,original,linear,2026-03-09T00:00:00+00:00,9,7.528845918398053,1.9132751111395014
PCA,original,linear,2026-03-10T00:00:00+00:00,9,4.753607711911027,-0.08160917746553592
PCA,original,linear,2026-03-11T00:00:00+00:00,9,3.110828214209255,-1.2603275502442213
PCA,original,linear,2026-03-12T00:00:00+00:00,9,-1.1444787990913623,0.18017832741710782
PCA,original,linear,2026-03-13T00:00:00+00:00,4,0.4322311529049664,0.0360981617105407
PCA,original,linear,2026-03-16T00:00:00+00:00,9,-0.7131366975493973,1.1104425150079102
PCA,original,linear,2026-03-17T00:00:00+00:00,9,-6.6605461774152825,-6.588788894715177
PCA,original,linear,2026-03-18T00:00:00+00:00,9,-0.8457059503338669,-2.544862854679062
PCA,original,linear,2026-03-19T00:00:00+00:00,3,6.454331110475835,-0.45370318550225874
PCA,original,threshold,2026-03-02T00:00:00+00:00,8,0.704849273304559,-2.970512635672177
PCA,original,threshold,2026-03-03T00:00:00+00:00,8,3.4510907469118637,-1.7783687704150817
PCA,original,threshold,2026-03-04T00:00:00+00:00,8,9.69926804262824,7.53563877966101
PCA,original,threshold,2026-03-05T00:00:00+00:00,8,-3.0517616039013213,-0.5974288931443331
PCA,original,threshold,2026-03-06T00:00:00+00:00,3,1.5772529081570499,0.2697238513000395
PCA,original,threshold,2026-03-09T00:00:00+00:00,9,11.466755835218159,1.6511913369194107
PCA,original,threshold,2026-03-10T00:00:00+00:00,9,3.906521778346645,-1.509101532760166
PCA,original,threshold,2026-03-11T00:00:00+00:00,9,7.062823555722231,-1.823995370515609
PCA,original,threshold,2026-03-12T00:00:00+00:00,9,-2.0217566745762863,-0.8039688149468958
PCA,original,threshold,2026-03-13T00:00:00+00:00,4,4.14739474087814,0.8227003122310421
PCA,original,threshold,2026-03-16T00:00:00+00:00,9,-3.3677013058151086,2.1339186423616923
PCA,original,threshold,2026-03-17T00:00:00+00:00,9,-1.0015934151643893,-6.130219647908804
PCA,original,threshold,2026-03-18T00:00:00+00:00,9,1.0085825612364805,-1.4500867948517067
PCA,original,threshold,2026-03-19T00:00:00+00:00,3,11.002627296531356,-0.8343943396159609
PCA,own_scale,linear,2026-03-02T00:00:00+00:00,8,-1.3116574867728692,-2.7706174134852626
PCA,own_scale,linear,2026-03-03T00:00:00+00:00,8,0.6528365247398518,-2.7110572303410696
PCA,own_scale,linear,2026-03-04T00:00:00+00:00,8,10.441116215046392,10.601215195210187
PCA,own_scale,linear,2026-03-05T00:00:00+00:00,8,-1.7341717754573627,-0.31672248348963516
PCA,own_scale,linear,2026-03-06T00:00:00+00:00,3,-1.4098179146214287,-3.0831601852652124
PCA,own_scale,linear,2026-03-09T00:00:00+00:00,9,8.745389450802485,1.6968128132706626
PCA,own_scale,linear,2026-03-10T00:00:00+00:00,9,5.976829122030001,-0.35463144357903426
PCA,own_scale,linear,2026-03-11T00:00:00+00:00,9,3.5045493397011396,-1.6662337735853612
PCA,own_scale,linear,2026-03-12T00:00:00+00:00,9,-1.3559096384552771,0.1980087756898794
PCA,own_scale,linear,2026-03-13T00:00:00+00:00,4,-0.5091692635680787,-0.5641265837448083
PCA,own_scale,linear,2026-03-16T00:00:00+00:00,9,-1.0200568286124476,0.583753873553608
PCA,own_scale,linear,2026-03-17T00:00:00+00:00,9,-6.080697703575156,-6.2273009532437245
PCA,own_scale,linear,2026-03-18T00:00:00+00:00,9,-1.3728859097681685,-3.414538417932034
PCA,own_scale,linear,2026-03-19T00:00:00+00:00,3,7.214135905037477,-0.5438507113679515
PCA,own_scale,threshold,2026-03-02T00:00:00+00:00,8,1.853832759464205,0.4619170475959826
PCA,own_scale,threshold,2026-03-03T00:00:00+00:00,8,0.09638864590278595,-1.2135226617101167
PCA,own_scale,threshold,2026-03-04T00:00:00+00:00,8,0.20426511687321414,-1.6644253944592307
PCA,own_scale,threshold,2026-03-05T00:00:00+00:00,8,-2.5397438431671993,0.0037028259864277935
PCA,own_scale,threshold,2026-03-06T00:00:00+00:00,3,1.718589082372855,1.2873720887903282
PCA,own_scale,threshold,2026-03-09T00:00:00+00:00,9,7.266450158683736,0.33419304153110047
PCA,own_scale,threshold,2026-03-10T00:00:00+00:00,9,-5.65426638713411,-1.6285838654765847
PCA,own_scale,threshold,2026-03-11T00:00:00+00:00,9,-5.800907119710486,0.6031046952082222
PCA,own_scale,threshold,2026-03-12T00:00:00+00:00,9,2.846850510378723,0.9293127509544101
PCA,own_scale,threshold,2026-03-13T00:00:00+00:00,4,-2.941835654106539,-0.05058650210707538
PCA,own_scale,threshold,2026-03-16T00:00:00+00:00,9,1.621762917300765,-1.1903141824900145
PCA,own_scale,threshold,2026-03-17T00:00:00+00:00,9,-6.909135420947549,0.1980750743941182
PCA,own_scale,threshold,2026-03-18T00:00:00+00:00,9,8.59508613642323,10.184391800120602
PCA,own_scale,threshold,2026-03-19T00:00:00+00:00,3,7.011442483135873,0.09791355692009196
