sample,definition,variant,calibration,comparison,n,fold,month_n,difference_bp,improvement_pct,improvement_lo,improvement_hi,p_centered_boot
full,EQ,original,raw,nonlinear_R,509,2025-12,139,0.23760415433867943,9.656061599560918,-7.079844199507887,17.456133413291887,0.386
full,EQ,original,raw,nonlinear_R,509,2026-01,137,0.10847132433940081,7.239095086348247,-2.328434411289206,17.090021150377364,0.1725
full,EQ,original,raw,nonlinear_R,509,2026-02,128,-0.0010748741190547972,-0.0564073576690971,-14.751297349733967,9.535622147333092,0.993
full,EQ,original,raw,nonlinear_R,509,2026-03,105,0.1113033901980569,3.9779773209433267,-10.793012167490284,15.479942255147273,0.5585
full,EQ,original,raw,nonlinear_F,509,2025-12,139,0.3567811385194636,14.185879670248836,-5.358099938123803,23.373777469489617,0.304
full,EQ,original,raw,nonlinear_F,509,2026-01,137,0.06165621376795116,4.021686486014763,-20.107775730650673,20.955110706376317,0.693
full,EQ,original,raw,nonlinear_F,509,2026-02,128,0.42761276405341375,18.776654055979613,6.8522669188982155,27.74489072187351,0.002
full,EQ,original,raw,nonlinear_F,509,2026-03,105,0.1393383801109841,4.930257964868357,-3.8554920200302014,13.965770580518448,0.282
full,EQ,original,raw,market_B_vs_R,509,2025-12,139,0.029341607066019612,1.3198691432263376,-2.1579932738918375,5.358054681559297,0.3955
full,EQ,original,raw,market_B_vs_R,509,2026-01,137,-0.0344426038351893,-2.477994501200298,-9.77372811046883,4.033961780791657,0.4125
full,EQ,original,raw,market_B_vs_R,509,2026-02,128,0.01799294186251169,0.9437031874707125,-1.9322514343435886,4.475166976183428,0.55
full,EQ,original,raw,market_B_vs_R,509,2026-03,105,0.039906565507837374,1.4853452529882905,-2.4977885556449837,4.853897642244942,0.475
full,EQ,original,raw,position_F_vs_B,509,2025-12,139,0.035464770875590794,1.616644096034059,-1.7173053258424407,7.00010708081145,0.2985
full,EQ,original,raw,position_F_vs_B,509,2026-01,137,-0.04705600304531973,-3.303610057199058,-26.763292702692056,11.51987887683066,0.654
full,EQ,original,raw,position_F_vs_B,509,2026-02,128,0.03888726006413159,2.059010217578472,0.7308257123833418,3.442597509245219,0.003
full,EQ,original,raw,position_F_vs_B,509,2026-03,105,-0.04007044287147967,-1.5139319792269346,-5.543928590526913,2.321327617060732,0.4885
full,EQ,original,raw,total_F_vs_R,509,2025-12,139,0.06480637794161044,2.915175652681057,0.2573557997957255,7.16456287658041,0.0335
full,EQ,original,raw,total_F_vs_R,509,2026-01,137,-0.08149860688050903,-5.863467833957836,-30.895653752685252,10.218229672236303,0.5915
full,EQ,original,raw,total_F_vs_R,509,2026-02,128,0.05688020192664329,2.983282459995551,0.5642795556799437,6.700243669919693,0.0315
full,EQ,original,raw,total_F_vs_R,509,2026-03,105,-0.00016387736364228148,-0.006099609451726273,-4.605830814462029,5.974762500750804,0.9965
full,EQ,original,raw,ml_vs_threshold_F,509,2025-12,139,0.21413585482739012,9.026132020083766,-2.3868781718381142,16.255651204580236,0.0965
full,EQ,original,raw,ml_vs_threshold_F,509,2026-01,137,0.07212271458221424,4.672491833076142,-10.695941874888264,19.0781235788926,0.553
full,EQ,original,raw,ml_vs_threshold_F,509,2026-02,128,0.5615829439552231,23.28930363339299,8.807074526978923,39.630858004484075,0.006
full,EQ,original,raw,ml_vs_threshold_F,509,2026-03,105,0.4413591855703179,14.109004626120269,5.509801626058175,22.384844441775016,0.0005
full,EQ,original,calibrated,nonlinear_R,509,2025-12,139,0.35556434199841686,13.860618364258649,-3.01719075744836,19.985968634036357,0.099
full,EQ,original,calibrated,nonlinear_R,509,2026-01,137,0.19074769101666755,11.605256999484514,5.188832967501064,18.62982472814642,0.004
full,EQ,original,calibrated,nonlinear_R,509,2026-02,128,0.013689290016938326,0.7450863068152902,-7.56816247714247,8.507827135979403,0.8605
full,EQ,original,calibrated,nonlinear_R,509,2026-03,105,0.020529635712464862,0.9812284184620546,-19.46334996756626,12.092580318116916,0.9075
full,EQ,original,calibrated,nonlinear_F,509,2025-12,139,0.5775140122726855,20.966776103702188,4.007598980699217,31.8869647380675,0.0225
full,EQ,original,calibrated,nonlinear_F,509,2026-01,137,0.2963141063392535,17.534159014887095,2.199112138074239,29.333204187528278,0.0215
full,EQ,original,calibrated,nonlinear_F,509,2026-02,128,0.4179671276942279,18.981770510529937,14.30162992198848,24.409241436360343,0.0005
full,EQ,original,calibrated,nonlinear_F,509,2026-03,105,-0.08122432145873974,-3.922049795410132,-15.314533496511123,2.6163930673044553,0.386
full,EQ,original,calibrated,market_B_vs_R,509,2025-12,139,-0.022284685366945202,-1.0084843472371485,-6.425192580312852,4.9536394146757985,0.7085
full,EQ,original,calibrated,market_B_vs_R,509,2026-01,137,-0.02699632512139568,-1.8581196885996576,-8.646746531374008,4.7902934249065785,0.59
full,EQ,original,calibrated,market_B_vs_R,509,2026-02,128,0.018516056018333095,1.015364856273726,-0.4093842233936755,2.864983696296858,0.192
full,EQ,original,calibrated,market_B_vs_R,509,2026-03,105,-0.03892831173078266,-1.879043827402893,-8.03024552547864,6.875102401680213,0.6165
full,EQ,original,calibrated,position_F_vs_B,509,2025-12,139,0.05509472496034232,2.4683959206282413,0.22599157033231487,7.793066512852056,0.055
