sample,definition,variant,information,strategy,calibration,n,seeds,loss_bp,below_rate
full,EQ,original,B,boosting,raw,509,1,2.094488055494632,0.19842829076620824
full,EQ,original,B,linear,raw,509,1,2.122515635215562,0.18664047151277013
full,EQ,original,B,ml_selected,raw,509,4,2.0033909372160426,0.17681728880157171
full,EQ,original,B,qrf,raw,509,1,2.002831388299834,0.17485265225933203
full,EQ,original,B,threshold,raw,509,1,2.2638305870214617,0.21218074656188604
full,EQ,original,F,boosting,raw,509,1,2.1387735198102726,0.21021611001964635
full,EQ,original,F,linear,raw,509,1,2.2551617421859897,0.18664047151277013
full,EQ,original,F,ml_selected,raw,509,4,2.0048583173315597,0.19793713163064833
full,EQ,original,F,qrf,raw,509,1,2.011436067865011,0.20235756385068762
full,EQ,original,F,threshold,raw,509,1,2.3150175059954545,0.22396856581532418
full,EQ,original,R,boosting,raw,509,1,2.0267798745355887,0.1807465618860511
full,EQ,original,R,linear,raw,509,1,2.1316619658302103,0.1905697445972495
full,EQ,original,R,ml_selected,raw,509,4,2.0148902153957677,0.18958742632612965
full,EQ,original,R,qrf,raw,509,1,2.042227345775291,0.20235756385068762
full,EQ,original,R,threshold,raw,509,1,2.056515366581259,0.19646365422396855
full,EQ,original,B,boosting,calibrated,509,1,1.9244685276930629,0.1100196463654224
full,EQ,original,B,linear,calibrated,509,1,2.0148720475722803,0.09037328094302555
full,EQ,original,B,ml_selected,calibrated,509,4,1.897167423766761,0.09724950884086445
full,EQ,original,B,qrf,calibrated,509,1,1.8928609350232377,0.09823182711198428
full,EQ,original,B,threshold,calibrated,509,1,2.0733450650366168,0.10609037328094302
full,EQ,original,F,boosting,calibrated,509,1,1.9264196291548952,0.10609037328094302
full,EQ,original,F,linear,calibrated,509,1,2.187985099820513,0.10609037328094302
full,EQ,original,F,ml_selected,calibrated,509,4,1.8621683633449244,0.10216110019646366
full,EQ,original,F,qrf,calibrated,509,1,1.864736537101706,0.10412573673870335
full,EQ,original,F,threshold,calibrated,509,1,2.075867714914205,0.11198428290766209
full,EQ,original,R,boosting,calibrated,509,1,1.9198070689820892,0.09823182711198428
full,EQ,original,R,linear,calibrated,509,1,2.0365588436292725,0.0962671905697446
full,EQ,original,R,ml_selected,calibrated,509,4,1.8804415193089574,0.0962671905697446
full,EQ,original,R,qrf,calibrated,509,1,1.8804552992661707,0.10609037328094302
full,EQ,original,R,threshold,calibrated,509,1,1.9704383906440908,0.10609037328094302
full,EQ,own_scale,B,boosting,raw,509,1,2.036025458557724,0.19842829076620824
full,EQ,own_scale,B,linear,raw,509,1,2.0931960760809534,0.18664047151277013
full,EQ,own_scale,B,ml_selected,raw,509,4,2.04283770685899,0.181237721021611
full,EQ,own_scale,B,qrf,raw,509,1,2.0367858670673087,0.18271119842829076
full,EQ,own_scale,B,threshold,raw,509,1,2.2272297940032013,0.21218074656188604
full,EQ,own_scale,F,boosting,raw,509,1,2.0627242437071494,0.20039292730844793
full,EQ,own_scale,F,linear,raw,509,1,2.2397333183457837,0.1905697445972495
full,EQ,own_scale,F,ml_selected,raw,509,4,1.9927462334835444,0.19548133595284872
full,EQ,own_scale,F,qrf,raw,509,1,1.9902048032717676,0.19646365422396855
full,EQ,own_scale,F,threshold,raw,509,1,2.1283866068596633,0.206286836935167
full,EQ,own_scale,R,boosting,raw,509,1,1.976015552177116,0.1787819253438114
full,EQ,own_scale,R,linear,raw,509,1,2.100228327575898,0.18664047151277013
full,EQ,own_scale,R,ml_selected,raw,509,4,1.9981276654227793,0.18222003929273084
full,EQ,own_scale,R,qrf,raw,509,1,2.0179563503742703,0.1925343811394892
full,EQ,own_scale,R,threshold,raw,509,1,1.9640271873978787,0.15520628683693516
full,EQ,own_scale,B,boosting,calibrated,509,1,1.9065575980836795,0.1100196463654224
full,EQ,own_scale,B,linear,calibrated,509,1,2.0174171082023293,0.09037328094302555
full,EQ,own_scale,B,ml_selected,calibrated,509,4,1.919611658350622,0.10216110019646366
full,EQ,own_scale,B,qrf,calibrated,509,1,1.918574192849851,0.10412573673870335
full,EQ,own_scale,B,threshold,calibrated,509,1,2.1203244476342675,0.11394891944990176
full,EQ,own_scale,F,boosting,calibrated,509,1,1.9093533391463473,0.10412573673870335
full,EQ,own_scale,F,linear,calibrated,509,1,2.174647773792925,0.10609037328094302
full,EQ,own_scale,F,ml_selected,calibrated,509,4,1.8687232852959055,0.10805500982318271
full,EQ,own_scale,F,qrf,calibrated,509,1,1.8653680209568904,0.10609037328094302
full,EQ,own_scale,F,threshold,calibrated,509,1,1.9954253676209475,0.1100196463654224
full,EQ,own_scale,R,boosting,calibrated,509,1,1.9242972731609007,0.10412573673870335
full,EQ,own_scale,R,linear,calibrated,509,1,2.023949527141502,0.09037328094302555
full,EQ,own_scale,R,ml_selected,calibrated,509,4,1.945761836231497,0.09970530451866405
full,EQ,own_scale,R,qrf,calibrated,509,1,1.8918766265105071,0.09823182711198428
full,EQ,own_scale,R,threshold,calibrated,509,1,1.974946834376171,0.09823182711198428
full,CAP,original,B,boosting,raw,509,1,1.331831202772231,0.14538310412573674
full,CAP,original,B,linear,raw,509,1,1.3592568989729061,0.13555992141453832
full,CAP,original,B,ml_selected,raw,509,4,1.331831202772231,0.14538310412573674
full,CAP,original,B,qrf,raw,509,1,1.2936080913254904,0.14341846758349705
full,CAP,original,B,threshold,raw,509,1,1.320203843541763,0.14341846758349705
full,CAP,original,F,boosting,raw,509,1,1.3431618755389163,0.14538310412573674
full,CAP,original,F,linear,raw,509,1,1.351789794751651,0.13359528487229863
full,CAP,original,F,ml_selected,raw,509,4,1.324317086751427,0.14538310412573674
full,CAP,original,F,qrf,raw,509,1,1.2872410135710357,0.14734774066797643
full,CAP,original,F,threshold,raw,509,1,1.3113128087846428,0.137524557956778
full,CAP,original,R,boosting,raw,509,1,1.3244806602562327,0.14734774066797643
full,CAP,original,R,linear,raw,509,1,1.3608996508260853,0.13359528487229863
full,CAP,original,R,ml_selected,raw,509,4,1.3070737481984243,0.1512770137524558
full,CAP,original,R,qrf,raw,509,1,1.293009855203653,0.14538310412573674
full,CAP,original,R,threshold,raw,509,1,1.3057959079637134,0.14931237721021612
full,CAP,original,B,boosting,calibrated,509,1,1.3348317197755932,0.09233791748526522
full,CAP,original,B,linear,calibrated,509,1,1.491173820717889,0.09430255402750491
full,CAP,original,B,ml_selected,calibrated,509,4,1.3348317197755932,0.09233791748526522
