sample,definition,variant,information,strategy,calibration,n,seeds,loss_bp,below_rate
full,CAP,original,B,qrf,calibrated,509,1,1.3439068761317707,0.10019646365422397
full,CAP,original,B,threshold,calibrated,509,1,1.4740077738051611,0.09233791748526522
full,CAP,original,F,boosting,calibrated,509,1,1.3506601286390545,0.08644400785854617
full,CAP,original,F,linear,calibrated,509,1,1.487908213828764,0.09823182711198428
full,CAP,original,F,ml_selected,calibrated,509,4,1.335677134935469,0.093811394891945
full,CAP,original,F,qrf,calibrated,509,1,1.3393254451983585,0.0962671905697446
full,CAP,original,F,threshold,calibrated,509,1,1.4885182562372539,0.0962671905697446
full,CAP,original,R,boosting,calibrated,509,1,1.3406972037877096,0.0962671905697446
full,CAP,original,R,linear,calibrated,509,1,1.4917600338855213,0.09233791748526522
full,CAP,original,R,ml_selected,calibrated,509,4,1.3306056722311972,0.09823182711198428
full,CAP,original,R,qrf,calibrated,509,1,1.349007077514951,0.10019646365422397
full,CAP,original,R,threshold,calibrated,509,1,1.4761469583692357,0.0825147347740668
full,CAP,own_scale,B,boosting,raw,509,1,1.3312070666166331,0.14538310412573674
full,CAP,own_scale,B,linear,raw,509,1,1.3489998632748486,0.13359528487229863
full,CAP,own_scale,B,ml_selected,raw,509,4,1.3312070666166331,0.14538310412573674
full,CAP,own_scale,B,qrf,raw,509,1,1.309873427707279,0.15324165029469547
full,CAP,own_scale,B,threshold,raw,509,1,1.3288028768656026,0.14931237721021612
full,CAP,own_scale,F,boosting,raw,509,1,1.3429426792982075,0.14538310412573674
full,CAP,own_scale,F,linear,raw,509,1,1.3791648239208145,0.14145383104125736
full,CAP,own_scale,F,ml_selected,raw,509,4,1.3256576878018045,0.14538310412573674
full,CAP,own_scale,F,qrf,raw,509,1,1.318897834079239,0.14931237721021612
full,CAP,own_scale,F,threshold,raw,509,1,1.3277388855556451,0.14538310412573674
full,CAP,own_scale,R,boosting,raw,509,1,1.323890809811205,0.14538310412573674
full,CAP,own_scale,R,linear,raw,509,1,1.3572593708736358,0.13359528487229863
full,CAP,own_scale,R,ml_selected,raw,509,4,1.323890809811205,0.14538310412573674
full,CAP,own_scale,R,qrf,raw,509,1,1.323437297881873,0.16306483300589392
full,CAP,own_scale,R,threshold,raw,509,1,1.292255156977411,0.14145383104125736
full,CAP,own_scale,B,boosting,calibrated,509,1,1.3351683794728229,0.09233791748526522
full,CAP,own_scale,B,linear,calibrated,509,1,1.4840376012816148,0.09430255402750491
full,CAP,own_scale,B,ml_selected,calibrated,509,4,1.3351683794728229,0.09233791748526522
full,CAP,own_scale,B,qrf,calibrated,509,1,1.3405015810099152,0.10216110019646366
full,CAP,own_scale,B,threshold,calibrated,509,1,1.4870695553376252,0.09037328094302555
full,CAP,own_scale,F,boosting,calibrated,509,1,1.350382851563991,0.08644400785854617
full,CAP,own_scale,F,linear,calibrated,509,1,1.4870073303227171,0.0962671905697446
full,CAP,own_scale,F,ml_selected,calibrated,509,4,1.3345912752242746,0.093811394891945
full,CAP,own_scale,F,qrf,calibrated,509,1,1.3466896786502267,0.09037328094302555
full,CAP,own_scale,F,threshold,calibrated,509,1,1.489876762705323,0.08840864440078586
full,CAP,own_scale,R,boosting,calibrated,509,1,1.3413125329005908,0.09430255402750491
full,CAP,own_scale,R,linear,calibrated,509,1,1.4915244553896922,0.09233791748526522
full,CAP,own_scale,R,ml_selected,calibrated,509,4,1.3413125329005908,0.09430255402750491
full,CAP,own_scale,R,qrf,calibrated,509,1,1.3515492557258595,0.10019646365422397
full,CAP,own_scale,R,threshold,calibrated,509,1,1.4585651552753593,0.0825147347740668
full,PCA,original,B,boosting,raw,509,1,2.0496385423341623,0.19842829076620824
full,PCA,original,B,linear,raw,509,1,2.0931453628389844,0.1925343811394892
full,PCA,original,B,ml_selected,raw,509,4,1.982927211148273,0.17239685658153242
full,PCA,original,B,qrf,raw,509,1,1.976326826104138,0.17092337917485265
full,PCA,original,B,threshold,raw,509,1,2.3129220563324044,0.21414538310412573
full,PCA,original,F,boosting,raw,509,1,2.1031837036912204,0.21021611001964635
full,PCA,original,F,linear,raw,509,1,2.2370811536055095,0.18664047151277013
full,PCA,original,F,ml_selected,raw,509,4,1.9865016605152623,0.1994106090373281
full,PCA,original,F,qrf,raw,509,1,1.9930498795555303,0.20039292730844793
full,PCA,original,F,threshold,raw,509,1,2.288854658960232,0.22396856581532418
full,PCA,original,R,boosting,raw,509,1,2.016762249581181,0.1807465618860511
full,PCA,original,R,linear,raw,509,1,2.0999772342274143,0.1925343811394892
full,PCA,original,R,ml_selected,raw,509,4,2.016082150260635,0.2013752455795678
full,PCA,original,R,qrf,raw,509,1,2.0155501856244915,0.20235756385068762
full,PCA,original,R,threshold,raw,509,1,2.0145115303534125,0.17092337917485265
full,PCA,original,B,boosting,calibrated,509,1,1.8748637039213607,0.10412573673870335
full,PCA,original,B,linear,calibrated,509,1,1.9917485861403315,0.09233791748526522
full,PCA,original,B,ml_selected,calibrated,509,4,1.8921383370678198,0.10363457760314342
full,PCA,original,B,qrf,calibrated,509,1,1.885383096663446,0.10216110019646366
full,PCA,original,B,threshold,calibrated,509,1,2.1000763451426696,0.10609037328094302
full,PCA,original,F,boosting,calibrated,509,1,1.9014859180821932,0.1100196463654224
full,PCA,original,F,linear,calibrated,509,1,2.1733908765749588,0.10805500982318271
full,PCA,original,F,ml_selected,calibrated,509,4,1.849505187902014,0.10117878192534381
full,PCA,original,F,qrf,calibrated,509,1,1.8587382843672984,0.10216110019646366
full,PCA,original,F,threshold,calibrated,509,1,2.0627777015317275,0.10609037328094302
full,PCA,original,R,boosting,calibrated,509,1,1.9073999169979161,0.10216110019646366
full,PCA,original,R,linear,calibrated,509,1,2.0103060147627088,0.09823182711198428
full,PCA,original,R,ml_selected,calibrated,509,4,1.8619394216333418,0.10363457760314342
full,PCA,original,R,qrf,calibrated,509,1,1.8543584627015013,0.09823182711198428
full,PCA,original,R,threshold,calibrated,509,1,1.9635905568867695,0.10609037328094302
full,PCA,own_scale,B,boosting,raw,509,1,1.9620525467667396,0.1905697445972495
full,PCA,own_scale,B,linear,raw,509,1,2.0792275711974115,0.18860510805500982
full,PCA,own_scale,B,ml_selected,raw,509,4,2.043399588524772,0.19548133595284872
full,PCA,own_scale,B,qrf,raw,509,1,2.004401664382419,0.1807465618860511
full,PCA,own_scale,B,threshold,raw,509,1,2.209408150303111,0.2082514734774067
full,PCA,own_scale,F,boosting,raw,509,1,2.0417538280714043,0.19842829076620824
full,PCA,own_scale,F,linear,raw,509,1,2.2287834659066443,0.1905697445972495
full,PCA,own_scale,F,ml_selected,raw,509,4,1.968270930132712,0.1944990176817289
full,PCA,own_scale,F,qrf,raw,509,1,1.9714459137843743,0.1944990176817289
full,PCA,own_scale,F,threshold,raw,509,1,2.0920351024223574,0.18664047151277013
full,PCA,own_scale,R,boosting,raw,509,1,1.9639690745487797,0.17485265225933203
full,PCA,own_scale,R,linear,raw,509,1,2.0791848327201206,0.18467583497053044
full,PCA,own_scale,R,ml_selected,raw,509,4,1.9928078631547017,0.18762278978389
full,PCA,own_scale,R,qrf,raw,509,1,1.9813866818183803,0.18860510805500982
full,PCA,own_scale,R,threshold,raw,509,1,1.951347808075297,0.15520628683693516
full,PCA,own_scale,B,boosting,calibrated,509,1,1.8771477816450464,0.09823182711198428
full,PCA,own_scale,B,linear,calibrated,509,1,2.0054649506296838,0.09037328094302555
full,PCA,own_scale,B,ml_selected,calibrated,509,4,1.9012219563345603,0.11296660117878192
full,PCA,own_scale,B,qrf,calibrated,509,1,1.890445500610478,0.10609037328094302
full,PCA,own_scale,B,threshold,calibrated,509,1,2.0934957799741305,0.1100196463654224
full,PCA,own_scale,F,boosting,calibrated,509,1,1.8992189231760517,0.10609037328094302
full,PCA,own_scale,F,linear,calibrated,509,1,2.1640934782299226,0.10805500982318271
full,PCA,own_scale,F,ml_selected,calibrated,509,4,1.8517691463009236,0.1055992141453831
full,PCA,own_scale,F,qrf,calibrated,509,1,1.8555694421604945,0.10412573673870335
full,PCA,own_scale,F,threshold,calibrated,509,1,1.9976466994663533,0.09823182711198428
full,PCA,own_scale,R,boosting,calibrated,509,1,1.8865768088517691,0.10216110019646366
full,PCA,own_scale,R,linear,calibrated,509,1,2.0080443011950884,0.09037328094302555
full,PCA,own_scale,R,ml_selected,calibrated,509,4,1.9137638316141141,0.10363457760314342
full,PCA,own_scale,R,qrf,calibrated,509,1,1.8753976877105538,0.09823182711198428
full,PCA,own_scale,R,threshold,calibrated,509,1,1.9657678771701943,0.09823182711198428
first19days,EQ,original,B,boosting,raw,361,1,2.2469389722438176,0.19667590027700832
first19days,EQ,original,B,linear,raw,361,1,2.3948760899012935,0.2188365650969529
first19days,EQ,original,B,ml_selected,raw,361,4,2.1695794765924012,0.18905817174515235
first19days,EQ,original,B,qrf,raw,361,1,2.169080424151467,0.1883656509695291
first19days,EQ,original,B,threshold,raw,361,1,2.4162930140890135,0.2299168975069252
first19days,EQ,original,F,boosting,raw,361,1,2.327689960938641,0.21606648199445982
first19days,EQ,original,F,linear,raw,361,1,2.5243370823974183,0.21606648199445982
first19days,EQ,original,F,ml_selected,raw,361,4,2.1397943540406335,0.19806094182825484
first19days,EQ,original,F,qrf,raw,361,1,2.147972400213106,0.20221606648199447
first19days,EQ,original,F,threshold,raw,361,1,2.597823482030174,0.23822714681440443
first19days,EQ,original,R,boosting,raw,361,1,2.24171944115532,0.19113573407202217
first19days,EQ,original,R,linear,raw,361,1,2.406851856049232,0.22437673130193905
first19days,EQ,original,R,ml_selected,raw,361,4,2.2081408811087546,0.19806094182825484
first19days,EQ,original,R,qrf,raw,361,1,2.1772452553749613,0.20498614958448755
first19days,EQ,original,R,threshold,raw,361,1,2.255676396068445,0.20498614958448755
first19days,EQ,original,B,boosting,calibrated,361,1,2.0668407524434116,0.10249307479224377
first19days,EQ,original,B,linear,calibrated,361,1,2.220631806886411,0.09695290858725762
first19days,EQ,original,B,ml_selected,calibrated,361,4,2.0182496304856534,0.08933518005540166
first19days,EQ,original,B,qrf,calibrated,361,1,2.0114544514035844,0.0886426592797784
first19days,EQ,original,B,threshold,calibrated,361,1,2.1749991798910338,0.10249307479224377
first19days,EQ,original,F,boosting,calibrated,361,1,2.0726854282634215,0.10249307479224377
first19days,EQ,original,F,linear,calibrated,361,1,2.3996669109038313,0.11357340720221606
first19days,EQ,original,F,ml_selected,calibrated,361,4,1.977034454070935,0.08933518005540166
first19days,EQ,original,F,qrf,calibrated,361,1,1.9759296355393383,0.09141274238227147
first19days,EQ,original,F,threshold,calibrated,361,1,2.2723705887624197,0.11634349030470914
first19days,EQ,original,R,boosting,calibrated,361,1,2.1081373761194673,0.0997229916897507
first19days,EQ,original,R,linear,calibrated,361,1,2.250337801131867,0.10526315789473684
first19days,EQ,original,R,ml_selected,calibrated,361,4,2.040500835950553,0.09487534626038781
first19days,EQ,original,R,qrf,calibrated,361,1,1.9873843087221035,0.0886426592797784
first19days,EQ,original,R,threshold,calibrated,361,1,2.1634770242635737,0.0997229916897507
first19days,EQ,own_scale,B,boosting,raw,361,1,2.1902755749965497,0.1994459833795014
first19days,EQ,own_scale,B,linear,raw,361,1,2.355822546913239,0.21606648199445982
first19days,EQ,own_scale,B,ml_selected,raw,361,4,2.2218936803152918,0.19806094182825484
first19days,EQ,own_scale,B,qrf,raw,361,1,2.214622372715328,0.19667590027700832
first19days,EQ,own_scale,B,threshold,raw,361,1,2.3761776132505528,0.23545706371191136
first19days,EQ,own_scale,F,boosting,raw,361,1,2.2445781079681675,0.2077562326869806
first19days,EQ,own_scale,F,linear,raw,361,1,2.5061785611425282,0.21606648199445982
first19days,EQ,own_scale,F,ml_selected,raw,361,4,2.124961625896111,0.19736842105263158
first19days,EQ,own_scale,F,qrf,raw,361,1,2.1246928234067393,0.1994459833795014
first19days,EQ,own_scale,F,threshold,raw,361,1,2.3694131574847117,0.2188365650969529
first19days,EQ,own_scale,R,boosting,raw,361,1,2.1720490495819154,0.1883656509695291
first19days,EQ,own_scale,R,linear,raw,361,1,2.3648175200641437,0.21606648199445982
first19days,EQ,own_scale,R,ml_selected,raw,361,4,2.1548323520809216,0.18767313019390583
first19days,EQ,own_scale,R,qrf,raw,361,1,2.1642331637756556,0.19667590027700832
first19days,EQ,own_scale,R,threshold,raw,361,1,2.195398949224871,0.17174515235457063
first19days,EQ,own_scale,B,boosting,calibrated,361,1,2.0580910861531225,0.10526315789473684
first19days,EQ,own_scale,B,linear,calibrated,361,1,2.2245146433687193,0.09695290858725762
first19days,EQ,own_scale,B,ml_selected,calibrated,361,4,2.0397250659900967,0.09833795013850416
first19days,EQ,own_scale,B,qrf,calibrated,361,1,2.036904396683013,0.0997229916897507
first19days,EQ,own_scale,B,threshold,calibrated,361,1,2.2290934186059306,0.11634349030470914
first19days,EQ,own_scale,F,boosting,calibrated,361,1,2.0699669453854783,0.10249307479224377
first19days,EQ,own_scale,F,linear,calibrated,361,1,2.3882555916792785,0.11080332409972299
first19days,EQ,own_scale,F,ml_selected,calibrated,361,4,1.984940525762591,0.09695290858725762
first19days,EQ,own_scale,F,qrf,calibrated,361,1,1.9752823412990572,0.09418282548476455
first19days,EQ,own_scale,F,threshold,calibrated,361,1,2.1885734905247665,0.11911357340720222
first19days,EQ,own_scale,R,boosting,calibrated,361,1,2.095248215145313,0.10249307479224377
first19days,EQ,own_scale,R,linear,calibrated,361,1,2.232853385666889,0.09695290858725762
first19days,EQ,own_scale,R,ml_selected,calibrated,361,4,2.076328784443497,0.09695290858725762
first19days,EQ,own_scale,R,qrf,calibrated,361,1,2.0048753547844416,0.09141274238227147
first19days,EQ,own_scale,R,threshold,calibrated,361,1,2.1984671094970665,0.10526315789473684
first19days,CAP,original,B,boosting,raw,361,1,1.4575299338465666,0.14681440443213298
first19days,CAP,original,B,linear,raw,361,1,1.4937849519786663,0.15512465373961218
first19days,CAP,original,B,ml_selected,raw,361,4,1.4575299338465666,0.14681440443213298
first19days,CAP,original,B,qrf,raw,361,1,1.4085665734415405,0.14958448753462603
first19days,CAP,original,B,threshold,raw,361,1,1.4187515775485555,0.14681440443213298
first19days,CAP,original,F,boosting,raw,361,1,1.4711407373994854,0.14681440443213298
first19days,CAP,original,F,linear,raw,361,1,1.4832565418716885,0.1523545706371191
first19days,CAP,original,F,ml_selected,raw,361,4,1.444570107225435,0.14681440443213298
first19days,CAP,original,F,qrf,raw,361,1,1.3986555433178414,0.14958448753462603
first19days,CAP,original,F,threshold,raw,361,1,1.4212057428980112,0.13850415512465375
first19days,CAP,original,R,boosting,raw,361,1,1.4447809381970775,0.14958448753462603
first19days,CAP,original,R,linear,raw,361,1,1.4961011865860572,0.1523545706371191
first19days,CAP,original,R,ml_selected,raw,361,4,1.4202376743814968,0.15512465373961218
first19days,CAP,original,R,qrf,raw,361,1,1.3959670419541959,0.14958448753462603
first19days,CAP,original,R,threshold,raw,361,1,1.4072426890030392,0.15789473684210525
first19days,CAP,original,B,boosting,calibrated,361,1,1.4697638006396585,0.08587257617728532
first19days,CAP,original,B,linear,calibrated,361,1,1.6606128762009194,0.09418282548476455
first19days,CAP,original,B,ml_selected,calibrated,361,4,1.4697638006396585,0.08587257617728532
first19days,CAP,original,B,qrf,calibrated,361,1,1.4750740974973298,0.09695290858725762
first19days,CAP,original,B,threshold,calibrated,361,1,1.6329950998273264,0.08587257617728532
first19days,CAP,original,F,boosting,calibrated,361,1,1.48692117425879,0.08587257617728532
first19days,CAP,original,F,linear,calibrated,361,1,1.6560084609472778,0.0997229916897507
first19days,CAP,original,F,ml_selected,calibrated,361,4,1.4657955681781116,0.09626038781163435
first19days,CAP,original,F,qrf,calibrated,361,1,1.469904966944218,0.09141274238227147
first19days,CAP,original,F,threshold,calibrated,361,1,1.6612877114585944,0.08033240997229917
first19days,CAP,original,R,boosting,calibrated,361,1,1.4756408946063098,0.09141274238227147
first19days,CAP,original,R,linear,calibrated,361,1,1.6614394205286882,0.09141274238227147
first19days,CAP,original,R,ml_selected,calibrated,361,4,1.4614121146554375,0.09418282548476455
first19days,CAP,original,R,qrf,calibrated,361,1,1.4693389561683114,0.0886426592797784
first19days,CAP,original,R,threshold,calibrated,361,1,1.6620577166721284,0.08310249307479224
first19days,CAP,own_scale,B,boosting,raw,361,1,1.4566499191562636,0.14681440443213298
first19days,CAP,own_scale,B,linear,raw,361,1,1.4793228157728178,0.1523545706371191
first19days,CAP,own_scale,B,ml_selected,raw,361,4,1.4566499191562636,0.14681440443213298
first19days,CAP,own_scale,B,qrf,raw,361,1,1.4106152549863096,0.15512465373961218
first19days,CAP,own_scale,B,threshold,raw,361,1,1.422442791568835,0.14958448753462603
first19days,CAP,own_scale,F,boosting,raw,361,1,1.4708316767720038,0.14681440443213298
first19days,CAP,own_scale,F,linear,raw,361,1,1.521854574689152,0.1634349030470914
first19days,CAP,own_scale,F,ml_selected,raw,361,4,1.446460317570704,0.14681440443213298
first19days,CAP,own_scale,F,qrf,raw,361,1,1.4386238278125392,0.15512465373961218
first19days,CAP,own_scale,F,threshold,raw,361,1,1.4398750771338786,0.14681440443213298
first19days,CAP,own_scale,R,boosting,raw,361,1,1.443938218921655,0.14681440443213298
first19days,CAP,own_scale,R,linear,raw,361,1,1.4909684926918834,0.1523545706371191
first19days,CAP,own_scale,R,ml_selected,raw,361,4,1.443938218921655,0.14681440443213298
first19days,CAP,own_scale,R,qrf,raw,361,1,1.4268817077062355,0.16897506925207756
first19days,CAP,own_scale,R,threshold,raw,361,1,1.3963545212911888,0.1523545706371191
first19days,CAP,own_scale,B,boosting,calibrated,361,1,1.4702384814869986,0.08587257617728532
first19days,CAP,own_scale,B,linear,calibrated,361,1,1.6505510044749812,0.09418282548476455
first19days,CAP,own_scale,B,ml_selected,calibrated,361,4,1.4702384814869986,0.08587257617728532
first19days,CAP,own_scale,B,qrf,calibrated,361,1,1.4692443659768888,0.09141274238227147
first19days,CAP,own_scale,B,threshold,calibrated,361,1,1.635528731070402,0.07756232686980609
first19days,CAP,own_scale,F,boosting,calibrated,361,1,1.4865302212637563,0.08587257617728532
first19days,CAP,own_scale,F,linear,calibrated,361,1,1.6547382401589736,0.09695290858725762
first19days,CAP,own_scale,F,ml_selected,calibrated,361,4,1.4642645360645439,0.09626038781163435
first19days,CAP,own_scale,F,qrf,calibrated,361,1,1.482050184304793,0.0886426592797784
first19days,CAP,own_scale,F,threshold,calibrated,361,1,1.6726256052434796,0.07756232686980609
first19days,CAP,own_scale,R,boosting,calibrated,361,1,1.4764562971483863,0.0886426592797784
first19days,CAP,own_scale,R,linear,calibrated,361,1,1.6611072613752895,0.09141274238227147
first19days,CAP,own_scale,R,ml_selected,calibrated,361,4,1.4764562971483863,0.0886426592797784
first19days,CAP,own_scale,R,qrf,calibrated,361,1,1.4718836753806035,0.0886426592797784
first19days,CAP,own_scale,R,threshold,calibrated,361,1,1.6418017467984878,0.08033240997229917
first19days,PCA,original,B,boosting,raw,361,1,2.205768177826969,0.1994459833795014
first19days,PCA,original,B,linear,raw,361,1,2.3668966287525506,0.22160664819944598
first19days,PCA,original,B,ml_selected,raw,361,4,2.16224008401704,0.18698060941828254
first19days,PCA,original,B,qrf,raw,361,1,2.154368897891064,0.18559556786703602
first19days,PCA,original,B,threshold,raw,361,1,2.422043807171003,0.23268698060941828
first19days,PCA,original,F,boosting,raw,361,1,2.2931503655628753,0.2188365650969529
first19days,PCA,original,F,linear,raw,361,1,2.5036766363687564,0.2188365650969529
first19days,PCA,original,F,ml_selected,raw,361,4,2.1184735822404663,0.1994459833795014
first19days,PCA,original,F,qrf,raw,361,1,2.124879378050353,0.1994459833795014
first19days,PCA,original,F,threshold,raw,361,1,2.56792364603719,0.23822714681440443
first19days,PCA,original,R,boosting,raw,361,1,2.227895302561474,0.19113573407202217
first19days,PCA,original,R,linear,raw,361,1,2.3751211288761933,0.22160664819944598
first19days,PCA,original,R,ml_selected,raw,361,4,2.1536181046886327,0.20637119113573407
first19days,PCA,original,R,qrf,raw,361,1,2.1496102612470813,0.2077562326869806
first19days,PCA,original,R,threshold,raw,361,1,2.2643606094584774,0.19390581717451524
first19days,PCA,original,B,boosting,calibrated,361,1,2.0199452538341722,0.09418282548476455
first19days,PCA,original,B,linear,calibrated,361,1,2.2022463493179885,0.0997229916897507
first19days,PCA,original,B,ml_selected,calibrated,361,4,2.017846482301268,0.1018005540166205
first19days,PCA,original,B,qrf,calibrated,361,1,2.0072893105272263,0.0997229916897507
first19days,PCA,original,B,threshold,calibrated,361,1,2.1443760685778797,0.11080332409972299
first19days,PCA,original,F,boosting,calibrated,361,1,2.032837462721133,0.11080332409972299
first19days,PCA,original,F,linear,calibrated,361,1,2.386030143426258,0.11634349030470914
first19days,PCA,original,F,ml_selected,calibrated,361,4,1.9618904822903371,0.08725761772853186
first19days,PCA,original,F,qrf,calibrated,361,1,1.9709527027658236,0.09141274238227147
first19days,PCA,original,F,threshold,calibrated,361,1,2.258103352509125,0.11080332409972299
first19days,PCA,original,R,boosting,calibrated,361,1,2.0987942930193664,0.10526315789473684
first19days,PCA,original,R,linear,calibrated,361,1,2.2269020554588526,0.10803324099722991
first19days,PCA,original,R,ml_selected,calibrated,361,4,1.9618208449044525,0.08933518005540166
first19days,PCA,original,R,qrf,calibrated,361,1,1.949452415920202,0.08033240997229917
first19days,PCA,original,R,threshold,calibrated,361,1,2.1794872994350825,0.10803324099722991
