sample,definition,variant,calibration,comparison,n,seed,improvement_pct
full,EQ,original,raw,nonlinear_R,509,20260925,5.275877179171862
full,EQ,original,raw,nonlinear_R,509,20260926,5.436635935999778
full,EQ,original,raw,nonlinear_R,509,20260927,5.675831060733083
full,EQ,original,raw,nonlinear_R,509,20260928,5.523525962279008
full,EQ,original,raw,nonlinear_F,509,20260925,10.807458718447782
full,EQ,original,raw,nonlinear_F,509,20260926,10.890545624234127
full,EQ,original,raw,nonlinear_F,509,20260927,11.384905928352717
full,EQ,original,raw,nonlinear_F,509,20260928,11.313625936927895
full,EQ,original,raw,market_B_vs_R,509,20260925,0.8105549598672157
full,EQ,original,raw,market_B_vs_R,509,20260926,0.700581509433007
full,EQ,original,raw,market_B_vs_R,509,20260927,0.008780405410691028
full,EQ,original,raw,market_B_vs_R,509,20260928,0.7612886092735138
full,EQ,original,raw,position_F_vs_B,509,20260925,-0.4296257595843622
full,EQ,original,raw,position_F_vs_B,509,20260926,-0.39533297681191293
full,EQ,original,raw,position_F_vs_B,509,20260927,0.6009556863443399
full,EQ,original,raw,position_F_vs_B,509,20260928,-0.0717432305967991
full,EQ,original,raw,total_F_vs_R,509,20260925,0.38441155318603704
full,EQ,original,raw,total_F_vs_R,509,20260926,0.3080181623573153
full,EQ,original,raw,total_F_vs_R,509,20260927,0.6096833254094269
full,EQ,original,raw,total_F_vs_R,509,20260928,0.6900915517191852
full,EQ,original,raw,ml_vs_threshold_F,509,20260925,13.113569869092789
full,EQ,original,raw,ml_vs_threshold_F,509,20260926,13.19450852753521
full,EQ,original,raw,ml_vs_threshold_F,509,20260927,13.676086935394505
full,EQ,original,raw,ml_vs_threshold_F,509,20260928,13.60664991851307
full,EQ,original,calibrated,nonlinear_R,509,20260925,7.504203666479037
full,EQ,original,calibrated,nonlinear_R,509,20260926,7.872305359816911
full,EQ,original,calibrated,nonlinear_R,509,20260927,7.64638968023964
full,EQ,original,calibrated,nonlinear_R,509,20260928,7.640064911467093
full,EQ,original,calibrated,nonlinear_F,509,20260925,14.773800915980829
full,EQ,original,calibrated,nonlinear_F,509,20260926,14.804459401774928
full,EQ,original,calibrated,nonlinear_F,509,20260927,15.173681745439293
full,EQ,original,calibrated,nonlinear_F,509,20260928,14.812766398908483
full,EQ,original,calibrated,market_B_vs_R,509,20260925,-0.48465589065807
full,EQ,original,calibrated,market_B_vs_R,509,20260926,-1.470864114263648
full,EQ,original,calibrated,market_B_vs_R,509,20260927,-0.8197941437421363
full,EQ,original,calibrated,market_B_vs_R,509,20260928,-0.7846059967556718
full,EQ,original,calibrated,position_F_vs_B,509,20260925,1.4858142719917478
full,EQ,original,calibrated,position_F_vs_B,509,20260926,2.088726871660884
full,EQ,original,calibrated,position_F_vs_B,509,20260927,2.123522575704384
full,EQ,original,calibrated,position_F_vs_B,509,20260928,1.67949719004985
full,EQ,original,calibrated,total_F_vs_R,509,20260925,1.0083594677271268
full,EQ,original,calibrated,total_F_vs_R,509,20260926,0.6485850913974911
full,EQ,original,calibrated,total_F_vs_R,509,20260927,1.3211369456789135
full,EQ,original,calibrated,total_F_vs_R,509,20260928,0.908068628962655
full,EQ,original,calibrated,ml_vs_threshold_F,509,20260925,10.1707433617091
full,EQ,original,calibrated,ml_vs_threshold_F,509,20260926,10.203057708918518
full,EQ,original,calibrated,ml_vs_threshold_F,509,20260927,10.59222171038854
full,EQ,original,calibrated,ml_vs_threshold_F,509,20260928,10.211813366045352
full,EQ,own_scale,raw,nonlinear_R,509,20260925,5.094562363041288
full,EQ,own_scale,raw,nonlinear_R,509,20260926,4.792168599963187
full,EQ,own_scale,raw,nonlinear_R,509,20260927,4.814883575805062
full,EQ,own_scale,raw,nonlinear_R,509,20260928,4.744016359991687
full,EQ,own_scale,raw,nonlinear_F,509,20260925,11.140992234660875
full,EQ,own_scale,raw,nonlinear_F,509,20260926,11.142681899642003
full,EQ,own_scale,raw,nonlinear_F,509,20260927,10.570377025018384
full,EQ,own_scale,raw,nonlinear_F,509,20260928,11.256036919318134
full,EQ,own_scale,raw,market_B_vs_R,509,20260925,-2.1851448178605626
full,EQ,own_scale,raw,market_B_vs_R,509,20260926,-2.2840995186040436
full,EQ,own_scale,raw,market_B_vs_R,509,20260927,-2.419448787852674
full,EQ,own_scale,raw,market_B_vs_R,509,20260928,-2.0616599961022386
full,EQ,own_scale,raw,position_F_vs_B,509,20260925,2.28698875756691
full,EQ,own_scale,raw,position_F_vs_B,509,20260926,2.6934218189955894
full,EQ,own_scale,raw,position_F_vs_B,509,20260927,2.172778470560166
full,EQ,own_scale,raw,position_F_vs_B,509,20260928,2.654983219104834
full,EQ,own_scale,raw,total_F_vs_R,509,20260925,0.15181795602736692
full,EQ,own_scale,raw,total_F_vs_R,509,20260926,0.47084273519319986
full,EQ,own_scale,raw,total_F_vs_R,509,20260927,-0.19410105492381202
full,EQ,own_scale,raw,total_F_vs_R,509,20260928,0.64805994993411
full,EQ,own_scale,raw,ml_vs_threshold_F,509,20260925,6.492326306815876
full,EQ,own_scale,raw,ml_vs_threshold_F,509,20260926,6.494104366752396
full,EQ,own_scale,raw,ml_vs_threshold_F,509,20260927,5.891859317936998
full,EQ,own_scale,raw,ml_vs_threshold_F,509,20260928,6.613389563131711
full,EQ,own_scale,calibrated,nonlinear_R,509,20260925,3.750933437722348
full,EQ,own_scale,calibrated,nonlinear_R,509,20260926,3.8803783627351374
full,EQ,own_scale,calibrated,nonlinear_R,509,20260927,3.8953698215506094
full,EQ,own_scale,calibrated,nonlinear_R,509,20260928,3.925816547831573
full,EQ,own_scale,calibrated,nonlinear_F,509,20260925,14.222061915645423
full,EQ,own_scale,calibrated,nonlinear_F,509,20260926,14.169652860313263
full,EQ,own_scale,calibrated,nonlinear_F,509,20260927,13.852477780919925
full,EQ,own_scale,calibrated,nonlinear_F,509,20260928,14.026895052576304
full,EQ,own_scale,calibrated,market_B_vs_R,509,20260925,1.5122095908888356
full,EQ,own_scale,calibrated,market_B_vs_R,509,20260926,1.0791014667176135
full,EQ,own_scale,calibrated,market_B_vs_R,509,20260927,1.5458897251307002
full,EQ,own_scale,calibrated,market_B_vs_R,509,20260928,1.2383771732045856
full,EQ,own_scale,calibrated,position_F_vs_B,509,20260925,2.7732141968368818
full,EQ,own_scale,calibrated,position_F_vs_B,509,20260926,3.009318578961906
full,EQ,own_scale,calibrated,position_F_vs_B,509,20260927,2.174095127049158
full,EQ,own_scale,calibrated,position_F_vs_B,509,20260928,2.6452964184824457
full,EQ,own_scale,calibrated,total_F_vs_R,509,20260925,4.243486976665256
full,EQ,own_scale,calibrated,total_F_vs_R,509,20260926,4.055946444755731
full,EQ,own_scale,calibrated,total_F_vs_R,509,20260927,3.6863757389962393
full,EQ,own_scale,calibrated,total_F_vs_R,509,20260928,3.850914844676945
full,EQ,own_scale,calibrated,ml_vs_threshold_F,509,20260925,6.5177755467305865
full,EQ,own_scale,calibrated,ml_vs_threshold_F,509,20260926,6.460659286030468
full,EQ,own_scale,calibrated,ml_vs_threshold_F,509,20260927,6.1149966060337295
full,EQ,own_scale,calibrated,ml_vs_threshold_F,509,20260928,6.305079451362494
full,CAP,original,raw,nonlinear_R,509,20260925,3.994414290445236
full,CAP,original,raw,nonlinear_R,509,20260926,3.8923375822080275
full,CAP,original,raw,nonlinear_R,509,20260927,3.91052232246496
full,CAP,original,raw,nonlinear_R,509,20260928,4.023408129250916
full,CAP,original,raw,nonlinear_F,509,20260925,2.139989865316194
full,CAP,original,raw,nonlinear_F,509,20260926,2.056200047261292
full,CAP,original,raw,nonlinear_F,509,20260927,1.9865612026468416
full,CAP,original,raw,nonlinear_F,509,20260928,1.946532921949884
full,CAP,original,raw,market_B_vs_R,509,20260925,-1.9357637927928106
full,CAP,original,raw,market_B_vs_R,509,20260926,-1.82749701199878
full,CAP,original,raw,market_B_vs_R,509,20260927,-1.8467676608661998
full,CAP,original,raw,market_B_vs_R,509,20260928,-1.9665578546190776
full,CAP,original,raw,position_F_vs_B,509,20260925,0.6734766845808648
full,CAP,original,raw,position_F_vs_B,509,20260926,0.5884312068093922
full,CAP,original,raw,position_F_vs_B,509,20260927,0.5177487665180447
full,CAP,original,raw,position_F_vs_B,509,20260928,0.477120628932004
full,CAP,original,raw,total_F_vs_R,509,20260925,-1.2492501903989428
full,CAP,original,raw,total_F_vs_R,509,20260926,-1.2283122424672888
full,CAP,original,raw,total_F_vs_R,509,20260927,-1.3194572775635738
full,CAP,original,raw,total_F_vs_R,509,20260928,-1.4800543724828197
full,CAP,original,raw,ml_vs_threshold_F,509,20260925,-0.8807068215590741
full,CAP,original,raw,ml_vs_threshold_F,509,20260926,-0.9670830242408002
full,CAP,original,raw,ml_vs_threshold_F,509,20260927,-1.0388714479010241
full,CAP,original,raw,ml_vs_threshold_F,509,20260928,-1.080135302707541
full,CAP,original,calibrated,nonlinear_R,509,20260925,10.86998270372861
full,CAP,original,calibrated,nonlinear_R,509,20260926,10.589142956137998
full,CAP,original,calibrated,nonlinear_R,509,20260927,10.785268209945166
full,CAP,original,calibrated,nonlinear_R,509,20260928,10.9674788157897
full,CAP,original,calibrated,nonlinear_F,509,20260925,10.214571957060702
full,CAP,original,calibrated,nonlinear_F,509,20260926,10.36127618137942
full,CAP,original,calibrated,nonlinear_F,509,20260927,10.151737802949734
full,CAP,original,calibrated,nonlinear_F,509,20260928,10.197271513779715
full,CAP,original,calibrated,market_B_vs_R,509,20260925,-0.3930294875341023
full,CAP,original,calibrated,market_B_vs_R,509,20260926,-0.07769470612934981
full,CAP,original,calibrated,market_B_vs_R,509,20260927,-0.2977005603291394
full,CAP,original,calibrated,market_B_vs_R,509,20260928,-0.5029660581588491
full,CAP,original,calibrated,position_F_vs_B,509,20260925,-0.0818858947102985
full,CAP,original,calibrated,position_F_vs_B,509,20260926,0.08164214941192016
full,CAP,original,calibrated,position_F_vs_B,509,20260927,-0.1519257751129155
full,CAP,original,calibrated,position_F_vs_B,509,20260928,-0.10117032680707627
full,CAP,original,calibrated,total_F_vs_R,509,20260925,-0.47523721795672547
full,CAP,original,calibrated,total_F_vs_R,509,20260926,0.0040108749106204655
full,CAP,original,calibrated,total_F_vs_R,509,20260927,-0.45007861932584436
full,CAP,original,calibrated,total_F_vs_R,509,20260928,-0.6046452373707156
