definition,variant,strategy,seed,fold,n,mean_correction_bp,correction_min_bp,correction_max_bp,mean_oldest_age_hours,mean_latest_age_hours,mean_history_label_days,mean_previous_origin_month_fraction,realized_month_raw_error_q10
CAP,original,linear,20260925,2025-12,139,-8.913214260092282,-19.319903620369132,1.4632514840418507,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.5095270946843202
CAP,original,linear,20260925,2026-01,137,0.04314798243570056,-0.9985361279163065,1.5446015395397543,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,0.2844829109295386
CAP,original,linear,20260925,2026-02,128,-1.3027495330310774,-2.547029186744874,0.3777205354051958,317.3203125,12.96875,10.109375,0.26393229166666665,-1.3136896780706753
CAP,original,linear,20260925,2026-03,105,-2.113142321605805,-5.395365041131093,1.8090431941388676,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-3.7289144337616538
CAP,original,ml_selected,20260925,2025-12,139,-4.108506972157258,-8.700277126780097,1.1164605615455727,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.0267777093113226
CAP,original,ml_selected,20260925,2026-01,137,-0.6073839143283625,-2.114986032435155,1.2235518402097028,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-1.1068842868610176
CAP,original,ml_selected,20260925,2026-02,128,-1.5037121036387908,-3.8910011821547528,1.2920155362982086,317.3203125,12.96875,10.109375,0.26393229166666665,-0.7247695911546508
CAP,original,ml_selected,20260925,2026-03,105,-3.0981368360962542,-6.942881237919529,2.0273921475725416,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-6.0142737433598175
CAP,original,ml_selected,20260926,2025-12,139,-4.108506972157258,-8.700277126780097,1.1164605615455727,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.0267777093113226
CAP,original,ml_selected,20260926,2026-01,137,-0.6073839143283625,-2.114986032435155,1.2235518402097028,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-1.1068842868610176
CAP,original,ml_selected,20260926,2026-02,128,-1.5037121036387908,-3.8910011821547528,1.2920155362982086,317.3203125,12.96875,10.109375,0.26393229166666665,-0.7247695911546508
CAP,original,ml_selected,20260926,2026-03,105,-3.2790703846515967,-6.942881237919529,1.2634802753404193,287.79047619047617,12.914285714285715,9.219047619047618,0.32841269841269843,-6.367273208763525
CAP,original,ml_selected,20260927,2025-12,139,-4.108506972157258,-8.700277126780097,1.1164605615455727,326.3021582733813,13.906474820143885,10.302158273381295,0.2446043165467626,-1.0267777093113226
CAP,original,ml_selected,20260927,2026-01,137,-0.6073839143283625,-2.114986032435155,1.2235518402097028,352.2116788321168,14.065693430656934,10.700729927007298,0.24756690997566907,-1.1068842868610176
CAP,original,ml_selected,20260927,2026-02,128,-1.5037121036387908,-3.8910011821547528,1.2920155362982086,317.3203125,12.96875,10.109375,0.26393229166666665,-0.7247695911546508
