definition,variant,information,fold,candidate,kind,n,score
EQ,original,R,2025-12,0,linear,479,1.3965412964250348
EQ,original,R,2025-12,1,linear,479,1.4259473632214599
EQ,original,R,2025-12,2,linear,479,1.4200593224000766
EQ,original,R,2025-12,3,linear,479,1.396541296425035
EQ,original,R,2025-12,4,linear,479,1.3818146479883402
EQ,original,R,2025-12,5,linear,479,1.4292278778048058
EQ,original,R,2025-12,6,linear,479,1.4460262672516364
EQ,original,R,2025-12,7,linear,479,1.4409123133098283
EQ,original,R,2025-12,8,linear,479,1.4322782759242816
EQ,original,R,2025-12,9,linear,479,1.446026267251636
EQ,original,R,2025-12,10,linear,479,1.4213554630627132
EQ,original,R,2025-12,11,linear,479,1.420502419017827
EQ,original,R,2025-12,12,qrf,479,1.4495853051502052
EQ,original,R,2025-12,13,qrf,479,1.4503551215790105
EQ,original,R,2025-12,14,qrf,479,1.4612972501291346
EQ,original,R,2025-12,15,qrf,479,1.380352830213277
EQ,original,R,2025-12,16,qrf,479,1.3835662957753307
EQ,original,R,2025-12,17,qrf,479,1.3659068065157398
EQ,original,R,2025-12,18,qrf,479,1.4554468813141361
EQ,original,R,2025-12,19,qrf,479,1.4579812513043398
EQ,original,R,2025-12,20,qrf,479,1.4667195556230819
EQ,original,R,2025-12,21,qrf,479,1.379499328594748
EQ,original,R,2025-12,22,qrf,479,1.3837723545009764
EQ,original,R,2025-12,23,qrf,479,1.3737444160495171
EQ,original,R,2025-12,24,boosting,479,1.4298836913443564
EQ,original,R,2025-12,25,boosting,479,1.4529855523079718
EQ,original,R,2025-12,26,boosting,479,1.4561180596599217
EQ,original,R,2025-12,27,boosting,479,1.4009825024020848
EQ,original,R,2025-12,28,boosting,479,1.4238597606492978
EQ,original,R,2025-12,29,boosting,479,1.365593747438605
EQ,original,R,2025-12,30,boosting,479,1.4235600812042948
EQ,original,R,2025-12,31,boosting,479,1.4478309311923196
EQ,original,R,2025-12,32,boosting,479,1.48561540049951
EQ,original,R,2025-12,33,boosting,479,1.3772976005852282
EQ,original,R,2025-12,34,boosting,479,1.4075290652333299
EQ,original,R,2025-12,35,boosting,479,1.3832526001600494
EQ,original,R,2025-12,36,threshold,479,1.5561136531739175
EQ,original,R,2025-12,37,threshold,479,1.4623239615619288
EQ,original,R,2025-12,38,threshold,479,1.438406483658725
EQ,original,R,2025-12,39,threshold,479,1.4608612347692518
EQ,original,R,2025-12,40,threshold,479,1.4329020949075075
EQ,original,R,2025-12,41,threshold,479,1.4472980476812578
EQ,original,R,2025-12,42,threshold,479,1.556113653173917
EQ,original,R,2025-12,43,threshold,479,1.4454542285612084
