sample,definition,variant,calibration,comparison,n,block_days,difference_bp,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months
full,CAP,original,raw,ml_vs_threshold_F,509,1,-0.013004277966784347,-0.9916991491020877,-4.671431912695431,2.459786395971813,0.5775,1
full,CAP,original,raw,ml_vs_threshold_F,509,5,-0.013004277966784347,-0.9916991491020877,-4.049098751374588,1.894648804406001,0.507,1
full,CAP,original,raw,ml_vs_threshold_F,509,10,-0.013004277966784347,-0.9916991491020877,-3.5587171491090617,1.357378323230669,0.456,1
full,CAP,original,calibrated,nonlinear_R,509,1,0.16115436165432376,10.802968171400362,5.755221041083815,15.45964780601869,0.0005,3
full,CAP,original,calibrated,nonlinear_R,509,5,0.16115436165432376,10.802968171400362,4.009064818612059,16.71101751918116,0.0025,3
full,CAP,original,calibrated,nonlinear_R,509,10,0.16115436165432376,10.802968171400362,3.7720930118441927,16.7973374116118,0.0055,3
full,CAP,original,calibrated,nonlinear_F,509,1,0.15223107889329524,10.231214363792374,4.920793357044159,15.226069424827863,0.001,3
full,CAP,original,calibrated,nonlinear_F,509,5,0.15223107889329524,10.231214363792374,3.0469707040631,16.60326899676634,0.0075,3
full,CAP,original,calibrated,nonlinear_F,509,10,0.15223107889329524,10.231214363792374,2.762418672270641,16.70592725344141,0.01,3
full,CAP,original,calibrated,market_B_vs_R,509,1,-0.004226047544396234,-0.3176033014581803,-2.334398928277872,1.5478376733200476,0.749,3
full,CAP,original,calibrated,market_B_vs_R,509,5,-0.004226047544396234,-0.3176033014581803,-2.171816708420788,1.6810491462143546,0.761,3
full,CAP,original,calibrated,market_B_vs_R,509,10,-0.004226047544396234,-0.3176033014581803,-1.5811437331826563,0.8038365630464539,0.6035,3
full,CAP,original,calibrated,position_F_vs_B,509,1,-0.000845415159875503,-0.0633349618046175,-1.1503781330290592,1.0424934144175122,0.9175,1
full,CAP,original,calibrated,position_F_vs_B,509,5,-0.000845415159875503,-0.0633349618046175,-1.008279526103336,0.9281728012481795,0.914,1
full,CAP,original,calibrated,position_F_vs_B,509,10,-0.000845415159875503,-0.0633349618046175,-0.7428344991671328,0.64581693725446,0.8715,1
full,CAP,original,calibrated,total_F_vs_R,509,1,-0.005071462704271733,-0.38113941719246647,-1.9720623387672858,1.04582954970767,0.6075,1
full,CAP,original,calibrated,total_F_vs_R,509,5,-0.005071462704271733,-0.38113941719246647,-1.8288027336484856,1.0751531859886252,0.614,1
full,CAP,original,calibrated,total_F_vs_R,509,10,-0.005071462704271733,-0.38113941719246647,-1.503816689937473,0.5870000488451915,0.493,1
full,CAP,original,calibrated,ml_vs_threshold_F,509,1,0.15284112130178493,10.268004484415517,4.486583569550046,16.091156614095638,0.0035,3
full,CAP,original,calibrated,ml_vs_threshold_F,509,5,0.15284112130178493,10.268004484415517,1.1757353880912067,17.89862696959041,0.0265,3
full,CAP,original,calibrated,ml_vs_threshold_F,509,10,0.15284112130178493,10.268004484415517,0.45445493761510763,18.56745548218459,0.055,3
full,CAP,own_scale,raw,nonlinear_R,509,1,0.03336856106243093,2.458525008447887,-2.806142285120801,7.364130916263878,0.337,2
full,CAP,own_scale,raw,nonlinear_R,509,5,0.03336856106243093,2.458525008447887,-2.0536127670190765,6.6752405406089395,0.2795,2
full,CAP,own_scale,raw,nonlinear_R,509,10,0.03336856106243093,2.458525008447887,-1.5404498161570557,6.106272289459213,0.238,2
full,CAP,own_scale,raw,nonlinear_F,509,1,0.053507136119010375,3.8796766848283704,-2.2831745451395937,10.145500237312172,0.239,3
full,CAP,own_scale,raw,nonlinear_F,509,5,0.053507136119010375,3.8796766848283704,-2.936227964275627,9.574721661519884,0.229,3
full,CAP,own_scale,raw,nonlinear_F,509,10,0.053507136119010375,3.8796766848283704,-1.6940623718083672,8.798388609563771,0.179,3
full,CAP,own_scale,raw,market_B_vs_R,509,1,-0.007316256805427966,-0.5526329476123193,-1.1918734400772137,0.14902759797378243,0.102,1
full,CAP,own_scale,raw,market_B_vs_R,509,5,-0.007316256805427966,-0.5526329476123193,-1.2273086323769087,0.1776740049014173,0.109,1
full,CAP,own_scale,raw,market_B_vs_R,509,10,-0.007316256805427966,-0.5526329476123193,-1.213492555244495,0.12526441324308638,0.1105,1
full,CAP,own_scale,raw,position_F_vs_B,509,1,0.005549378814828622,0.41686819083170956,-1.1088699748407074,2.1395766818860853,0.626,1
full,CAP,own_scale,raw,position_F_vs_B,509,5,0.005549378814828622,0.41686819083170956,-0.7950290678402817,1.481075510348366,0.495,1
full,CAP,own_scale,raw,position_F_vs_B,509,10,0.005549378814828622,0.41686819083170956,-0.4565778941256234,1.2963818395755877,0.3595,1
full,CAP,own_scale,raw,total_F_vs_R,509,1,-0.0017668779905993426,-0.1334610058099539,-1.8344180546464663,1.7149586349063533,0.879,1
full,CAP,own_scale,raw,total_F_vs_R,509,5,-0.0017668779905993426,-0.1334610058099539,-1.6923093513705856,1.34326968785272,0.8695,1
full,CAP,own_scale,raw,total_F_vs_R,509,10,-0.0017668779905993426,-0.1334610058099539,-1.4711845249015403,1.165789768005834,0.857,1
full,CAP,own_scale,raw,ml_vs_threshold_F,509,1,0.0020811977538406578,0.15674751839249712,-3.376655787792719,3.5080482415867666,0.9285,2
full,CAP,own_scale,raw,ml_vs_threshold_F,509,5,0.0020811977538406578,0.15674751839249712,-2.960733538419874,3.356385886258112,0.918,2
full,CAP,own_scale,raw,ml_vs_threshold_F,509,10,0.0020811977538406578,0.15674751839249712,-2.876352227237631,2.8548207329560817,0.919,2
full,CAP,own_scale,calibrated,nonlinear_R,509,1,0.150211922489101,10.071033159818722,5.026598711729972,14.552461319150453,0.0015,3
full,CAP,own_scale,calibrated,nonlinear_R,509,5,0.150211922489101,10.071033159818722,3.095412150672897,15.935566322559371,0.006,3
full,CAP,own_scale,calibrated,nonlinear_R,509,10,0.150211922489101,10.071033159818722,2.981368224587106,16.222963212596838,0.0105,3
full,CAP,own_scale,calibrated,nonlinear_F,509,1,0.1524160550984427,10.249852303375295,4.135061392160235,15.82105330338832,0.0005,3
full,CAP,own_scale,calibrated,nonlinear_F,509,5,0.1524160550984427,10.249852303375295,2.971957415013383,16.812224225967075,0.0085,3
full,CAP,own_scale,calibrated,nonlinear_F,509,10,0.1524160550984427,10.249852303375295,2.914725467084459,16.661432424274814,0.011,3
full,CAP,own_scale,calibrated,market_B_vs_R,509,1,0.006144153427768042,0.45807023173646266,-0.30075152815691375,1.2718063637411057,0.2465,3
full,CAP,own_scale,calibrated,market_B_vs_R,509,5,0.006144153427768042,0.45807023173646266,-0.1947007664187757,1.1007034453393092,0.168,3
full,CAP,own_scale,calibrated,market_B_vs_R,509,10,0.006144153427768042,0.45807023173646266,-0.07022472515295092,1.0118121938566884,0.1095,3
full,CAP,own_scale,calibrated,position_F_vs_B,509,1,0.0005771042485482322,0.043223331036057466,-1.0671309416480073,1.196280828773672,0.941,1
full,CAP,own_scale,calibrated,position_F_vs_B,509,5,0.0005771042485482322,0.043223331036057466,-0.9199768032063677,1.0514714501838522,0.932,1
full,CAP,own_scale,calibrated,position_F_vs_B,509,10,0.0005771042485482322,0.043223331036057466,-0.6400600840495592,0.7700039963062569,0.914,1
full,CAP,own_scale,calibrated,total_F_vs_R,509,1,0.006721257676316277,0.501095569559884,-1.002484134534859,1.9649291001299138,0.499,2
full,CAP,own_scale,calibrated,total_F_vs_R,509,5,0.006721257676316277,0.501095569559884,-0.7956150828510328,1.785385590422064,0.4405,2
full,CAP,own_scale,calibrated,total_F_vs_R,509,10,0.006721257676316277,0.501095569559884,-0.4666731783231239,1.4821030522351604,0.323,2
full,CAP,own_scale,calibrated,ml_vs_threshold_F,509,1,0.15528548748104845,10.422706855235509,4.4169346025654,15.910758467779193,0.0015,3
full,CAP,own_scale,calibrated,ml_vs_threshold_F,509,5,0.15528548748104845,10.422706855235509,0.6573337833534378,18.034230164314582,0.037,3
full,CAP,own_scale,calibrated,ml_vs_threshold_F,509,10,0.15528548748104845,10.422706855235509,-0.12627763526761748,19.100714516112546,0.0675,3
full,PCA,original,raw,nonlinear_R,509,1,0.08389508396678005,3.9950473081030613,-5.540603136757408,11.797960157630358,0.419,3
full,PCA,original,raw,nonlinear_R,509,5,0.08389508396678005,3.9950473081030613,-4.5226365640331245,10.478574485188089,0.341,3
full,PCA,original,raw,nonlinear_R,509,10,0.08389508396678005,3.9950473081030613,-2.884494124845076,9.421199919050029,0.2705,3
full,PCA,original,raw,nonlinear_F,509,1,0.25057949309024696,11.201180282905144,1.8455515779312932,19.169410000535397,0.0515,4
full,PCA,original,raw,nonlinear_F,509,5,0.25057949309024696,11.201180282905144,3.345977587550933,17.343085534049923,0.018,4
full,PCA,original,raw,nonlinear_F,509,10,0.25057949309024696,11.201180282905144,4.074907879751992,16.84874111874177,0.007,4
full,PCA,original,raw,market_B_vs_R,509,1,0.03315493911236149,1.6445232208457283,-2.6670789075468733,6.069228678226228,0.476,3
full,PCA,original,raw,market_B_vs_R,509,5,0.03315493911236149,1.6445232208457283,-2.4150599156490924,5.978447692141343,0.467,3
full,PCA,original,raw,market_B_vs_R,509,10,0.03315493911236149,1.6445232208457283,-2.1874487906994755,5.265095169771509,0.4185,3
full,PCA,original,raw,position_F_vs_B,509,1,-0.0035744493669894414,-0.18026124947467803,-4.845115673714316,3.9979710183271324,0.943,2
full,PCA,original,raw,position_F_vs_B,509,5,-0.0035744493669894414,-0.18026124947467803,-4.985739834454843,4.216821170861537,0.949,2
full,PCA,original,raw,position_F_vs_B,509,10,-0.0035744493669894414,-0.18026124947467803,-4.309648369342993,4.090816851925988,0.937,2
full,PCA,original,raw,total_F_vs_R,509,1,0.029580489745372043,1.4672264094768406,-0.20799652034637078,3.289986467407242,0.078,3
full,PCA,original,raw,total_F_vs_R,509,5,0.029580489745372043,1.4672264094768406,0.053478000187420056,3.44329723225434,0.0685,3
full,PCA,original,raw,total_F_vs_R,509,10,0.029580489745372043,1.4672264094768406,0.19429407947151683,3.0522190041614907,0.0295,3
full,PCA,original,raw,ml_vs_threshold_F,509,1,0.30235299844496927,13.209794569582712,7.106693917326022,18.885990976822914,0.0005,4
full,PCA,original,raw,ml_vs_threshold_F,509,5,0.30235299844496927,13.209794569582712,6.949732426245362,19.638339401462755,0.0005,4
full,PCA,original,raw,ml_vs_threshold_F,509,10,0.30235299844496927,13.209794569582712,7.457733621333589,18.80662102394882,0.0005,4
full,PCA,original,calibrated,nonlinear_R,509,1,0.1483665931293665,7.380298921648487,0.49855451047883365,12.734517304590776,0.041,4
full,PCA,original,calibrated,nonlinear_R,509,5,0.1483665931293665,7.380298921648487,0.3421511320399112,12.639518675198515,0.0405,4
full,PCA,original,calibrated,nonlinear_R,509,10,0.1483665931293665,7.380298921648487,0.5506016375604765,12.927777690224834,0.0335,4
full,PCA,original,calibrated,nonlinear_F,509,1,0.3238856886729448,14.902321168447873,8.80297323933559,19.933962772918512,0.0005,3
full,PCA,original,calibrated,nonlinear_F,509,5,0.3238856886729448,14.902321168447873,8.482486063949684,20.042904825086985,0.0005,3
full,PCA,original,calibrated,nonlinear_F,509,10,0.3238856886729448,14.902321168447873,8.425615623467968,20.2815351851263,0.0005,3
full,PCA,original,calibrated,market_B_vs_R,509,1,-0.030198915434477707,-1.6219064424763507,-4.854551457035888,1.4447934964725966,0.2885,1
full,PCA,original,calibrated,market_B_vs_R,509,5,-0.030198915434477707,-1.6219064424763507,-4.607550412785934,1.1714595736926157,0.246,1
full,PCA,original,calibrated,market_B_vs_R,509,10,-0.030198915434477707,-1.6219064424763507,-4.6022533797972205,0.8032988130752208,0.2205,1
full,PCA,original,calibrated,position_F_vs_B,509,1,0.04263314916580588,2.2531729488591723,-0.9271004500380581,5.044520776501785,0.1125,3
full,PCA,original,calibrated,position_F_vs_B,509,5,0.04263314916580588,2.2531729488591723,-0.431153905881511,4.93047047609514,0.075,3
full,PCA,original,calibrated,position_F_vs_B,509,10,0.04263314916580588,2.2531729488591723,-0.022772100897367552,4.9111282879822715,0.0485,3
full,PCA,original,calibrated,total_F_vs_R,509,1,0.012434233731328162,0.6678108636005042,-0.6998436866376817,2.056425239215712,0.339,3
full,PCA,original,calibrated,total_F_vs_R,509,5,0.012434233731328162,0.6678108636005042,-0.5763769673973214,1.9149391066407662,0.2735,3
full,PCA,original,calibrated,total_F_vs_R,509,10,0.012434233731328162,0.6678108636005042,-0.4585399869913994,1.7654931113514716,0.2335,3
full,PCA,original,calibrated,ml_vs_threshold_F,509,1,0.21327251362971378,10.339093421038381,4.867899242247385,15.164239913166309,0.0005,3
full,PCA,original,calibrated,ml_vs_threshold_F,509,5,0.21327251362971378,10.339093421038381,4.75987131906967,15.999831486917898,0.001,3
full,PCA,original,calibrated,ml_vs_threshold_F,509,10,0.21327251362971378,10.339093421038381,4.760396167400422,15.715336576759139,0.001,3
full,PCA,own_scale,raw,nonlinear_R,509,1,0.08637696956541908,4.1543670483790045,-5.958007543745569,12.480977190061626,0.4225,3
full,PCA,own_scale,raw,nonlinear_R,509,5,0.08637696956541908,4.1543670483790045,-5.196353209974438,11.39037533787829,0.3325,3
full,PCA,own_scale,raw,nonlinear_R,509,10,0.08637696956541908,4.1543670483790045,-3.5713988348454655,10.184530618338007,0.2845,3
full,PCA,own_scale,raw,nonlinear_F,509,1,0.2605125357739324,11.688552959897292,2.24248435164414,19.65703279917004,0.048,4
full,PCA,own_scale,raw,nonlinear_F,509,5,0.2605125357739324,11.688552959897292,3.679485686194814,17.911855217736097,0.016,4
full,PCA,own_scale,raw,nonlinear_F,509,10,0.2605125357739324,11.688552959897292,4.4762534974881785,17.49406570642667,0.006,4
full,PCA,own_scale,raw,market_B_vs_R,509,1,-0.050591725370070485,-2.5387156637359576,-6.40830745602935,0.7134725884743971,0.159,1
full,PCA,own_scale,raw,market_B_vs_R,509,5,-0.050591725370070485,-2.5387156637359576,-6.572037076722619,0.7128890446237941,0.155,1
full,PCA,own_scale,raw,market_B_vs_R,509,10,-0.050591725370070485,-2.5387156637359576,-6.3617634911178005,0.5973943388136773,0.1515,1
full,PCA,own_scale,raw,position_F_vs_B,509,1,0.07512865839206026,3.676650363147971,1.4195877215899888,6.053535675072419,0.0065,4
full,PCA,own_scale,raw,position_F_vs_B,509,5,0.07512865839206026,3.676650363147971,1.7241459862179696,5.796223791060335,0.001,4
full,PCA,own_scale,raw,position_F_vs_B,509,10,0.07512865839206026,3.676650363147971,1.9489020102010448,5.589372196642861,0.0005,4
full,PCA,own_scale,raw,total_F_vs_R,509,1,0.02453693302198978,1.2312743980820495,-3.5163232201974335,5.331419776274176,0.571,2
full,PCA,own_scale,raw,total_F_vs_R,509,5,0.02453693302198978,1.2312743980820495,-3.445275333490586,5.0858539436790835,0.573,2
full,PCA,own_scale,raw,total_F_vs_R,509,10,0.02453693302198978,1.2312743980820495,-3.121003346833397,4.761112882293812,0.5715,2
full,PCA,own_scale,raw,ml_vs_threshold_F,509,1,0.12376417228964588,5.915970154914685,-1.2282701003936325,12.237396543799836,0.1135,4
full,PCA,own_scale,raw,ml_vs_threshold_F,509,5,0.12376417228964588,5.915970154914685,-0.7088837888145064,11.620452028000095,0.072,4
full,PCA,own_scale,raw,ml_vs_threshold_F,509,10,0.12376417228964588,5.915970154914685,-0.40410447561137053,11.204204792950495,0.0575,4
full,PCA,own_scale,calibrated,nonlinear_R,509,1,0.09428046958097411,4.695138923223119,-2.6035473265293847,10.645119093284977,0.2095,2
full,PCA,own_scale,calibrated,nonlinear_R,509,5,0.09428046958097411,4.695138923223119,-2.952435746206828,10.816694254135017,0.212,2
full,PCA,own_scale,calibrated,nonlinear_R,509,10,0.09428046958097411,4.695138923223119,-2.6528748131399835,10.143460848321189,0.198,2
full,PCA,own_scale,calibrated,nonlinear_F,509,1,0.3123243319289991,14.432109105770163,7.976716647694183,19.500174884891315,0.0005,3
