sample,definition,variant,calibration,comparison,n,block_days,difference_bp,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months
full,EQ,original,raw,nonlinear_R,509,1,0.11677175043444263,5.477967534545936,-2.7521606774303247,12.450731144594382,0.2175,3
full,EQ,original,raw,nonlinear_R,509,5,0.11677175043444263,5.477967534545936,-2.1064106180533937,11.329992493277839,0.159,3
full,EQ,original,raw,nonlinear_R,509,10,0.11677175043444263,5.477967534545936,-0.7019978188511427,10.573681566704046,0.1045,3
full,EQ,original,raw,nonlinear_F,509,1,0.2503034248544303,11.09913405199061,1.6650362291654168,19.135122352256396,0.0515,4
full,EQ,original,raw,nonlinear_F,509,5,0.2503034248544303,11.09913405199061,3.2288280936057556,17.27077554999705,0.0185,4
full,EQ,original,raw,nonlinear_F,509,10,0.2503034248544303,11.09913405199061,3.872150656394611,16.754316570618762,0.0075,4
full,EQ,original,raw,market_B_vs_R,509,1,0.011499278179725373,0.5707148752750468,-1.643458396293105,2.9637115473663345,0.634,3
full,EQ,original,raw,market_B_vs_R,509,5,0.011499278179725373,0.5707148752750468,-1.4061794072240574,2.5182827368369916,0.5485,3
full,EQ,original,raw,market_B_vs_R,509,10,0.011499278179725373,0.5707148752750468,-1.114109925004774,2.2218193673802014,0.499,3
full,EQ,original,raw,position_F_vs_B,509,1,-0.001467380115517097,-0.07324482148034495,-4.762632663589396,3.265983632478436,0.9685,2
full,EQ,original,raw,position_F_vs_B,509,5,-0.001467380115517097,-0.07324482148034495,-4.8124570380579845,3.400979790435452,0.967,2
full,EQ,original,raw,position_F_vs_B,509,10,-0.001467380115517097,-0.07324482148034495,-4.0281574313591735,3.24654667771572,0.9695,2
full,EQ,original,raw,total_F_vs_R,509,1,0.010031898064208282,0.4978880728862656,-4.53848778691191,4.444560312543357,0.831,2
full,EQ,original,raw,total_F_vs_R,509,5,0.010031898064208282,0.4978880728862656,-4.6691714997724585,4.338188006142049,0.8265,2
full,EQ,original,raw,total_F_vs_R,509,10,0.010031898064208282,0.4978880728862656,-3.897449201314507,4.368014099159276,0.8055,2
full,EQ,original,raw,ml_vs_threshold_F,509,1,0.3101591886638949,13.397703812633877,7.577710364938854,18.84031746466353,0.0005,4
full,EQ,original,raw,ml_vs_threshold_F,509,5,0.3101591886638949,13.397703812633877,7.476536719566898,19.429554992684192,0.0005,4
full,EQ,original,raw,ml_vs_threshold_F,509,10,0.3101591886638949,13.397703812633877,7.952194679277762,18.771779513013463,0.0005,4
full,EQ,original,calibrated,nonlinear_R,509,1,0.15611732432031494,7.665740904500673,1.377985404318103,12.68670044815247,0.033,4
full,EQ,original,calibrated,nonlinear_R,509,5,0.15611732432031494,7.665740904500673,0.7625702140560482,12.741438334596161,0.046,4
full,EQ,original,calibrated,nonlinear_R,509,10,0.15611732432031494,7.665740904500673,1.2561390279526432,12.301924638099429,0.021,4
full,EQ,original,calibrated,nonlinear_F,509,1,0.3258167364755885,14.891177115525888,8.870100313072218,19.81496709534039,0.0005,3
full,EQ,original,calibrated,nonlinear_F,509,5,0.3258167364755885,14.891177115525888,8.587517293980545,19.960423254665898,0.0005,3
full,EQ,original,calibrated,nonlinear_F,509,10,0.3258167364755885,14.891177115525888,8.500993320218743,20.18487592625923,0.0005,3
full,EQ,original,calibrated,market_B_vs_R,509,1,-0.0167259044578038,-0.8894668771167291,-3.3619778044449653,1.7381449284021717,0.508,1
full,EQ,original,calibrated,market_B_vs_R,509,5,-0.0167259044578038,-0.8894668771167291,-3.5465179076420816,2.0150769252146707,0.526,1
full,EQ,original,calibrated,market_B_vs_R,509,10,-0.0167259044578038,-0.8894668771167291,-3.6911896779548585,1.8275853622285163,0.5395,1
full,EQ,original,calibrated,position_F_vs_B,509,1,0.03499906042183674,1.8448061032139806,-1.2161841116314425,4.239839922782685,0.157,3
full,EQ,original,calibrated,position_F_vs_B,509,5,0.03499906042183674,1.8448061032139806,-0.8921240275535757,4.356694473042811,0.1455,3
full,EQ,original,calibrated,position_F_vs_B,509,10,0.03499906042183674,1.8448061032139806,-0.48780922540115956,4.226644336495474,0.1075,3
full,EQ,original,calibrated,total_F_vs_R,509,1,0.018273155964032946,0.9717481653323756,-2.7935315972659267,4.330830286232841,0.5985,3
full,EQ,original,calibrated,total_F_vs_R,509,5,0.018273155964032946,0.9717481653323756,-3.0043303407042172,4.745381382125779,0.611,3
full,EQ,original,calibrated,total_F_vs_R,509,10,0.018273155964032946,0.9717481653323756,-2.9697187630555404,4.860135311596066,0.65,3
full,EQ,original,calibrated,ml_vs_threshold_F,509,1,0.21369935156927994,10.29445903676538,4.932040583724506,14.856566459563192,0.0005,3
full,EQ,original,calibrated,ml_vs_threshold_F,509,5,0.21369935156927994,10.29445903676538,5.072101703015539,15.807804976164501,0.0005,3
full,EQ,original,calibrated,ml_vs_threshold_F,509,10,0.21369935156927994,10.29445903676538,4.8629266969696925,15.620367581902372,0.001,3
full,EQ,own_scale,raw,nonlinear_R,509,1,0.10210066215311867,4.861407724700295,-4.033311329844542,12.31345421782806,0.296,3
full,EQ,own_scale,raw,nonlinear_R,509,5,0.10210066215311867,4.861407724700295,-3.619396418755567,11.125083170566961,0.2215,3
full,EQ,own_scale,raw,nonlinear_R,509,10,0.10210066215311867,4.861407724700295,-2.296168948714016,10.307655162793814,0.172,3
full,EQ,own_scale,raw,nonlinear_F,509,1,0.24698708486223991,11.027522019659841,1.4829292412495623,19.161686555225746,0.0565,4
full,EQ,own_scale,raw,nonlinear_F,509,5,0.24698708486223991,11.027522019659841,2.9285843585321287,17.384049451478866,0.0215,4
full,EQ,own_scale,raw,nonlinear_F,509,10,0.24698708486223991,11.027522019659841,3.853328885846891,16.792766314311585,0.0085,4
full,EQ,own_scale,raw,market_B_vs_R,509,1,-0.044710041436210636,-2.237596836774225,-5.627029573484274,0.8992092681250675,0.158,2
full,EQ,own_scale,raw,market_B_vs_R,509,5,-0.044710041436210636,-2.237596836774225,-5.276791099507565,0.21699041471452968,0.082,2
full,EQ,own_scale,raw,market_B_vs_R,509,10,-0.044710041436210636,-2.237596836774225,-4.976969301128194,-0.17879289860161424,0.036,2
full,EQ,own_scale,raw,position_F_vs_B,509,1,0.05009147337544574,2.452053494374984,-2.266588280236416,6.240956738575014,0.2535,3
full,EQ,own_scale,raw,position_F_vs_B,509,5,0.05009147337544574,2.452053494374984,-1.8963048773155358,6.244247489580146,0.245,3
full,EQ,own_scale,raw,position_F_vs_B,509,10,0.05009147337544574,2.452053494374984,-1.1958294712262498,5.77531917654778,0.1695,3
full,EQ,own_scale,raw,total_F_vs_R,509,1,0.005381431939235109,0.2693237290269046,-4.987129538614333,4.191963573399715,0.913,2
full,EQ,own_scale,raw,total_F_vs_R,509,5,0.005381431939235109,0.2693237290269046,-4.700534428885244,3.8011239350794073,0.901,2
full,EQ,own_scale,raw,total_F_vs_R,509,10,0.005381431939235109,0.2693237290269046,-4.178995772883169,3.8562314615912308,0.894,2
full,EQ,own_scale,raw,ml_vs_threshold_F,509,1,0.13564037337611887,6.372919888659235,-0.5794720889259038,12.116518145236624,0.0735,4
full,EQ,own_scale,raw,ml_vs_threshold_F,509,5,0.13564037337611887,6.372919888659235,-0.15729027239076138,12.155863617155468,0.0505,4
full,EQ,own_scale,raw,ml_vs_threshold_F,509,10,0.13564037337611887,6.372919888659235,-0.03534897193482783,11.629006513339613,0.0455,4
full,EQ,own_scale,calibrated,nonlinear_R,509,1,0.07818769091000438,3.863124542459928,-2.7584200209254925,9.299252757456806,0.2555,2
full,EQ,own_scale,calibrated,nonlinear_R,509,5,0.07818769091000438,3.863124542459928,-3.207719078130609,9.309556863202108,0.268,2
full,EQ,own_scale,calibrated,nonlinear_R,509,10,0.07818769091000438,3.863124542459928,-3.1334928395633206,8.984251683224631,0.2585,2
full,EQ,own_scale,calibrated,nonlinear_F,509,1,0.3059244884970197,14.067771902363734,7.741528517447883,19.0459754194873,0.0005,3
full,EQ,own_scale,calibrated,nonlinear_F,509,5,0.3059244884970197,14.067771902363734,7.633820248379055,19.282158875070387,0.001,3
full,EQ,own_scale,calibrated,nonlinear_F,509,10,0.3059244884970197,14.067771902363734,7.6910701189873425,19.339993175797854,0.0005,3
full,EQ,own_scale,calibrated,market_B_vs_R,509,1,0.026150177880875255,1.3439557398002067,-1.2992525713205618,3.9569935872377395,0.3145,2
full,EQ,own_scale,calibrated,market_B_vs_R,509,5,0.026150177880875255,1.3439557398002067,-0.6345134024434291,3.122875019384046,0.1765,2
full,EQ,own_scale,calibrated,market_B_vs_R,509,10,0.026150177880875255,1.3439557398002067,-0.40734513695230395,2.793330092360719,0.101,2
full,EQ,own_scale,calibrated,position_F_vs_B,509,1,0.05088837305471646,2.6509722856361995,-0.5582812324895886,5.588297371820607,0.083,3
full,EQ,own_scale,calibrated,position_F_vs_B,509,5,0.05088837305471646,2.6509722856361995,-0.06292882807708916,5.2824152653482495,0.0385,3
full,EQ,own_scale,calibrated,position_F_vs_B,509,10,0.05088837305471646,2.6509722856361995,0.43517052491312735,5.136997959208998,0.0105,3
full,EQ,own_scale,calibrated,total_F_vs_R,509,1,0.07703855093559173,3.959300131243082,0.1581409790262333,7.149913534591615,0.0275,4
full,EQ,own_scale,calibrated,total_F_vs_R,509,5,0.07703855093559173,3.959300131243082,1.3155177943797463,6.6246563348432215,0.003,4
full,EQ,own_scale,calibrated,total_F_vs_R,509,10,0.07703855093559173,3.959300131243082,1.4975652515054967,6.544796685197209,0.0015,4
full,EQ,own_scale,calibrated,ml_vs_threshold_F,509,1,0.1267020823250421,6.3496277225393305,0.47417011069436626,11.07926102848692,0.03,3
full,EQ,own_scale,calibrated,ml_vs_threshold_F,509,5,0.1267020823250421,6.3496277225393305,1.2432785457521771,11.282614745824516,0.0145,3
full,EQ,own_scale,calibrated,ml_vs_threshold_F,509,10,0.1267020823250421,6.3496277225393305,1.1500584019654883,11.051425479754082,0.0155,3
full,CAP,original,raw,nonlinear_R,509,1,0.05382590262766094,3.9551705810922932,-0.6711086200464625,8.631143967366407,0.1015,2
full,CAP,original,raw,nonlinear_R,509,5,0.05382590262766094,3.9551705810922932,-0.19556895315712988,7.81503659064678,0.0625,2
full,CAP,original,raw,nonlinear_R,509,10,0.05382590262766094,3.9551705810922932,0.09351319892333818,7.375663042492714,0.044,2
full,CAP,original,raw,nonlinear_F,509,1,0.027472708000224163,2.0323210092935695,-2.4542661722248593,6.634314587018876,0.4035,2
full,CAP,original,raw,nonlinear_F,509,5,0.027472708000224163,2.0323210092935695,-2.2563704113650935,6.0536082757023095,0.3455,2
full,CAP,original,raw,nonlinear_F,509,10,0.027472708000224163,2.0323210092935695,-1.868318645513734,5.524909065788718,0.319,2
full,CAP,original,raw,market_B_vs_R,509,1,-0.0247574545738065,-1.8941130604092304,-3.924864378161633,0.1440520612786293,0.081,1
full,CAP,original,raw,market_B_vs_R,509,5,-0.0247574545738065,-1.8941130604092304,-3.5891634643493378,-0.07667112492250251,0.04,1
full,CAP,original,raw,market_B_vs_R,509,10,-0.0247574545738065,-1.8941130604092304,-3.030229487889487,-0.7669815085225382,0.0005,1
full,CAP,original,raw,position_F_vs_B,509,1,0.007514116020803837,0.5641943217100875,-0.9496315795632682,2.27915241077399,0.502,1
full,CAP,original,raw,position_F_vs_B,509,5,0.007514116020803837,0.5641943217100875,-0.6972297927711328,1.6602088742067385,0.3875,1
full,CAP,original,raw,position_F_vs_B,509,10,0.007514116020803837,0.5641943217100875,-0.29136688365345714,1.420636475370584,0.2055,1
full,CAP,original,raw,total_F_vs_R,509,1,-0.017243338553002665,-1.3192322603655438,-2.771725736704518,0.1554149212820855,0.083,0
full,CAP,original,raw,total_F_vs_R,509,5,-0.017243338553002665,-1.3192322603655438,-2.999349398722469,0.3275726067388279,0.122,0
full,CAP,original,raw,total_F_vs_R,509,10,-0.017243338553002665,-1.3192322603655438,-2.858968462445909,0.23795771750675349,0.1065,0
