definition,fold,feature,train_n,test_n,train_p01,train_median,train_p99,test_p01,test_median,test_p99,below_train_p01,above_train_p99
EQ,2025-08,e_now,310,164,-13.912119894365453,-0.40800177756056266,12.306884639741131,-15.159184324935072,0.7865064033255138,15.536828495782837,0.024390243902439025,0.054878048780487805
EQ,2025-08,e_change1,310,164,-14.20007173276367,-0.06220297387619311,14.406139941233713,-17.323580146984654,-0.16338086580578526,20.49390280588962,0.06707317073170732,0.04878048780487805
EQ,2025-08,e_rms72,310,164,2.8264541350068755,6.018943064734353,65.34327595160359,5.701661498195989,7.947482648903563,12.787569188048849,0.0,0.0
EQ,2025-08,btc_vol24,310,164,18.150902520603875,31.53316448422829,69.0491380715822,17.316835299455775,33.159006656288554,53.584310841507765,0.03048780487804878,0.0
EQ,2025-08,account_log,310,164,-0.8230395527555433,-0.3439030982633313,0.33983920120035566,-0.306155688099902,0.3565157765281034,0.7419889049174064,0.0,0.5853658536585366
EQ,2025-08,funding_bp,310,164,-0.346247,0.4871,1.0,-0.1408,0.6268499999999999,1.0,0.0,0.0
EQ,2025-08,oi_ret1,310,164,-115.93865932032213,2.6604834807386624,249.97204301658385,-94.58261618385374,1.4591210138181765,206.71316114804327,0.0,0.006097560975609756
EQ,2025-08,oi_change24,310,164,-589.528696107979,37.385122397903814,927.9238954826002,-517.4418269445589,-58.02463554656079,847.6448822298081,0.0,0.0
EQ,2025-08,local_volume_surprise,310,164,-0.8698615955180626,0.2615960839078859,1.5993684507932904,-0.8849976066331023,0.2620549106109893,1.8258102078810423,0.012195121951219513,0.04878048780487805
EQ,2025-08,fx_ret1,310,164,-40.18979606801096,0.03591605699071465,45.97952293438558,-21.765400083990993,-0.03611266217173892,22.968202358332512,0.0,0.0
CAP,2025-08,e_now,310,164,-13.77415494671309,-0.11689281233460093,14.173130876816618,-12.938121200818896,0.3512241909345102,15.146260317624948,0.012195121951219513,0.018292682926829267
CAP,2025-08,e_change1,310,164,-16.030654332439404,0.16975068077498934,16.6506931348265,-14.979661335864947,-0.650443195505594,16.085756882904377,0.006097560975609756,0.006097560975609756
CAP,2025-08,e_rms72,310,164,3.3955970976815326,6.5133849718971195,48.832686419552225,5.33569215084263,7.17428087801162,10.559323022254373,0.0,0.0
CAP,2025-08,btc_vol24,310,164,18.150902520603875,31.53316448422829,69.0491380715822,17.316835299455775,33.159006656288554,53.584310841507765,0.03048780487804878,0.0
CAP,2025-08,account_log,310,164,-0.8230395527555433,-0.3439030982633313,0.33983920120035566,-0.306155688099902,0.3565157765281034,0.7419889049174064,0.0,0.5853658536585366
CAP,2025-08,funding_bp,310,164,-0.346247,0.4871,1.0,-0.1408,0.6268499999999999,1.0,0.0,0.0
CAP,2025-08,oi_ret1,310,164,-115.93865932032213,2.6604834807386624,249.97204301658385,-94.58261618385374,1.4591210138181765,206.71316114804327,0.0,0.006097560975609756
CAP,2025-08,oi_change24,310,164,-589.528696107979,37.385122397903814,927.9238954826002,-517.4418269445589,-58.02463554656079,847.6448822298081,0.0,0.0
CAP,2025-08,local_volume_surprise,310,164,-0.8698615955180626,0.2615960839078859,1.5993684507932904,-0.8849976066331023,0.2620549106109893,1.8258102078810423,0.012195121951219513,0.04878048780487805
CAP,2025-08,fx_ret1,310,164,-40.18979606801096,0.03591605699071465,45.97952293438558,-21.765400083990993,-0.03611266217173892,22.968202358332512,0.0,0.0
PCA,2025-08,e_now,310,164,-13.90176102791567,-0.40184746116478587,12.303838011277398,-15.152652962553667,0.7882242194389857,15.526917680339022,0.024390243902439025,0.054878048780487805
PCA,2025-08,e_change1,310,164,-14.188622585431999,-0.05320286105952721,14.414936901978162,-17.3122104125858,-0.17001035404144949,20.493480256153603,0.06707317073170732,0.04878048780487805
PCA,2025-08,e_rms72,310,164,2.8241305135502173,6.018075391317254,65.31758108558593,5.695330155923998,7.943249413039886,12.779980413782704,0.0,0.0
PCA,2025-08,btc_vol24,310,164,18.150902520603875,31.53316448422829,69.0491380715822,17.316835299455775,33.159006656288554,53.584310841507765,0.03048780487804878,0.0
PCA,2025-08,account_log,310,164,-0.8230395527555433,-0.3439030982633313,0.33983920120035566,-0.306155688099902,0.3565157765281034,0.7419889049174064,0.0,0.5853658536585366
PCA,2025-08,funding_bp,310,164,-0.346247,0.4871,1.0,-0.1408,0.6268499999999999,1.0,0.0,0.0
PCA,2025-08,oi_ret1,310,164,-115.93865932032213,2.6604834807386624,249.97204301658385,-94.58261618385374,1.4591210138181765,206.71316114804327,0.0,0.006097560975609756
PCA,2025-08,oi_change24,310,164,-589.528696107979,37.385122397903814,927.9238954826002,-517.4418269445589,-58.02463554656079,847.6448822298081,0.0,0.0
PCA,2025-08,local_volume_surprise,310,164,-0.8698615955180626,0.2615960839078859,1.5993684507932904,-0.8849976066331023,0.2620549106109893,1.8258102078810423,0.012195121951219513,0.04878048780487805
PCA,2025-08,fx_ret1,310,164,-40.18979606801096,0.03591605699071465,45.97952293438558,-21.765400083990993,-0.03611266217173892,22.968202358332512,0.0,0.0
EQ,2025-09,e_now,479,178,-14.360376924110694,-0.6440611455720198,13.84363993227356,-12.222264785821402,1.3696974982467753,13.534276587033437,0.0056179775280898875,0.0056179775280898875
EQ,2025-09,e_change1,479,178,-16.76660192633072,-0.1015590978442793,17.676669210985676,-18.078833037740004,-0.3298875901847307,18.557784446421085,0.02247191011235955,0.016853932584269662
EQ,2025-09,e_rms72,479,178,3.9007455530424124,6.591945863362929,12.969515418438066,6.145137068700697,7.928230430000573,12.692823652014928,0.0,0.0
EQ,2025-09,btc_vol24,479,178,17.631128169583235,32.34641551953559,64.71370784498548,16.12304534275783,27.0288281119404,60.94471273565398,0.0449438202247191,0.0
EQ,2025-09,account_log,479,178,-0.810985370179672,-0.11753071749128907,0.7275115072367933,-0.10956971334536701,0.3305011962387382,0.7881011796903973,0.0,0.028089887640449437
EQ,2025-09,funding_bp,479,178,-0.31739999999999996,0.5297000000000001,1.0,-0.0231,0.5843,1.0,0.0,0.0
EQ,2025-09,oi_ret1,479,178,-107.71008881542663,2.070766663493373,246.36305278854195,-102.999877837002,4.434828901329624,182.2234859216171,0.011235955056179775,0.0
EQ,2025-09,oi_change24,479,178,-580.4063518024847,-10.344175624474872,897.5296481881691,-402.8622997620813,45.07483351566144,448.961959305231,0.0,0.0
EQ,2025-09,local_volume_surprise,479,178,-0.881519396047123,0.25937858262876645,1.77773722200496,-0.9821096622220599,0.2991526727637046,1.7456368088295686,0.016853932584269662,0.011235955056179775
EQ,2025-09,fx_ret1,479,178,-33.39858373702658,0.0718321139814293,41.57276063655487,-20.21219995492327,-0.32263786919450865,20.184488713304617,0.0,0.0
CAP,2025-09,e_now,479,178,-13.924516350642683,-0.21031284235214706,14.704903805271705,-10.5305051345129,1.8234824195570856,15.776764301073287,0.0056179775280898875,0.02247191011235955
CAP,2025-09,e_change1,479,178,-16.446273848224884,0.0224311598565059,16.499891778883352,-15.772030321038821,0.46101541988347927,16.10947381132465,0.0056179775280898875,0.011235955056179775
CAP,2025-09,e_rms72,479,178,4.551896891058994,6.720791980486991,11.677008813481246,5.527291043848844,7.399732432228299,10.033694164367317,0.0,0.0
CAP,2025-09,btc_vol24,479,178,17.631128169583235,32.34641551953559,64.71370784498548,16.12304534275783,27.0288281119404,60.94471273565398,0.0449438202247191,0.0
CAP,2025-09,account_log,479,178,-0.810985370179672,-0.11753071749128907,0.7275115072367933,-0.10956971334536701,0.3305011962387382,0.7881011796903973,0.0,0.028089887640449437
CAP,2025-09,funding_bp,479,178,-0.31739999999999996,0.5297000000000001,1.0,-0.0231,0.5843,1.0,0.0,0.0
CAP,2025-09,oi_ret1,479,178,-107.71008881542663,2.070766663493373,246.36305278854195,-102.999877837002,4.434828901329624,182.2234859216171,0.011235955056179775,0.0
CAP,2025-09,oi_change24,479,178,-580.4063518024847,-10.344175624474872,897.5296481881691,-402.8622997620813,45.07483351566144,448.961959305231,0.0,0.0
CAP,2025-09,local_volume_surprise,479,178,-0.881519396047123,0.25937858262876645,1.77773722200496,-0.9821096622220599,0.2991526727637046,1.7456368088295686,0.016853932584269662,0.011235955056179775
CAP,2025-09,fx_ret1,479,178,-33.39858373702658,0.0718321139814293,41.57276063655487,-20.21219995492327,-0.32263786919450865,20.184488713304617,0.0,0.0
PCA,2025-09,e_now,479,178,-14.347524161630163,-0.6485329174264122,13.810245680937914,-12.1777636733852,1.3575859048119132,13.529117621566114,0.0056179775280898875,0.0056179775280898875
PCA,2025-09,e_change1,479,178,-16.77860205862397,-0.13432532623956073,17.66408985507978,-17.9943094585588,-0.2879751260306116,18.530323144490467,0.02247191011235955,0.016853932584269662
PCA,2025-09,e_rms72,479,178,3.902855264442508,6.581336867637407,12.948662904725733,6.137645473210776,7.915074604646735,12.67307440569208,0.0,0.0
PCA,2025-09,btc_vol24,479,178,17.631128169583235,32.34641551953559,64.71370784498548,16.12304534275783,27.0288281119404,60.94471273565398,0.0449438202247191,0.0
PCA,2025-09,account_log,479,178,-0.810985370179672,-0.11753071749128907,0.7275115072367933,-0.10956971334536701,0.3305011962387382,0.7881011796903973,0.0,0.028089887640449437
PCA,2025-09,funding_bp,479,178,-0.31739999999999996,0.5297000000000001,1.0,-0.0231,0.5843,1.0,0.0,0.0
PCA,2025-09,oi_ret1,479,178,-107.71008881542663,2.070766663493373,246.36305278854195,-102.999877837002,4.434828901329624,182.2234859216171,0.011235955056179775,0.0
PCA,2025-09,oi_change24,479,178,-580.4063518024847,-10.344175624474872,897.5296481881691,-402.8622997620813,45.07483351566144,448.961959305231,0.0,0.0
