test,stat,pvalue
ADF,-3.567073956281913,0.0064226160578746
KPSS,1.90234262807426,0.01
LjungBox(5),443.6921466127092,1.1268058289427235e-93
LjungBox(10),616.352992049023,5.5117605632905935e-126
LjungBox(20),918.48201228335,9.148386267411196e-182
