mediator,h,q,base_dn,base_p,dn_after,dn_p_after,shrink_pct,ch_beta,ch_p,mediates
TOPTRADER_ACCOUNT_LS,1,0.1,-0.21,0.067,0.032,0.693,85.0,-0.336,0.0,YES
TOPTRADER_ACCOUNT_LS,3,0.1,-0.153,0.087,0.059,0.627,62.0,-0.316,0.0,YES
TOPTRADER_ACCOUNT_LS,6,0.1,-0.331,0.0,-0.118,0.86,64.0,-0.284,0.0,YES
TOPTRADER_ACCOUNT_LS,12,0.1,-0.552,0.0,-0.24,0.287,57.0,-0.333,0.0,YES
ACCOUNT_LS,1,0.1,-0.21,0.073,0.018,0.833,92.0,-0.322,0.0,YES
ACCOUNT_LS,3,0.1,-0.153,0.153,0.006,0.88,96.0,-0.277,0.0,YES
ACCOUNT_LS,6,0.1,-0.331,0.027,-0.129,0.54,61.0,-0.257,0.0,YES
ACCOUNT_LS,12,0.1,-0.552,0.0,-0.286,0.22,48.0,-0.328,0.0,YES
