regime,n,mean,std,q05,q10,median,q90,skew
Normal,643,5.763476335132015e-05,0.0009058063432464534,-0.00148465373570803,-0.0011259179837978998,0.0001277085899249,0.0011393400546186804,-0.7582217530927607
Downside,72,-0.000514710456040305,0.0011037416613885532,-0.002321427611501005,-0.0015808426516232,-0.00040996578065350005,0.0007362529798012398,-1.078057275132435
