month,method,candidate_id,member_prediction_sd_bp,member_rmses_bp
2025-08,ae_relu_1,f05,0.0010939883924330034,"[7.73933488695106, 7.739671353043008, 7.739953877523971]"
2025-08,ae_relu_2,f07,0.00014753433987991032,"[7.728959143092713, 7.729079943516122, 7.729080542323762]"
2025-08,ae_tanh_1,f08,0.2515247078027514,"[9.1317194618198, 8.841415448911507, 8.843174338843536]"
2025-08,ae_tanh_2,f10,0.09503196693146027,"[8.915066537593484, 9.019623078860128, 8.971478979015904]"
2025-08,ae_selected,f05,0.0010939883924330034,"[7.73933488695106, 7.739671353043008, 7.739953877523971]"
2025-08,ae_reconstruction_selected,f05,0.0010939883924330034,"[7.73933488695106, 7.739671353043008, 7.739953877523971]"
2025-09,ae_relu_1,f05,0.005393601727757576,"[6.598380668189887, 6.633326642570711, 6.6108689400063225]"
2025-09,ae_relu_2,f07,0.026174239454793014,"[6.583333921807728, 6.627627193322616, 6.719586601817013]"
2025-09,ae_tanh_1,f08,0.2517852304240166,"[12.014256077142948, 11.43463821580232, 11.703202098911438]"
2025-09,ae_tanh_2,f10,0.39988279513662883,"[10.451296091458138, 9.762458447074888, 10.713061850887247]"
2025-09,ae_selected,f05,0.005393601727757576,"[6.598380668189887, 6.633326642570711, 6.6108689400063225]"
2025-09,ae_reconstruction_selected,f05,0.005393601727757576,"[6.598380668189887, 6.633326642570711, 6.6108689400063225]"
2025-10,ae_relu_1,f05,65.39220780009686,"[15.21097124504773, 181.38568836385198, 179.61317862621075]"
2025-10,ae_relu_2,f07,35.68157558674593,"[174.90307944374646, 175.68711834904508, 92.8182881190623]"
2025-10,ae_tanh_1,f08,2.0496500210611694,"[149.258302345714, 150.33289301836703, 152.175163593915]"
2025-10,ae_tanh_2,f10,1.6567189244390552,"[150.30392109318356, 151.44547515366577, 149.97191293533467]"
2025-10,ae_selected,f05,65.39220780009686,"[15.21097124504773, 181.38568836385198, 179.61317862621075]"
2025-10,ae_reconstruction_selected,f05,65.39220780009686,"[15.21097124504773, 181.38568836385198, 179.61317862621075]"
2025-11,ae_relu_1,f05,0.007326595445896098,"[9.717356165368205, 9.716480348814974, 9.717302052665897]"
2025-11,ae_relu_2,f06,0.6258260678931242,"[9.683499290535808, 9.75061966892448, 10.010473414888116]"
2025-11,ae_tanh_1,f08,0.5378294054963442,"[12.025924034641621, 11.805287645263403, 11.6964082971353]"
2025-11,ae_tanh_2,f10,0.22108959374936948,"[13.289937958664348, 13.28223568951809, 13.301413105324174]"
2025-11,ae_selected,f05,0.007326595445896098,"[9.717356165368205, 9.716480348814974, 9.717302052665897]"
2025-11,ae_reconstruction_selected,f05,0.007326595445896098,"[9.717356165368205, 9.716480348814974, 9.717302052665897]"
2025-12,ae_relu_1,f05,0.011257932244039722,"[13.327628049285664, 13.335940240241001, 13.35370308343827]"
2025-12,ae_relu_2,f06,2.725745165663783,"[9.317349438523744, 13.63686141944846, 13.19431050837556]"
2025-12,ae_tanh_1,f08,0.3230414922021827,"[12.323903958975363, 12.394604848979693, 12.736876916749058]"
2025-12,ae_tanh_2,f10,0.5365078686022223,"[12.010333272133542, 12.569860720234114, 12.75766083319369]"
2025-12,ae_selected,f05,0.011257932244039722,"[13.327628049285664, 13.335940240241001, 13.35370308343827]"
2025-12,ae_reconstruction_selected,f05,0.011257932244039722,"[13.327628049285664, 13.335940240241001, 13.35370308343827]"
2026-01,ae_relu_1,f05,0.004002847421529927,"[8.326946406114974, 8.32803583524151, 8.32929391235717]"
2026-01,ae_relu_2,f06,4.748198166431972,"[6.705979816272468, 12.483786058262021, 8.266328054132078]"
2026-01,ae_tanh_1,f08,0.3376082877061892,"[9.247576309781353, 9.15973739832442, 9.41254690753341]"
2026-01,ae_tanh_2,f10,0.4853856743563061,"[10.299367245810817, 10.413022597048242, 10.483825043025083]"
2026-01,ae_selected,f05,0.004002847421529927,"[8.326946406114974, 8.32803583524151, 8.32929391235717]"
2026-01,ae_reconstruction_selected,f05,0.004002847421529927,"[8.326946406114974, 8.32803583524151, 8.32929391235717]"
2026-02,ae_relu_1,f05,0.013984258555883337,"[10.272955872585126, 10.281278072460841, 10.28593701968281]"
2026-02,ae_relu_2,f06,9.176913329702405,"[7.183288885643769, 17.414698446187607, 10.330616800534276]"
2026-02,ae_tanh_1,f08,0.6095045444324968,"[10.357460786625301, 10.456666273827821, 10.199987840640192]"
2026-02,ae_tanh_2,f11,0.047576126530426345,"[11.807706488950508, 11.805287701226364, 11.789206572140367]"
2026-02,ae_selected,f06,9.176913329702405,"[7.183288885643769, 17.414698446187607, 10.330616800534276]"
2026-02,ae_reconstruction_selected,f06,9.176913329702405,"[7.183288885643769, 17.414698446187607, 10.330616800534276]"
2026-03,ae_relu_1,f05,0.020748677735384462,"[11.324355441374951, 11.322224957223606, 11.33779270039651]"
2026-03,ae_relu_2,f06,8.341779901019969,"[8.125721244319609, 18.226879547799243, 8.666116232096384]"
2026-03,ae_tanh_1,f08,1.064740808211408,"[14.129378316266433, 14.09569026830302, 14.144327516216194]"
2026-03,ae_tanh_2,f11,0.03568430728870099,"[13.855442947614675, 13.845084969347468, 13.853472968194778]"
2026-03,ae_selected,f06,8.341779901019969,"[8.125721244319609, 18.226879547799243, 8.666116232096384]"
2026-03,ae_reconstruction_selected,f06,8.341779901019969,"[8.125721244319609, 18.226879547799243, 8.666116232096384]"
