definition,learner,seed,quantity,mse,constant_mse
CAP,forest20,20260926,gap,23.09124169379712,41.06664810591132
CAP,forest20,20260926,excess,75.89508268644445,64.55987192490109
CAP,forest20,20260926,cross,0.23520253364880506,0.2411315254298431
CAP,forest20,20260926,overshot,0.09341998781230837,0.11371840465679063
CAP,forest20,20260927,gap,23.143179007542646,41.06664810591132
CAP,forest20,20260927,excess,76.57826807406768,64.55987192490109
CAP,forest20,20260927,cross,0.23269840850020254,0.2411315254298431
CAP,forest20,20260927,overshot,0.09333296066162237,0.11371840465679063
CAP,forest40,20260926,gap,23.460851298220845,41.06664810591132
CAP,forest40,20260926,excess,75.24664379447182,64.55987192490109
CAP,forest40,20260926,cross,0.23384622156338714,0.2411315254298431
CAP,forest40,20260926,overshot,0.09319375354119512,0.11371840465679063
CAP,forest40,20260927,gap,23.426691695540423,41.06664810591132
CAP,forest40,20260927,excess,75.93833887633896,64.55987192490109
CAP,forest40,20260927,cross,0.23470989194624509,0.2411315254298431
CAP,forest40,20260927,overshot,0.09332582980962056,0.11371840465679063
CAP,linear,20260926,gap,25.122290296403932,41.06664810591132
CAP,linear,20260926,excess,65.90127540110979,64.55987192490109
CAP,linear,20260926,cross,0.24455579128834792,0.2411315254298431
CAP,linear,20260926,overshot,0.1103560601324725,0.11371840465679063
EQ,forest20,20260926,gap,79.42581182150211,107.82318744905018
EQ,forest20,20260926,excess,144.78198999314824,111.9397996380424
EQ,forest20,20260926,cross,0.250785978674234,0.24592051583675176
EQ,forest20,20260926,overshot,0.10775963842432855,0.12292966821861216
EQ,forest20,20260927,gap,79.03666507207996,107.82318744905018
EQ,forest20,20260927,excess,146.22197298217046,111.9397996380424
EQ,forest20,20260927,cross,0.25120117364273636,0.24592051583675176
EQ,forest20,20260927,overshot,0.10717102991556289,0.12292966821861216
EQ,forest40,20260926,gap,80.78004014579271,107.82318744905018
EQ,forest40,20260926,excess,140.76765501323248,111.9397996380424
EQ,forest40,20260926,cross,0.24815212965852132,0.24592051583675176
EQ,forest40,20260926,overshot,0.10747668363726648,0.12292966821861216
EQ,forest40,20260927,gap,80.57298035573271,107.82318744905018
EQ,forest40,20260927,excess,141.11667396618918,111.9397996380424
EQ,forest40,20260927,cross,0.24851493407090086,0.24592051583675176
EQ,forest40,20260927,overshot,0.10749592581968426,0.12292966821861216
EQ,linear,20260926,gap,78.87815513919479,107.82318744905018
EQ,linear,20260926,excess,115.33662683108889,111.9397996380424
EQ,linear,20260926,cross,0.25928095868177387,0.24592051583675176
EQ,linear,20260926,overshot,0.1908222291391817,0.12292966821861216
PCA,forest20,20260926,gap,78.05970745353089,106.60259990664176
PCA,forest20,20260926,excess,142.32209186537912,110.70763042766235
PCA,forest20,20260926,cross,0.249792226442266,0.24597403908308205
PCA,forest20,20260926,overshot,0.11059945305230204,0.12492474698019289
PCA,forest20,20260927,gap,77.95893037668205,106.60259990664176
PCA,forest20,20260927,excess,144.1949414476371,110.70763042766235
PCA,forest20,20260927,cross,0.25119060895071227,0.24597403908308205
PCA,forest20,20260927,overshot,0.11025549888869875,0.12492474698019289
PCA,forest40,20260926,gap,79.45460060452406,106.60259990664176
PCA,forest40,20260926,excess,138.75725617773733,110.70763042766235
PCA,forest40,20260926,cross,0.24837375754011287,0.24597403908308205
PCA,forest40,20260926,overshot,0.11051860685119294,0.12492474698019289
PCA,forest40,20260927,gap,79.2567059327796,106.60259990664176
PCA,forest40,20260927,excess,139.65374701029899,110.70763042766235
PCA,forest40,20260927,cross,0.24866666570873247,0.24597403908308205
PCA,forest40,20260927,overshot,0.1099975311746612,0.12492474698019289
PCA,linear,20260926,gap,78.08184764980281,106.60259990664176
PCA,linear,20260926,excess,114.03926575913304,110.70763042766235
PCA,linear,20260926,cross,0.25828585182010955,0.24597403908308205
PCA,linear,20260926,overshot,0.19345113248947998,0.12492474698019289
