variable,scale,N,mean,std,min,q25,median,q75,max,skew,excess_kurtosis
RESIDUAL_FINAL,10000.0,715,-4.3248699105286096e-14,9.426536867851176,-54.101931512905,-5.25732816893,0.889086145428719,6.222176129148,22.733168853918,-0.8599721305840943,2.4278076904996992
USDT_KP,100.0,715,1.0346638707536622,1.7665648034530925,-2.27036737579577,-0.0028969757778329885,0.9652623309396501,1.782151784674565,8.120821226105178,1.0954965673273493,2.1588572203807517
MKT_KP_EQ,100.0,715,1.0320391147234182,1.7832279364686108,-2.2695404110660298,-0.049385874875965,0.9561596345339001,1.7964280791177951,8.2351867180049,1.0416963150867622,2.0091614151540678
BTC_DOWNSIDE_24,10000.0,715,0.11591160321620304,0.15996832627759636,0.006142126863578137,0.03413022685625125,0.07152076268816233,0.1420544646770635,1.6430737040999999,4.894514736426965,35.04923591116602
BTC_VOL_24,100.0,715,0.4295769877686179,0.18874503619005595,0.17030028988688,0.290667999620825,0.38624212795715,0.5203284249683,1.6349104306984201,1.8490910832479657,6.716518111472061
ACCOUNT_LS,1.0,715,1.4859945928111886,0.6490979436721309,0.44600921,0.92144168,1.43803633,2.0005147699999997,3.27055247,0.37407493008065207,-0.749715692095402
TOPTRADER_ACCOUNT_LS,1.0,715,1.6937056948671327,0.737581968183196,0.5942809,1.0578504450000001,1.56349918,2.220058795,3.9818335,0.5999421386037435,-0.3484287959263175
OI,0.001,715,87.34631562937064,6.707275621979134,72.550377,81.70300950000001,88.24863800000001,91.15260699999999,103.621458,0.12276538555867605,-0.5641858505094124
FUNDING,10000.0,711,0.4586454289732771,0.4427012490917392,-1.3688,0.1996,0.45630000000000004,0.8454999999999999,1.0,-0.8107193848318376,0.8543942509565188
DXY_ret,100.0,715,0.0007392038155872606,0.2029121917393862,-1.14869797952197,-0.066512102221765,-0.002059626177874918,0.07893000903442499,1.0350752582477,-0.45926833424886576,5.999119753626147
VIX,1.0,715,17.689118881118883,2.8398347746782973,13.48,15.844999999999999,16.84,18.735,31.57,1.5341681510237934,2.3691378041274205
USDKRW_ret,100.0,715,0.011239721079775958,0.2979822711183332,-2.25356072845261,-0.078927089045775,-0.0006832677965640244,0.09520673083933,2.0702105952836702,-0.11780643184846432,13.030991957098621
