datetime_utc,USDT_KP,MKT_KP_EQ,DEPEG_GLOBAL,RESIDUAL_OLS,RESIDUAL_FINAL,RESIDUAL_FINAL_REBUILD
2025-06-03 09:00:00+00:00,0.0148010441155514,0.0148790493701105,0.0006000000000000449,-5.505808681707802e-05,5.65876341089496e-05,5.658763410895009e-05
2025-06-03 10:00:00+00:00,0.0153644446620724,0.0155495215036568,0.0007000000000000339,-0.00015489427854433434,6.39490659940943e-06,6.394906599409999e-06
2025-06-03 11:00:00+00:00,0.0144049377309762,0.0141703551296202,0.0007000000000000339,0.00024988190020260037,0.0004111710853463,0.0004111710853463447
2025-06-03 12:00:00+00:00,0.0146063736164365,0.0146655121988714,0.0007000000000000339,-3.849579956950212e-05,0.0001227933855742,0.00012279338557424221
2025-06-04 09:00:00+00:00,0.0170732461268225,0.0162240942389783,0.0007000000000000339,0.0008866140977974307,0.0010479032829411,0.001047903282941175
2025-06-04 10:00:00+00:00,0.0179395529888206,0.0171559876384359,0.0007000000000000339,0.0008310840813823654,0.0009923732665261,0.0009923732665261097
2025-06-04 11:00:00+00:00,0.0202771965810169,0.0200671107178512,0.0007000000000000339,0.0002890199583328208,0.0004503091434765,0.00045030914347656513
2025-06-04 12:00:00+00:00,0.0203142992016804,0.0201449036935915,0.0007000000000000339,0.0002491691056047858,0.0004104582907485,0.0004104582907485301
2025-06-05 09:00:00+00:00,0.0222799361663432,0.0210273304008678,0.0006000000000000449,0.0013419020645761004,0.0014535477855021,0.0014535477855021285
2025-06-05 10:00:00+00:00,0.0220829266041253,0.0202155183971656,0.0006000000000000449,0.0019479438425509185,0.0020595895634769,0.0020595895634769467
2025-06-05 11:00:00+00:00,0.0201287012085138,0.0187825362700412,0.0007000000000000339,0.0014112365575506512,0.0015725257426943,0.0015725257426943955
2025-06-05 12:00:00+00:00,0.0205010534538259,0.0199704344738789,0.0006000000000000449,0.0006085097941094797,0.0007201555150355,0.0007201555150355078
2025-06-06 09:00:00+00:00,0.0249263749268719,0.024553797833872,0.0004999999999999449,0.0004999292405196941,0.0005619314972279,0.0005619314972279509
2025-06-06 10:00:00+00:00,0.0223181909439469,0.0215167204089783,0.0006000000000000449,0.0008960480828884947,0.0010076938038145,0.0010076938038145228
2025-06-06 11:00:00+00:00,0.0232042397195275,0.0232617359257924,0.0006000000000000449,5.5912664291165454e-05,0.0001675583852171,0.00016755838521719356
