table,label,stat,printed,source,recomputed,matches_printed_precision,file,column
1,BTC_VOL_24,std,0.189,default_B300,0.18874503619005595,True,baseline_dataset_with_residual_final.csv,BTC_VOL_24
1,BTC_VOL_24,min,0.170,default_B300,0.17030028988688,True,baseline_dataset_with_residual_final.csv,BTC_VOL_24
1,BTC_VOL_24,q25,0.291,default_B300,0.290667999620825,True,baseline_dataset_with_residual_final.csv,BTC_VOL_24
1,BTC_VOL_24,median,0.386,default_B300,0.38624212795715,True,baseline_dataset_with_residual_final.csv,BTC_VOL_24
1,BTC_VOL_24,q75,0.520,default_B300,0.5203284249683,True,baseline_dataset_with_residual_final.csv,BTC_VOL_24
1,BTC_VOL_24,max,1.635,default_B300,1.6349104306984201,True,baseline_dataset_with_residual_final.csv,BTC_VOL_24
1,BTC_VOL_24,skew,1.85,default_B300,1.8490910832479657,True,baseline_dataset_with_residual_final.csv,BTC_VOL_24
1,BTC_VOL_24,excess_kurtosis,6.72,default_B300,6.716518111472061,True,baseline_dataset_with_residual_final.csv,BTC_VOL_24
1,ACCOUNT_LS,N,715,default_B300,715.0,True,baseline_dataset_with_residual_final.csv,ACCOUNT_LS
1,ACCOUNT_LS,mean,1.486,default_B300,1.4859945928111886,True,baseline_dataset_with_residual_final.csv,ACCOUNT_LS
1,ACCOUNT_LS,std,0.649,default_B300,0.6490979436721309,True,baseline_dataset_with_residual_final.csv,ACCOUNT_LS
1,ACCOUNT_LS,min,0.446,default_B300,0.44600921,True,baseline_dataset_with_residual_final.csv,ACCOUNT_LS
1,ACCOUNT_LS,q25,0.921,default_B300,0.92144168,True,baseline_dataset_with_residual_final.csv,ACCOUNT_LS
1,ACCOUNT_LS,median,1.438,default_B300,1.43803633,True,baseline_dataset_with_residual_final.csv,ACCOUNT_LS
1,ACCOUNT_LS,q75,2.001,default_B300,2.0005147699999997,True,baseline_dataset_with_residual_final.csv,ACCOUNT_LS
1,ACCOUNT_LS,max,3.271,default_B300,3.27055247,True,baseline_dataset_with_residual_final.csv,ACCOUNT_LS
1,ACCOUNT_LS,skew,0.37,default_B300,0.37407493008065207,True,baseline_dataset_with_residual_final.csv,ACCOUNT_LS
1,ACCOUNT_LS,excess_kurtosis,-0.75,default_B300,-0.749715692095402,True,baseline_dataset_with_residual_final.csv,ACCOUNT_LS
1,TOPTRADER_ACCOUNT_LS,N,715,default_B300,715.0,True,baseline_dataset_with_residual_final.csv,TOPTRADER_ACCOUNT_LS
