definition,q,beta_downside,p
EQ,0.1,-6.779,0.0
EQ,0.25,-11.445,0.0
EQ,0.5,-9.277,0.0
EQ,0.75,-5.531,0.04
EQ,0.9,-4.249,0.04
CAP,0.1,-8.922,0.06
CAP,0.25,-6.87,0.01
CAP,0.5,-4.213,0.0
CAP,0.75,-4.744,0.01
CAP,0.9,-6.378,0.1
PCA,0.1,-6.892,0.0
PCA,0.25,-10.972,0.0
PCA,0.5,-9.369,0.0
PCA,0.75,-4.943,0.08
PCA,0.9,-4.29,0.08
