scenario,evaluation_month,model,feature,bin_index,n,feature_min,feature_max,residual_mean_bp,cuts
clock_UTC_quote,2026-01,sequential_ols,m,0,25,-80.12959683631738,-14.116236879838429,4.290453106269366,"[-13.130844490974125, 66.17036534375443, 134.544451914018, 220.34387889103152]"
clock_UTC_quote,2026-01,sequential_ols,m,1,161,-11.59964970269467,64.63177441540458,-1.7341341568009583,"[-13.130844490974125, 66.17036534375443, 134.544451914018, 220.34387889103152]"
clock_UTC_quote,2026-01,sequential_ols,m,2,85,66.3157892427284,134.00613165928553,-2.8268401564710746,"[-13.130844490974125, 66.17036534375443, 134.544451914018, 220.34387889103152]"
clock_UTC_quote,2026-01,sequential_ols,m,3,61,135.10676363800567,216.68043340200737,-2.9300701631659,"[-13.130844490974125, 66.17036534375443, 134.544451914018, 220.34387889103152]"
clock_UTC_quote,2026-01,sequential_ols,m,4,14,225.74401087928518,343.95491145981657,-6.420199870675948,"[-13.130844490974125, 66.17036534375443, 134.544451914018, 220.34387889103152]"
clock_UTC_quote,2026-01,sequential_ols,g,0,12,0.0,0.0,-1.3044888210317436,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
clock_UTC_quote,2026-01,sequential_ols,g,1,34,0.9999999999998899,0.9999999999998899,-1.3771635534847513,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
clock_UTC_quote,2026-01,sequential_ols,g,2,52,1.9999999999997797,2.9999999999996696,-3.6139895022336623,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
clock_UTC_quote,2026-01,sequential_ols,g,3,28,3.9999999999995595,4.999999999999449,-2.1495101581710903,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
clock_UTC_quote,2026-01,sequential_ols,g,4,220,5.999999999999339,16.00000000000046,-1.6829163537047327,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
clock_UTC_quote,2026-01,joint_ols,m,0,25,-80.12959683631738,-14.116236879838429,4.241654906470898,"[-13.130844490974125, 66.17036534375443, 134.544451914018, 220.34387889103152]"
clock_UTC_quote,2026-01,joint_ols,m,1,161,-11.59964970269467,64.63177441540458,-1.7668191167598748,"[-13.130844490974125, 66.17036534375443, 134.544451914018, 220.34387889103152]"
