scenario,evaluation_month,model,candidate_id,train_first,train_last,train_n,test_n,cutoff,train_rmse_bp,test_rmse_bp,outside_training_range_share,joint_ols_coefficients
clock_UTC_quote,2026-01,sequential_ols,c00,2025-06-01 20:00:00+00:00,2025-12-31 11:00:00+00:00,2552,346,2026-01-01 00:00:00+00:00,9.184564083904833,8.468523330622547,0.02601156069364162,"[0.04154234431507427, 0.9862391886733701, 0.21722916392949346]"
clock_UTC_quote,2026-01,joint_ols,c01,2025-06-01 20:00:00+00:00,2025-12-31 11:00:00+00:00,2552,346,2026-01-01 00:00:00+00:00,9.184385426263967,8.469796640288756,0.02601156069364162,"[0.04154234431507427, 0.9862391886733701, 0.21722916392949346]"
clock_UTC_quote,2026-01,rolling_ols,c02,2025-12-02 00:00:00+00:00,2025-12-31 11:00:00+00:00,345,346,2026-01-01 00:00:00+00:00,9.178457674720754,9.245797118346944,0.4624277456647399,"[6.674954834438682, 0.931091161989177, -0.13107068219045112]"
clock_UTC_quote,2026-01,quadratic_ridge,c06,2025-06-01 20:00:00+00:00,2025-12-31 11:00:00+00:00,2552,346,2026-01-01 00:00:00+00:00,9.064838505902788,8.25022018456566,0.02601156069364162,"[0.04154234431507427, 0.9862391886733701, 0.21722916392949346]"
clock_UTC_quote,2026-01,linear_plus_spline,c11,2025-06-01 20:00:00+00:00,2025-12-31 11:00:00+00:00,2552,346,2026-01-01 00:00:00+00:00,8.022856553976963,8.265034242977679,0.02601156069364162,"[0.04154234431507427, 0.9862391886733701, 0.21722916392949346]"
clock_UTC_quote,2026-01,linear_plus_svr,c14,2025-06-01 20:00:00+00:00,2025-12-31 11:00:00+00:00,2552,346,2026-01-01 00:00:00+00:00,9.079754816427627,8.415554663444018,0.02601156069364162,"[0.04154234431507427, 0.9862391886733701, 0.21722916392949346]"
clock_UTC_quote,2026-01,linear_plus_rf,c18,2025-06-01 20:00:00+00:00,2025-12-31 11:00:00+00:00,2552,346,2026-01-01 00:00:00+00:00,8.483912612514121,8.464422316999611,0.02601156069364162,"[0.04154234431507427, 0.9862391886733701, 0.21722916392949346]"
clock_UTC_quote,2026-01,lightgbm,c26,2025-06-01 20:00:00+00:00,2025-12-31 11:00:00+00:00,2552,346,2026-01-01 00:00:00+00:00,8.389397403957908,8.506913832139885,0.02601156069364162,"[0.04154234431507427, 0.9862391886733701, 0.21722916392949346]"
clock_UTC_quote,2026-01,linear_plus_lightgbm,c32,2025-06-01 20:00:00+00:00,2025-12-31 11:00:00+00:00,2552,346,2026-01-01 00:00:00+00:00,8.545902627013968,8.42066790033919,0.02601156069364162,"[0.04154234431507427, 0.9862391886733701, 0.21722916392949346]"
clock_UTC_quote,2026-02,sequential_ols,c00,2025-06-01 20:00:00+00:00,2026-01-30 11:00:00+00:00,2898,324,2026-02-01 00:00:00+00:00,9.094926122972847,9.953379547203127,0.05246913580246913,"[0.17253572960557684, 0.9862531121898356, 0.12305934468072852]"
clock_UTC_quote,2026-02,joint_ols,c01,2025-06-01 20:00:00+00:00,2026-01-30 11:00:00+00:00,2898,324,2026-02-01 00:00:00+00:00,9.094857687831523,9.95101694658855,0.05246913580246913,"[0.17253572960557684, 0.9862531121898356, 0.12305934468072852]"
clock_UTC_quote,2026-02,rolling_ols,c03,2025-12-03 00:00:00+00:00,2026-01-30 11:00:00+00:00,675,324,2026-02-01 00:00:00+00:00,8.285153193245412,10.054290318477863,0.05246913580246913,"[1.0114100240154724, 0.9712938281364567, 0.06863464212363236]"
clock_UTC_quote,2026-02,quadratic_ridge,c06,2025-06-01 20:00:00+00:00,2026-01-30 11:00:00+00:00,2898,324,2026-02-01 00:00:00+00:00,8.956534648325535,10.038380210120339,0.05246913580246913,"[0.17253572960557684, 0.9862531121898356, 0.12305934468072852]"
clock_UTC_quote,2026-02,linear_plus_spline,c10,2025-06-01 20:00:00+00:00,2026-01-30 11:00:00+00:00,2898,324,2026-02-01 00:00:00+00:00,8.026657227649592,10.393108198487392,0.05246913580246913,"[0.17253572960557684, 0.9862531121898356, 0.12305934468072852]"
clock_UTC_quote,2026-02,linear_plus_svr,c14,2025-06-01 20:00:00+00:00,2026-01-30 11:00:00+00:00,2898,324,2026-02-01 00:00:00+00:00,8.985041461956895,10.141786341222211,0.05246913580246913,"[0.17253572960557684, 0.9862531121898356, 0.12305934468072852]"
clock_UTC_quote,2026-02,linear_plus_rf,c18,2025-06-01 20:00:00+00:00,2026-01-30 11:00:00+00:00,2898,324,2026-02-01 00:00:00+00:00,8.411407756203948,10.056368677955376,0.05246913580246913,"[0.17253572960557684, 0.9862531121898356, 0.12305934468072852]"
clock_UTC_quote,2026-02,lightgbm,c24,2025-06-01 20:00:00+00:00,2026-01-30 11:00:00+00:00,2898,324,2026-02-01 00:00:00+00:00,8.838277296420648,10.114190912272598,0.05246913580246913,"[0.17253572960557684, 0.9862531121898356, 0.12305934468072852]"
clock_UTC_quote,2026-02,linear_plus_lightgbm,c30,2025-06-01 20:00:00+00:00,2026-01-30 11:00:00+00:00,2898,324,2026-02-01 00:00:00+00:00,8.613528112817159,10.017992294881884,0.05246913580246913,"[0.17253572960557684, 0.9862531121898356, 0.12305934468072852]"
