scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs
clock_UTC_quote,sequential_ols,2026-01,346,26,6.884127092187908,8.468523330622547,-1.9677247486440599,-12.901420041748363,-2.3485592676436866,9.377881117734287,0.1982962137149592,315
clock_UTC_quote,joint_ols,2026-01,346,26,6.8865222532529256,8.469796640288756,-1.9909605516221995,-12.922069193372858,-2.374917503612288,9.328656888759246,0.19781259841552967,315
clock_UTC_quote,rolling_ols,2026-01,346,26,7.583621450816446,9.245797118346944,-2.0677638098372673,-13.602959198916432,-2.940262142680446,9.699250851965886,0.37587016036443177,315
clock_UTC_quote,quadratic_ridge,2026-01,346,26,6.694074870429644,8.25022018456566,-1.66963197965284,-12.145230892669332,-2.092737770710926,9.469396036029579,0.18418399359006155,315
clock_UTC_quote,linear_plus_spline,2026-01,346,26,6.7353902576370945,8.265034242977679,-1.1704963384970453,-11.878105993833088,-1.8623819150551348,10.242781007454823,0.20764427798380217,315
clock_UTC_quote,linear_plus_svr,2026-01,346,26,6.802686293819962,8.415554663444018,-0.8284209991443329,-11.440692863465394,-1.633284407498543,10.670980622241121,0.22644852234085916,315
clock_UTC_quote,linear_plus_rf,2026-01,346,26,6.869168243414004,8.464422316999611,-1.6456361031424154,-12.35809318786984,-2.154772915723285,9.980835804931505,0.2145814111795157,315
clock_UTC_quote,lightgbm,2026-01,346,26,6.901754918720944,8.506913832139885,-1.1740690306180817,-12.137608993935814,-1.6444052273928982,10.842834270164772,0.22438353509730558,315
clock_UTC_quote,linear_plus_lightgbm,2026-01,346,26,6.890813586457431,8.42066790033919,-1.5849156442760666,-12.063254208305345,-2.270085842068859,9.79836614723263,0.21705256840468404,315
clock_UTC_quote,past_selected,2026-01,346,26,7.583621450816446,9.245797118346944,-2.0677638098372673,-13.602959198916432,-2.940262142680446,9.699250851965886,0.37587016036443177,315
clock_UTC_quote,sequential_ols,2026-02,324,24,8.057903973552618,9.953379547203127,-0.18462306227529812,-13.63680992051372,-0.5395077062483864,12.778178051100712,0.13786748757466577,300
clock_UTC_quote,joint_ols,2026-02,324,24,8.055673075469953,9.95101694658855,-0.17426483117597338,-13.629079625415654,-0.5200126609509539,12.796241150550161,0.13784774080499274,300
clock_UTC_quote,rolling_ols,2026-02,324,24,8.094558449183724,10.054290318477863,1.9513095512917578,-11.201163444804218,1.7994865802961897,14.843146938803319,0.1482379934271412,300
clock_UTC_quote,quadratic_ridge,2026-02,324,24,8.063325171770781,10.038380210120339,1.485125912963141,-11.229965739689662,1.204082996611291,14.199490155660435,0.14322434919076224,300
clock_UTC_quote,linear_plus_spline,2026-02,324,24,8.329890437653127,10.393108198487392,1.613886814649727,-11.568101650589236,1.201702477177875,14.881583657440443,0.19821682789206696,300
clock_UTC_quote,linear_plus_svr,2026-02,324,24,8.112714168417961,10.141786341222211,1.029177817308796,-12.241495223125971,0.5743766659797558,14.17126094998409,0.1662772220634851,300
clock_UTC_quote,linear_plus_rf,2026-02,324,24,8.093618381561603,10.056368677955376,0.7747808325479197,-12.33721634784608,0.4078624709400316,13.939571005804272,0.16810254351524623,300
clock_UTC_quote,lightgbm,2026-02,324,24,8.136359260902946,10.114190912272598,1.2202463913027797,-11.5205021865209,1.0881758616250323,13.89689008150672,0.1726634868722054,300
clock_UTC_quote,linear_plus_lightgbm,2026-02,324,24,8.067154948617619,10.017992294881884,0.8830599022506995,-11.789247336385948,0.5423203776623708,13.621867831005087,0.1665664524980072,300
clock_UTC_quote,past_selected,2026-02,324,24,8.063325171770781,10.038380210120339,1.485125912963141,-11.229965739689662,1.204082996611291,14.199490155660435,0.14322434919076224,300
clock_UTC_quote,sequential_ols,2026-03,237,17,8.58761908704373,10.70401349690479,-2.958697350190306,-15.9622308729562,-2.9706835800070905,10.412620723717533,0.31040182462215066,219
