scenario,model,correlation_to_eq_ols,correlation_to_pca1
clock_FXKST_USNY_quote,sequential_ols,1.0,0.9999728627638712
clock_FXKST_USNY_quote,pca_1,0.9999728627638713,0.9999999999999998
clock_FXKST_USNY_quote,pca_2,0.5495856131445429,0.5556264753681629
clock_FXKST_USNY_quote,conditional_linear,0.9865917713290918,0.9865317990568488
clock_FXKST_USNY_quote,ae_relu_1,0.9999653188590443,0.9999919622627091
clock_FXKST_USNY_quote,ae_relu_2,0.8026130273479914,0.8056431312723972
clock_FXKST_USNY_quote,ae_tanh_1,0.79254419129261,0.7925166214209334
clock_FXKST_USNY_quote,ae_tanh_2,0.7006288401212919,0.7004533212029875
clock_FXKST_USNY_quote,conditional_neural,0.9692742805132957,0.969258289130875
clock_FXKST_USNY_quote,pca_selected,0.5495856131445429,0.5556264753681629
clock_FXKST_USNY_quote,ae_selected,0.9442109938142446,0.9458117844186067
clock_FXKST_USNY_quote,ae_reconstruction_selected,0.5671103190406703,0.5710649295191151
clock_FXUTC_USNY_quote,sequential_ols,0.9999999999999998,0.9999614972201989
clock_FXUTC_USNY_quote,pca_1,0.9999614972201987,1.0
clock_FXUTC_USNY_quote,pca_2,0.5806897500886086,0.5876907802698852
clock_FXUTC_USNY_quote,conditional_linear,0.9717432993614458,0.9716852757098652
clock_FXUTC_USNY_quote,ae_relu_1,0.999958955360452,0.9999969005530276
clock_FXUTC_USNY_quote,ae_relu_2,0.7386504214207403,0.7428719237370994
clock_FXUTC_USNY_quote,ae_tanh_1,0.8890510707349544,0.8890483716043467
clock_FXUTC_USNY_quote,ae_tanh_2,0.787574838316004,0.7876993651462394
clock_FXUTC_USNY_quote,conditional_neural,0.9142573891717672,0.9142457528252195
clock_FXUTC_USNY_quote,pca_selected,0.5806897500886086,0.5876907802698852
clock_FXUTC_USNY_quote,ae_selected,0.8141439926371038,0.8170403947702974
clock_FXUTC_USNY_quote,ae_reconstruction_selected,0.8141439926371038,0.8170403947702974
clock_NY_macro_end1h_quote,sequential_ols,1.0,0.9999599117120085
clock_NY_macro_end1h_quote,pca_1,0.9999599117120085,1.0
clock_NY_macro_end1h_quote,pca_2,0.6135071211549321,0.6204178387208273
clock_NY_macro_end1h_quote,conditional_linear,0.9752039084180886,0.975191054388206
clock_NY_macro_end1h_quote,ae_relu_1,0.9999599400552382,0.9999975474605266
clock_NY_macro_end1h_quote,ae_relu_2,0.9235082508775136,0.926336950973186
clock_NY_macro_end1h_quote,ae_tanh_1,0.9089997644379636,0.9090125627958198
clock_NY_macro_end1h_quote,ae_tanh_2,0.7675009465319158,0.7680657548076781
clock_NY_macro_end1h_quote,conditional_neural,0.9026414638677448,0.9025724391557991
clock_NY_macro_end1h_quote,pca_selected,0.6135071211549321,0.6204178387208273
clock_NY_macro_end1h_quote,ae_selected,0.9557102604666031,0.9577738609325787
clock_NY_macro_end1h_quote,ae_reconstruction_selected,0.7240848922819983,0.7266912312829336
clock_NY_quote,sequential_ols,1.0,0.9999626767734594
clock_NY_quote,pca_1,0.9999626767734594,1.0
clock_NY_quote,pca_2,0.632575772590914,0.6391095153646436
clock_NY_quote,conditional_linear,0.9767160639224535,0.9767512094377986
clock_NY_quote,ae_relu_1,0.9999646443764213,0.9999964828765897
clock_NY_quote,ae_relu_2,0.6833941918915709,0.6868377105501966
clock_NY_quote,ae_tanh_1,0.9039849352190217,0.9039039944286795
clock_NY_quote,ae_tanh_2,0.8216546256208128,0.8216631531664461
clock_NY_quote,conditional_neural,0.895454616423066,0.8955202342085534
clock_NY_quote,pca_selected,0.632575772590914,0.6391095153646436
clock_NY_quote,ae_selected,0.7331902960777414,0.7357072827164359
clock_NY_quote,ae_reconstruction_selected,0.7331902960777414,0.7357072827164359
clock_UTC_quote,sequential_ols,0.9999999999999998,0.9999614972201989
clock_UTC_quote,pca_1,0.9999614972201987,1.0
clock_UTC_quote,pca_2,0.5806897500886086,0.5876907802698852
clock_UTC_quote,conditional_linear,0.9717432993614458,0.9716852757098652
clock_UTC_quote,ae_relu_1,0.999958955360452,0.9999969005530276
clock_UTC_quote,ae_relu_2,0.7386504214207403,0.7428719237370994
clock_UTC_quote,ae_tanh_1,0.8890510707349544,0.8890483716043467
clock_UTC_quote,ae_tanh_2,0.787574838316004,0.7876993651462394
clock_UTC_quote,conditional_neural,0.9142573891717672,0.9142457528252195
clock_UTC_quote,pca_selected,0.5806897500886086,0.5876907802698852
clock_UTC_quote,ae_selected,0.8141439926371038,0.8170403947702974
clock_UTC_quote,ae_reconstruction_selected,0.8141439926371038,0.8170403947702974
