scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd,scenario
core,all,1,sequential_ols,M0,0.1,e_origin,2523,estimated,0.4625128380178465,4.457818058737094,clock_UTC_quote
core,all,1,sequential_ols,M0,0.1,downside,2523,estimated,-140185.46578364054,-2.3647591437686133,clock_UTC_quote
core,all,1,sequential_ols,M0,0.5,e_origin,2523,estimated,0.3755078904068941,3.619241926836053,clock_UTC_quote
core,all,1,sequential_ols,M0,0.5,downside,2523,estimated,-74025.40743568225,-1.248719031792489,clock_UTC_quote
core,all,1,sequential_ols,M0,0.9,e_origin,2523,estimated,0.3352210952447184,3.2309474012781285,clock_UTC_quote
core,all,1,sequential_ols,M0,0.9,downside,2523,estimated,21417.873317457557,0.3612936011904746,clock_UTC_quote
core,all,1,sequential_ols,M1,0.1,e_origin,2523,estimated,0.4663788776059288,4.495079945705259,clock_UTC_quote
core,all,1,sequential_ols,M1,0.1,downside,2523,estimated,-109978.83688141234,-1.855209872739224,clock_UTC_quote
core,all,1,sequential_ols,M1,0.1,btc_vol,2523,estimated,-259.93707523714863,-0.5078021426268462,clock_UTC_quote
core,all,1,sequential_ols,M1,0.1,btc_ret,2523,estimated,266.9986720492132,1.2191306650428304,clock_UTC_quote
core,all,1,sequential_ols,M1,0.5,e_origin,2523,estimated,0.3851086633442263,3.711776653355845,clock_UTC_quote
core,all,1,sequential_ols,M1,0.5,downside,2523,estimated,-101629.2000680246,-1.7143616051158208,clock_UTC_quote
core,all,1,sequential_ols,M1,0.5,btc_vol,2523,estimated,252.8030669044076,0.493865443856274,clock_UTC_quote
core,all,1,sequential_ols,M1,0.5,btc_ret,2523,estimated,118.91476437097722,0.5429713738212135,clock_UTC_quote
core,all,1,sequential_ols,M1,0.9,e_origin,2523,estimated,0.3300653842525705,3.181255328589026,clock_UTC_quote
core,all,1,sequential_ols,M1,0.9,downside,2523,estimated,-36503.124474355296,-0.6157635307934263,clock_UTC_quote
core,all,1,sequential_ols,M1,0.9,btc_vol,2523,estimated,494.3225247984102,0.9656877035041402,clock_UTC_quote
core,all,1,sequential_ols,M1,0.9,btc_ret,2523,estimated,121.8532166588574,0.5563885090617202,clock_UTC_quote
core,all,1,sequential_ols,M2,0.1,e_origin,2523,estimated,0.4519237792606507,4.355757978512826,clock_UTC_quote
core,all,1,sequential_ols,M2,0.1,downside,2523,estimated,-135311.9980468775,-2.282549641321629,clock_UTC_quote
core,all,1,sequential_ols,M2,0.1,btc_vol,2523,estimated,-193.99329049410096,-0.3789771369792583,clock_UTC_quote
