scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs,reference_reconstruction_mse
clock_UTC_quote,sequential_ols,2025-08,357,26,6.481208687700816,7.962126706726117,1.2538276136052526,-9.427002927163088,1.5497504845614145,11.105290918536015,0.40295058897358155,335,
clock_UTC_quote,pca_1,2025-08,357,26,6.47733587734562,7.957444562561042,1.25260942326538,-9.41593355324853,1.569203694291346,11.093320035675287,0.4028007306496628,335,0.004214475400745947
clock_UTC_quote,pca_2,2025-08,357,26,5.643737052206262,7.085402555752073,0.4396236468424991,-9.07459339835836,0.3699239252913031,9.579961477928798,0.25427301655420537,335,0.0030988371495909873
clock_UTC_quote,conditional_linear,2025-08,357,26,6.5416203345958674,8.258086334829503,1.8037754826199224,-8.512690613993176,2.290379421928577,11.748368806893675,0.36827123173124837,335,0.004214475400745947
clock_UTC_quote,ae_relu_1,2025-08,357,26,6.4772754207079855,7.95736284838432,1.2525495154135948,-9.415763483690652,1.5695614169199246,11.093150577921818,0.4027949120705881,335,0.004487167558589599
clock_UTC_quote,ae_relu_2,2025-08,357,26,6.3053123843433685,7.736138017695766,1.0304177664098257,-9.179237767959433,1.54492199349923,10.59104136475532,0.3832804490030195,335,0.004222965959133125
clock_UTC_quote,ae_tanh_1,2025-08,357,26,7.264156066120045,8.976875779982532,3.1855033336337506,-7.373864432656284,3.5391165435702496,13.218926128756394,0.4722891466495047,335,0.004220421406512822
clock_UTC_quote,ae_tanh_2,2025-08,357,26,7.225323650696161,8.963334374523566,2.832699888545258,-7.928157817925394,3.0059652341435026,13.17665808517025,0.4839059384077043,335,0.00422021079234939
clock_UTC_quote,conditional_neural,2025-08,357,26,6.370096300894592,7.796448733129334,1.065926994465558,-9.388647136106808,1.4262626137908754,10.34321324104835,0.36446846827155066,335,0.004214475400745947
clock_UTC_quote,pca_selected,2025-08,357,26,6.47733587734562,7.957444562561042,1.25260942326538,-9.41593355324853,1.569203694291346,11.093320035675287,0.4028007306496628,335,0.004214475400745947
