month,method,candidate_id,member_prediction_sd_bp,member_rmses_bp,scenario
2025-08,ae_relu_1,f05,0.0006260403618329,"[7.956937756785215, 7.957554254482448, 7.95759658230277]",clock_UTC_quote
2025-08,ae_relu_2,f06,0.953810206451574,"[7.63924588786948, 7.822462884317599, 7.903706773440823]",clock_UTC_quote
2025-08,ae_tanh_1,f08,0.2704477197417566,"[9.164615194441815, 8.858808790178436, 8.913673736227171]",clock_UTC_quote
2025-08,ae_tanh_2,f10,0.1112442169556989,"[8.958143519837982, 8.918750955299041, 9.014464036285307]",clock_UTC_quote
2025-08,ae_selected,f05,0.0006260403618329,"[7.956937756785215, 7.957554254482448, 7.95759658230277]",clock_UTC_quote
2025-08,ae_reconstruction_selected,f05,0.0006260403618329,"[7.956937756785215, 7.957554254482448, 7.95759658230277]",clock_UTC_quote
2025-09,ae_relu_1,f05,0.0003705591077385,"[6.032100389581355, 6.031960365535893, 6.032120667865007]",clock_UTC_quote
2025-09,ae_relu_2,f06,1.8611531007153157,"[5.751317495355355, 5.583959312308448, 5.957099517565023]",clock_UTC_quote
2025-09,ae_tanh_1,f08,0.2532186761181761,"[9.831968055284758, 9.588267256318952, 9.83243016564193]",clock_UTC_quote
2025-09,ae_tanh_2,f10,0.1112757733317054,"[8.591008596170163, 8.698510004228297, 8.882290866311358]",clock_UTC_quote
2025-09,ae_selected,f05,0.0003705591077385,"[6.032100389581355, 6.031960365535893, 6.032120667865007]",clock_UTC_quote
2025-09,ae_reconstruction_selected,f05,0.0003705591077385,"[6.032100389581355, 6.031960365535893, 6.032120667865007]",clock_UTC_quote
2025-10,ae_relu_1,f05,62.76921715112863,"[18.61918894608613, 178.31749108288963, 179.32146867902898]",clock_UTC_quote
2025-10,ae_relu_2,f06,68.39226313407924,"[184.76128062183327, 203.41764515545512, 32.0860338901633]",clock_UTC_quote
2025-10,ae_tanh_1,f08,2.048168156625019,"[150.96986934367433, 152.94601470893232, 153.6874587371877]",clock_UTC_quote
2025-10,ae_tanh_2,f10,1.4426519816654952,"[149.46595500176485, 147.15081993184768, 148.5684944104914]",clock_UTC_quote
2025-10,ae_selected,f05,62.76921715112863,"[18.61918894608613, 178.31749108288963, 179.32146867902898]",clock_UTC_quote
