model,month,n,tail_loss,loss_q10,loss_q50,loss_q90,below_q10,above_q90,coverage80,width80_bp
unconditional,2026-01,722,1.475361258841039,1.4632268656434961,3.3416298999475713,1.4874956520385823,0.16897506925207756,0.10526315789473684,0.7257617728531855,18.569768200153543
unconditional,2026-02,672,1.9929657446574194,2.056511265175684,4.241118160926328,1.9294202241391543,0.20833333333333334,0.19345238095238096,0.5982142857142857,18.569768200153543
unconditional,2026-03,443,2.160635333763287,2.353510201543129,4.487830530546018,1.9677604659834458,0.2686230248306998,0.15349887133182843,0.5778781038374717,18.569768200153543
persistence,2026-01,722,1.9314112051725452,1.9509372510022562,4.178761616250633,1.9118851593428339,0.12326869806094183,0.13434903047091412,0.7423822714681441,23.45784072336521
persistence,2026-02,672,2.873612058992637,2.7440492334769253,5.882127597637063,3.0031748845083492,0.20386904761904762,0.23958333333333334,0.5565476190476191,23.457840723365212
persistence,2026-03,443,2.730446583387891,2.7073767844167804,5.769904225517299,2.7535163823590008,0.21218961625282168,0.22121896162528218,0.5665914221218962,23.457840723365212
linear_base,2026-01,722,1.4315111771764926,1.4109709788317828,3.1687442926824065,1.4520513755212023,0.13573407202216067,0.10941828254847645,0.7548476454293629,18.766959129408523
linear_base,2026-02,672,1.9897751532302983,1.9878722994728502,4.27141785249686,1.9916780069877464,0.18898809523809523,0.18452380952380953,0.6264880952380952,19.90422385342118
linear_base,2026-03,443,2.0484445483627742,2.1513965364012293,4.31530420899023,1.945492560324318,0.22121896162528218,0.1670428893905192,0.6117381489841986,19.766336365705243
linear_full,2026-01,722,1.4261930404783107,1.4027493094298522,3.167226645653166,1.4496367715267693,0.13157894736842105,0.10803324099722991,0.760387811634349,19.476547054210247
linear_full,2026-02,672,2.0738347213572346,2.0489955468949987,4.272287608115303,2.09867389581947,0.20833333333333334,0.21726190476190477,0.5744047619047619,18.193349785202944
linear_full,2026-03,443,2.1794362602416495,2.2840095110754963,4.317748254065235,2.074863009407803,0.24379232505643342,0.21670428893905191,0.5395033860045146,17.25228753428084
threshold_base,2026-01,722,1.4361157026457458,1.4201800297702891,3.169793022359919,1.4520513755212026,0.13157894736842105,0.10941828254847645,0.7590027700831025,18.75880122833545
threshold_base,2026-02,672,1.991156426387215,1.9906348457866836,4.272515572851118,1.9916780069877464,0.19196428571428573,0.18452380952380953,0.6235119047619048,19.78583581872462
threshold_base,2026-03,443,2.045494240358318,2.1454959203923165,4.307837603075998,1.9454925603243185,0.22121896162528218,0.1670428893905192,0.6117381489841986,19.746736813477284
threshold_full,2026-01,722,1.431853171716965,1.4140695719071608,3.1659792124408397,1.4496367715267693,0.12880886426592797,0.10803324099722991,0.7631578947368421,19.417168428404075
threshold_full,2026-02,672,2.0774892064510433,2.0563045170826166,4.270658331183408,2.09867389581947,0.2113095238095238,0.21726190476190477,0.5714285714285714,18.17438060747317
threshold_full,2026-03,443,2.180548081618587,2.2862331538293703,4.311323761534822,2.074863009407803,0.24830699774266365,0.21670428893905191,0.5349887133182845,17.258885623876903
lgbm_base,2026-01,722,1.4692063604729986,1.4492684877078403,3.191645905306097,1.4891442332381577,0.14681440443213298,0.10803324099722991,0.7451523545706371,18.741990739165743
lgbm_base,2026-02,672,1.9781269171447284,2.02211942470535,4.3959908444749995,1.9341344095841069,0.1875,0.15178571428571427,0.6607142857142857,22.305101959162087
lgbm_base,2026-03,443,2.0715418474708382,2.187502219866666,4.447532310540363,1.9555814750750102,0.2054176072234763,0.1399548532731377,0.654627539503386,22.34497876606091
lgbm_full,2026-01,722,1.458384750178458,1.4406424362536108,3.2069755975900116,1.4761270641033046,0.1440443213296399,0.09833795013850416,0.7576177285318559,19.05628916749638
lgbm_full,2026-02,672,2.063890254524996,2.11283381001278,4.421106616988021,2.014946699037212,0.20684523809523808,0.17261904761904762,0.6205357142857143,20.511276090385575
lgbm_full,2026-03,443,2.1709897601034704,2.3635443919540386,4.45195305705814,1.9784351282529027,0.23927765237020315,0.16930022573363432,0.5914221218961625,20.114582725445416
