split,n,mean,sd,q10,median,q90,min,max
train,3528,-0.024590824152192697,9.73798464477684,-8.32397267493068,0.04827284290520595,8.552498574429636,-241.20543395458327,225.66209785392033
validation,1455,-2.907222337585456,11.233389702018032,-13.51610373756884,-1.8383049883574643,8.638742831893255,-93.3477864281329,23.583808862905897
refit,4989,-0.8694121252094046,10.277051837180279,-9.995016188474537,-0.42223818866204965,8.574752011679008,-241.20543395458327,225.66209785392033
test,1837,-1.8740481682210415,9.687666107732408,-14.552597840596704,-2.131538425116375,10.736694345546033,-31.772639085643206,27.991635583024532
