candidate,reference,mean_loss_reduction_bp,relative_reduction_pct,ci95_low,ci95_high,B,block_calendar_days,note
lgbm_full,lgbm_base,-0.0511024416892419,-2.8380277876629663,-0.08041376461479995,-0.02260773818622041,999,5,"positive means lower candidate tail loss; conditional pilot percentile interval, no multiplicity correction"
lgbm_full,linear_full,-0.006977644600451077,-0.378241940708143,-0.04401908077277897,0.02857982198086242,999,5,"positive means lower candidate tail loss; conditional pilot percentile interval, no multiplicity correction"
lgbm_full,threshold_full,-0.0031480498223721187,-0.17029496298667746,-0.039224892654464535,0.030385589590993203,999,5,"positive means lower candidate tail loss; conditional pilot percentile interval, no multiplicity correction"
lgbm_base,threshold_base,-0.01452080277146008,-0.8129841698186729,-0.04268979881270908,0.017086193015136652,999,5,"positive means lower candidate tail loss; conditional pilot percentile interval, no multiplicity correction"
linear_full,linear_base,-0.06024913633508759,-3.376232644046486,-0.0889349899268032,-0.03228239470729443,999,5,"positive means lower candidate tail loss; conditional pilot percentile interval, no multiplicity correction"
threshold_full,threshold_base,-0.062475194638329845,-3.4978330775988833,-0.09154724120820418,-0.034250505731752576,999,5,"positive means lower candidate tail loss; conditional pilot percentile interval, no multiplicity correction"
lgbm_full,unconditional,-0.021769865130826942,-1.1896330256973686,-0.05865233855586356,0.012832601320311839,999,5,"positive means lower candidate tail loss; conditional pilot percentile interval, no multiplicity correction"
lgbm_full,persistence,0.6170373031153968,24.993694084238157,0.5085443435399898,0.740287949345103,999,5,"positive means lower candidate tail loss; conditional pilot percentile interval, no multiplicity correction"
