definition,null,sample,block_days,n,quantity,estimate,lo,hi,bootstrap_valid,p
CAP,local_center72,full,1,275,cross,0.09224995367247874,-0.06359499828869926,0.23060803147385614,1.0,0.223
CAP,local_center72,full,1,275,overshot,0.03374617268818923,-0.044032471648005486,0.10910095641535524,1.0,0.3805
CAP,local_center72,full,5,275,cross,0.09224995367247874,-0.06677335415814871,0.23632382412164707,1.0,0.248
CAP,local_center72,full,5,275,overshot,0.03374617268818923,-0.050566092457040274,0.11322411789998642,1.0,0.423
CAP,local_center72,full,10,275,cross,0.09224995367247874,-0.042208152587928593,0.23063534908900984,1.0,0.1825
CAP,local_center72,full,10,275,overshot,0.03374617268818923,-0.03275243261552343,0.1011240494575656,1.0,0.3385
CAP,local_center72,nonoverlap,5,109,cross,-0.10013429159985165,-0.40980168160510766,0.20120877627178163,1.0,0.534
CAP,local_center72,nonoverlap,5,109,overshot,0.039555090506769267,-0.079608665193896,0.17177466210744438,1.0,0.5045
CAP,local_center72,overlap,5,221,cross,0.08712656301469829,-0.0679162803407397,0.2316117927322766,1.0,0.2675
CAP,local_center72,overlap,5,221,overshot,0.03145436009845988,-0.052905962772245754,0.10780431260603633,1.0,0.4575
CAP,local_center72,2025-12,5,65,cross,-0.026609903245571494,-0.4044344335129727,0.3561519702524827,1.0,0.898
CAP,local_center72,2025-12,5,65,overshot,0.020568344132648252,-0.15848422037987417,0.23146719402745494,1.0,0.847
CAP,local_center72,2026-01,5,78,cross,-0.057921540431233855,-0.34699448354135676,0.18208544906373642,1.0,0.67
CAP,local_center72,2026-01,5,78,overshot,0.016102478440435466,-0.050915055358415624,0.0817583811850921,1.0,0.667
CAP,local_center72,2026-02,5,58,cross,0.1725536059868735,-0.33575926286805924,0.6750553843186502,1.0,0.432
CAP,local_center72,2026-02,5,58,overshot,0.03321302463351743,-0.11761006230869413,0.3880235692611392,1.0,0.749
CAP,local_center72,2026-03,5,74,cross,0.30276972381129885,0.03546455578673137,0.4911586362674693,1.0,0.0145
CAP,local_center72,2026-03,5,74,overshot,0.06279127505381434,-0.22529544175436467,0.19920274182829226,1.0,0.5385
EQ,affine,full,1,318,cross,0.2605373547204029,0.1090174870772336,0.3981119256060948,1.0,0.001
EQ,affine,full,1,318,overshot,0.11232603889524655,0.02425680884529746,0.19209805122079804,1.0,0.0095
EQ,affine,full,5,318,cross,0.2605373547204029,0.12453440702429579,0.3931343723933819,1.0,0.001
EQ,affine,full,5,318,overshot,0.11232603889524655,0.03278661817376634,0.18846666251362118,1.0,0.0045
EQ,affine,full,10,318,cross,0.2605373547204029,0.144211377625178,0.38256532521438263,1.0,0.0005
EQ,affine,full,10,318,overshot,0.11232603889524655,0.04571655083255901,0.178438553546968,1.0,0.001
EQ,affine,nonoverlap,5,115,cross,0.2622010627702219,0.05179930690656108,0.4849590371297172,1.0,0.018
EQ,affine,nonoverlap,5,115,overshot,0.1800677668739438,0.06178177178166337,0.3096324924146358,1.0,0.003
EQ,affine,overlap,5,249,cross,0.2582763341086157,0.1329672097274023,0.3905010375053009,1.0,0.0005
EQ,affine,overlap,5,249,overshot,0.1054031140034428,0.021071039700095065,0.18345657136497348,1.0,0.012
EQ,affine,2025-12,5,84,cross,0.1671571036737153,-0.08913979819866827,0.4734671554132682,1.0,0.262
EQ,affine,2025-12,5,84,overshot,-0.031961155941114434,-0.18256902070236783,0.09816414290045944,1.0,0.6375
EQ,affine,2026-01,5,77,cross,0.1724023048946103,-0.16956003484586232,0.48167644812573845,1.0,0.3075
EQ,affine,2026-01,5,77,overshot,0.050988040796988626,-0.1392630829560108,0.18694629969380377,1.0,0.595
EQ,affine,2026-02,5,80,cross,0.2718332819344066,0.02702405651588327,0.6037882442254241,1.0,0.055
EQ,affine,2026-02,5,80,overshot,0.17519745550696703,0.0060165221248155345,0.37552696458139395,1.0,0.066
EQ,affine,2026-03,5,77,cross,0.43468521604912613,0.2810743027688332,0.5163425520269996,1.0,0.0005
EQ,affine,2026-03,5,77,overshot,0.25485804961436037,0.1844744477142119,0.3150197705723715,1.0,0.0005
EQ,local_center72,full,1,318,cross,0.1411669903125222,-0.04168706877985255,0.3022800257933735,1.0,0.1055
EQ,local_center72,full,1,318,overshot,0.06160413788683025,-0.03311117371800163,0.15055034467448758,1.0,0.1885
EQ,local_center72,full,5,318,cross,0.1411669903125222,-0.04323162160140671,0.31463442140113906,1.0,0.1185
EQ,local_center72,full,5,318,overshot,0.06160413788683025,-0.03425210475351487,0.14803630558606765,1.0,0.1915
EQ,local_center72,full,10,318,cross,0.1411669903125222,-0.03483454244314171,0.31144868611413074,1.0,0.112
EQ,local_center72,full,10,318,overshot,0.06160413788683025,-0.01989234768332571,0.13854030272648185,1.0,0.1275
EQ,local_center72,nonoverlap,5,115,cross,0.14429599923723083,-0.08150833176384106,0.3857659652297475,1.0,0.218
EQ,local_center72,nonoverlap,5,115,overshot,0.1266839339305369,0.0030513726816072694,0.2501576125927987,1.0,0.047
EQ,local_center72,overlap,5,249,cross,0.13915895965995317,-0.042349262270880865,0.3069644217711007,1.0,0.1175
EQ,local_center72,overlap,5,249,overshot,0.05580093286115657,-0.04207334136465264,0.14352019540724428,1.0,0.243
EQ,local_center72,2025-12,5,84,cross,-0.059547303061924066,-0.552848444727883,0.5463494500265468,1.0,0.8495
EQ,local_center72,2025-12,5,84,overshot,-0.1563921470541149,-0.3405828760406282,0.03664148077753617,1.0,0.118
EQ,local_center72,2026-01,5,77,cross,0.0184834412372161,-0.32453416751567543,0.2959083845921688,1.0,0.919
EQ,local_center72,2026-01,5,77,overshot,0.001037227604123095,-0.20459415141678647,0.14866677613979726,1.0,0.9895
EQ,local_center72,2026-02,5,80,cross,0.2569174691105221,0.011191063915315788,0.5787947854315166,1.0,0.075
EQ,local_center72,2026-02,5,80,overshot,0.16297213135716987,0.013409301425073676,0.3310142922781559,1.0,0.0455
EQ,local_center72,2026-03,5,77,cross,0.358387191137704,0.163817581676777,0.4798423313426782,1.0,0.001
EQ,local_center72,2026-03,5,77,overshot,0.2340320204592008,0.1336668607037545,0.3008927302282709,1.0,0.0005
PCA,affine,full,1,317,cross,0.2565065305418918,0.10300039301005641,0.3940453516972779,1.0,0.001
PCA,affine,full,1,317,overshot,0.10792942364001873,0.019315204295105737,0.1872095280445464,1.0,0.012
PCA,affine,full,5,317,cross,0.2565065305418918,0.12217206025530099,0.38893956110717404,1.0,0.001
PCA,affine,full,5,317,overshot,0.10792942364001873,0.027692120884533038,0.184630673399914,1.0,0.0065
PCA,affine,full,10,317,cross,0.2565065305418918,0.13942242888486575,0.37868979954207743,1.0,0.0005
PCA,affine,full,10,317,overshot,0.10792942364001873,0.039750911767615804,0.17531971074058925,1.0,0.001
PCA,affine,nonoverlap,5,115,cross,0.26242237279713876,0.0553864508160941,0.4872337060483138,1.0,0.0175
PCA,affine,nonoverlap,5,115,overshot,0.17012067583057197,0.050827132505085006,0.2953778294137615,1.0,0.0045
PCA,affine,overlap,5,248,cross,0.2366974079349761,0.09835302232115892,0.37359313104049513,1.0,0.002
PCA,affine,overlap,5,248,overshot,0.10159200513791806,0.02125656045852752,0.18042908638365066,1.0,0.0125
PCA,affine,2025-12,5,84,cross,0.16512767767996456,-0.0922161630970421,0.4755568916255131,1.0,0.274
PCA,affine,2025-12,5,84,overshot,-0.03320636031969184,-0.18350313426977666,0.09697210705898289,1.0,0.6235
PCA,affine,2026-01,5,77,cross,0.17041027111054471,-0.17467726952150767,0.4864352791781048,1.0,0.3205
PCA,affine,2026-01,5,77,overshot,0.047544891483932046,-0.1469175790317682,0.1868387550936535,1.0,0.6275
PCA,affine,2026-02,5,80,cross,0.27244536768266436,0.027264660216659294,0.5984822252762779,1.0,0.054
PCA,affine,2026-02,5,80,overshot,0.16691971403795391,-0.0014149854726134598,0.3703366049676123,1.0,0.087
PCA,affine,2026-03,5,76,cross,0.4187637618430006,0.2745023839471933,0.5079492356592559,1.0,0.0005
PCA,affine,2026-03,5,76,overshot,0.24763631360119603,0.17812403802371143,0.3093666366088675,1.0,0.0005
PCA,local_center72,full,1,317,cross,0.13802942075202265,-0.05094971847288531,0.2998471512218617,1.0,0.114
PCA,local_center72,full,1,317,overshot,0.05754986707227729,-0.03936595483564881,0.14699012751407908,1.0,0.224
PCA,local_center72,full,5,317,cross,0.13802942075202265,-0.048653434995628936,0.31343547289240453,1.0,0.129
PCA,local_center72,full,5,317,overshot,0.05754986707227729,-0.038649206781832056,0.14506641714484625,1.0,0.22
PCA,local_center72,full,10,317,cross,0.13802942075202265,-0.041406444130574295,0.30954730860981294,1.0,0.124
PCA,local_center72,full,10,317,overshot,0.05754986707227729,-0.02649048568237825,0.13600997546975127,1.0,0.162
PCA,local_center72,nonoverlap,5,115,cross,0.14465917069523615,-0.07870168219357053,0.38261824365972646,1.0,0.2165
PCA,local_center72,nonoverlap,5,115,overshot,0.11750939184786749,-0.0069665860742778975,0.2432368345965819,1.0,0.0645
PCA,local_center72,overlap,5,248,cross,0.11975734487423395,-0.0651380596780415,0.29823295522177207,1.0,0.2035
PCA,local_center72,overlap,5,248,overshot,0.052748939507181354,-0.04086840994203639,0.14040275895094861,1.0,0.258
PCA,local_center72,2025-12,5,84,cross,-0.059824300142745625,-0.5571933701329994,0.5388898675766467,1.0,0.8475
PCA,local_center72,2025-12,5,84,overshot,-0.1570313135023812,-0.34355245331668466,0.03718779757948819,1.0,0.1195
PCA,local_center72,2026-01,5,77,cross,0.017111994700331326,-0.33427197576840123,0.3023020588952953,1.0,0.9265
PCA,local_center72,2026-01,5,77,overshot,-0.0021771987358619187,-0.21363492147321086,0.14944757547621332,1.0,0.9815
PCA,local_center72,2026-02,5,80,cross,0.2561555839901318,0.010501744477553794,0.5783461506714935,1.0,0.074
PCA,local_center72,2026-02,5,80,overshot,0.15382810022093016,0.006099017608751206,0.3247382804466672,1.0,0.057
PCA,local_center72,2026-03,5,76,cross,0.3441586758313799,0.1328364243870411,0.4826641904819931,1.0,0.001
PCA,local_center72,2026-03,5,76,overshot,0.2283256980164492,0.1286316104105106,0.2959757500103141,1.0,0.0005
