definition,null,sample,block_days,n,quantity,estimate,lo,hi,bootstrap_valid,p
CAP,affine,full,1,275,cross,0.2576780756389798,0.09471416693136915,0.41068007975074106,1.0,0.0025
CAP,affine,full,1,275,overshot,0.09198876362093253,0.01640717465853847,0.16473902606395988,1.0,0.017
CAP,affine,full,5,275,cross,0.2576780756389798,0.08754224368080475,0.4198108295852231,1.0,0.004
CAP,affine,full,5,275,overshot,0.09198876362093253,0.011412438007501928,0.17305942838846317,1.0,0.0275
CAP,affine,full,10,275,cross,0.2576780756389798,0.1126365238723711,0.4101943704035301,1.0,0.001
CAP,affine,full,10,275,overshot,0.09198876362093253,0.030590627908923553,0.15366792188787456,1.0,0.0035
CAP,affine,nonoverlap,5,109,cross,0.06904462167911557,-0.23587868177759708,0.3699313393448864,1.0,0.665
CAP,affine,nonoverlap,5,109,overshot,0.10265370234149794,-0.014455273604877429,0.22929938064301905,1.0,0.1025
CAP,affine,overlap,5,221,cross,0.246667814194874,0.07470932246184464,0.4036966289085336,1.0,0.003
CAP,affine,overlap,5,221,overshot,0.08870866072131604,0.006916798581877336,0.16825783977985848,1.0,0.033
CAP,affine,2025-12,5,65,cross,-0.03425246498327174,-0.35926849430414987,0.28753964464299775,1.0,0.836
CAP,affine,2025-12,5,65,overshot,0.05494510317793235,-0.06341526878863317,0.19350292689610454,1.0,0.413
CAP,affine,2026-01,5,78,cross,0.2389223244554226,-0.11069888566596764,0.5162953783871671,1.0,0.137
CAP,affine,2026-01,5,78,overshot,0.09246516153455361,0.017219271577802148,0.16645917957979528,1.0,0.012
CAP,affine,2026-02,5,58,cross,0.26313345516137615,-0.26082710790973196,0.8361158879258597,1.0,0.265
CAP,affine,2026-02,5,58,overshot,0.062150951456457604,-0.10565336892590402,0.4226470062320516,1.0,0.6115
CAP,affine,2026-03,5,74,cross,0.4487034209763383,0.15267164962818464,0.6917803129885057,1.0,0.0035
CAP,affine,2026-03,5,74,overshot,0.12743700266719937,-0.1496816522196133,0.27870289128740794,1.0,0.202
