method,sample,h,q,term,n,effect,coefficient,replicate,block_days,refit_first_stage
sequential_ols,all,6,0.1,e_origin,577,0.09542501731654124,0.009971754720232635,198,7,True
sequential_ols,all,6,0.1,downside,577,-2.371980924035516,-142526.0038318241,198,7,True
sequential_ols,all,6,0.1,btc_vol,577,1.2365594751507771,589.1916318434266,198,7,True
sequential_ols,all,6,0.1,btc_ret,577,-0.24564634090097978,-36.82874027581568,198,7,True
sequential_ols,all,6,0.1,account_ls,577,0.6965413084707432,1.2349532004159958,198,7,True
sequential_ols,all,6,0.5,e_origin,577,0.5422537777046228,0.05666461290180712,198,7,True
sequential_ols,all,6,0.5,downside,577,-1.8690716976273034,-112307.53048585409,198,7,True
sequential_ols,all,6,0.5,btc_vol,577,2.1926318449626665,1044.7377265116133,198,7,True
sequential_ols,all,6,0.5,btc_ret,577,0.3561108194697881,53.39022283644528,198,7,True
sequential_ols,all,6,0.5,account_ls,577,0.5700597180514282,1.0107039807609937,198,7,True
sequential_ols,matched,1,0.1,e_origin,229,5.199210387359154,0.5074279521529583,198,7,True
sequential_ols,matched,1,0.1,downside,229,5.803363258990083,390594.60879218427,198,7,True
sequential_ols,matched,1,0.1,btc_vol,229,-5.5254150895051755,-2650.8930500887336,198,7,True
sequential_ols,matched,1,0.1,btc_ret,229,2.927101896326867,592.8654390854141,198,7,True
sequential_ols,matched,1,0.1,account_ls,229,-1.7042990030793836,-3.1567746581857086,198,7,True
sequential_ols,matched,6,0.1,e_origin,229,1.2112481262716404,0.11821432688268499,198,7,True
sequential_ols,matched,6,0.1,downside,229,-0.7153820987398498,-48148.69904298384,198,7,True
sequential_ols,matched,6,0.1,btc_vol,229,0.22531579073337832,108.09831552109686,198,7,True
sequential_ols,matched,6,0.1,btc_ret,229,-0.3627502604696787,-73.47270442534966,198,7,True
sequential_ols,matched,6,0.1,account_ls,229,0.26710828170510575,0.49474925066240394,198,7,True
sequential_ols,matched,12,0.1,e_origin,229,1.1344963233257608,0.11072357207738522,198,7,True
sequential_ols,matched,12,0.1,downside,229,-2.7178832744798727,-182926.78003462215,198,7,True
sequential_ols,matched,12,0.1,btc_vol,229,1.0263753159278488,492.41751935408405,198,7,True
sequential_ols,matched,12,0.1,btc_ret,229,0.9206343998548677,186.46850606465614,198,7,True
sequential_ols,matched,12,0.1,account_ls,229,2.4477480462741497,4.533822403310943,198,7,True
pca_1,all,6,0.1,e_origin,577,-0.024606840016450013,-0.0025917946502478253,198,7,True
pca_1,all,6,0.1,downside,577,-2.777069687145461,-166866.70658292787,198,7,True
pca_1,all,6,0.1,btc_vol,577,1.5384227999358056,733.0224369909807,198,7,True
pca_1,all,6,0.1,btc_ret,577,-0.36661819719696054,-54.96555053672604,198,7,True
pca_1,all,6,0.1,account_ls,577,0.7304810451174363,1.2951276450374236,198,7,True
pca_1,all,6,0.5,e_origin,577,0.6157410542168834,0.06485490900865006,198,7,True
pca_1,all,6,0.5,downside,577,-1.935323313700242,-116288.41329591112,198,7,True
pca_1,all,6,0.5,btc_vol,577,2.26452645250495,1078.993823359212,198,7,True
pca_1,all,6,0.5,btc_ret,577,0.3894137400550087,58.3831920301269,198,7,True
pca_1,all,6,0.5,account_ls,577,0.6881300167690971,1.2200401558050649,198,7,True
pca_1,matched,1,0.1,e_origin,229,5.345348344078398,0.5260592107366435,198,7,True
pca_1,matched,1,0.1,downside,229,5.807363439964672,390863.8404520235,198,7,True
pca_1,matched,1,0.1,btc_vol,229,-5.721742919134914,-2745.0839969540643,198,7,True
pca_1,matched,1,0.1,btc_ret,229,3.018249735774027,611.3268407617065,198,7,True
pca_1,matched,1,0.1,account_ls,229,-1.7300665645024356,-3.204502424708227,198,7,True
pca_1,matched,6,0.1,e_origin,229,1.1425128525027675,0.11243970846350926,198,7,True
pca_1,matched,6,0.1,downside,229,-0.863834877659278,-58140.29400583947,198,7,True
pca_1,matched,6,0.1,btc_vol,229,0.39119233514615764,187.679844082049,198,7,True
pca_1,matched,6,0.1,btc_ret,229,-0.39998601399892775,-81.01456396686298,198,7,True
pca_1,matched,6,0.1,account_ls,229,0.33131364230291366,0.6136731336715607,198,7,True
pca_1,matched,12,0.1,e_origin,229,1.099251968704892,0.10818221485943176,198,7,True
pca_1,matched,12,0.1,downside,229,-2.708372259829178,-182286.64243149175,198,7,True
pca_1,matched,12,0.1,btc_vol,229,1.037651188243396,497.82727248045944,198,7,True
pca_1,matched,12,0.1,btc_ret,229,0.8916815705802702,180.6042989244164,198,7,True
pca_1,matched,12,0.1,account_ls,229,2.506361599627599,4.642388904563403,198,7,True
pca_2,all,6,0.1,e_origin,577,0.26417225723328874,0.04010778104131992,198,7,True
pca_2,all,6,0.1,downside,577,0.6049741736272706,36351.28365276176,198,7,True
pca_2,all,6,0.1,btc_vol,577,-0.17012935359305936,-81.06265285439635,198,7,True
pca_2,all,6,0.1,btc_ret,577,0.4400585869875755,65.9761645415302,198,7,True
pca_2,all,6,0.1,account_ls,577,-0.05433199528353331,-0.09632949351948526,198,7,True
pca_2,all,6,0.5,e_origin,577,0.3682688676188228,0.055912181171041346,198,7,True
pca_2,all,6,0.5,downside,577,-0.48486854987912026,-29134.457236877744,198,7,True
pca_2,all,6,0.5,btc_vol,577,1.0994696432046016,523.8715373258059,198,7,True
pca_2,all,6,0.5,btc_ret,577,0.38153884799717974,57.202542022338775,198,7,True
pca_2,all,6,0.5,account_ls,577,-0.15559680910428847,-0.2758698946365919,198,7,True
pca_2,matched,1,0.1,e_origin,229,1.325979858862306,0.19450357138753852,198,7,True
pca_2,matched,1,0.1,downside,229,2.9544534093054797,198849.1021675645,198,7,True
pca_2,matched,1,0.1,btc_vol,229,-2.707452937863382,-1298.9373757740814,198,7,True
pca_2,matched,1,0.1,btc_ret,229,1.1506139894798069,233.04937520172672,198,7,True
pca_2,matched,1,0.1,account_ls,229,0.05591105580178729,0.10356082104641594,198,7,True
pca_2,matched,6,0.1,e_origin,229,0.9503983629767002,0.13941077204479196,198,7,True
pca_2,matched,6,0.1,downside,229,0.41183378281808325,27718.41914911043,198,7,True
pca_2,matched,6,0.1,btc_vol,229,0.645550576561777,309.71167037545456,198,7,True
pca_2,matched,6,0.1,btc_ret,229,-0.4786656348680043,-96.95060911519013,198,7,True
pca_2,matched,6,0.1,account_ls,229,-0.35385485644061515,-0.6554249233669509,198,7,True
pca_2,matched,12,0.1,e_origin,229,-0.8987431736968857,-0.13183364428642338,198,7,True
pca_2,matched,12,0.1,downside,229,1.4628870976029753,98459.42569771239,198,7,True
pca_2,matched,12,0.1,btc_vol,229,-0.9415199535447539,-451.707004983615,198,7,True
pca_2,matched,12,0.1,btc_ret,229,0.2627896023665011,53.226323685418826,198,7,True
pca_2,matched,12,0.1,account_ls,229,0.6196522469459936,1.1477460859348005,198,7,True
ae_selected,all,6,0.1,e_origin,577,0.10809548966396536,0.01322045889983687,198,7,True
ae_selected,all,6,0.1,downside,577,-1.7955523780648823,-107889.95076778473,198,7,True
ae_selected,all,6,0.1,btc_vol,577,1.5791235208655763,752.4153773741285,198,7,True
ae_selected,all,6,0.1,btc_ret,577,0.049495633808150814,7.420675739037633,198,7,True
ae_selected,all,6,0.1,account_ls,577,-1.3438507123842813,-2.382619261711729,198,7,True
ae_selected,all,6,0.5,e_origin,577,1.7268335585649712,0.21119782295114284,198,7,True
ae_selected,all,6,0.5,downside,577,-0.7691061775730459,-46213.53776545558,198,7,True
ae_selected,all,6,0.5,btc_vol,577,1.3068732993683434,622.6945224559855,198,7,True
ae_selected,all,6,0.5,btc_ret,577,0.8504172716858927,127.49954552595008,198,7,True
ae_selected,all,6,0.5,account_ls,577,-0.659210447219462,-1.168766362656478,198,7,True
ae_selected,matched,1,0.1,e_origin,229,3.374697194147892,0.41740657945055365,198,7,True
ae_selected,matched,1,0.1,downside,229,-0.280738202276243,-18895.048163880176,198,7,True
ae_selected,matched,1,0.1,btc_vol,229,0.4149906518389422,199.09741023821678,198,7,True
ae_selected,matched,1,0.1,btc_ret,229,-0.711579824985668,-144.12586248324448,198,7,True
ae_selected,matched,1,0.1,account_ls,229,0.9875002027734404,1.829089619506892,198,7,True
ae_selected,matched,6,0.1,e_origin,229,0.6382215005660286,0.07893977982529209,198,7,True
ae_selected,matched,6,0.1,downside,229,-0.8406171654316726,-56577.628906331425,198,7,True
ae_selected,matched,6,0.1,btc_vol,229,1.0446549548946935,501.18742480198034,198,7,True
ae_selected,matched,6,0.1,btc_ret,229,0.17846090609934898,36.146095080236464,198,7,True
ae_selected,matched,6,0.1,account_ls,229,-3.159440195327907,-5.852048686670437,198,7,True
ae_selected,matched,12,0.1,e_origin,229,0.13964954238615393,0.017272849816073042,198,7,True
ae_selected,matched,12,0.1,downside,229,-0.358795900077636,-24148.711354569263,198,7,True
ae_selected,matched,12,0.1,btc_vol,229,1.2175564621081798,584.1392748254588,198,7,True
ae_selected,matched,12,0.1,btc_ret,229,1.1604145048337573,235.03440580345412,198,7,True
ae_selected,matched,12,0.1,account_ls,229,-0.704938254408824,-1.3057164341953162,198,7,True
joint_ols,all,6,0.1,e_origin,577,0.09657539716267377,0.010092065605012836,198,7,True
joint_ols,all,6,0.1,downside,577,-2.362905044065787,-141980.65842443274,198,7,True
joint_ols,all,6,0.1,btc_vol,577,1.2339721500893284,587.9588320422861,198,7,True
joint_ols,all,6,0.1,btc_ret,577,-0.2460035985751313,-36.882302441832934,198,7,True
joint_ols,all,6,0.1,account_ls,577,0.6972433345957,1.2361978780815521,198,7,True
joint_ols,all,6,0.5,e_origin,577,0.5414855794462267,0.05658488758513551,198,7,True
joint_ols,all,6,0.5,downside,577,-1.867363278204733,-112204.87612185803,198,7,True
joint_ols,all,6,0.5,btc_vol,577,2.1926014779723033,1044.7232573518472,198,7,True
joint_ols,all,6,0.5,btc_ret,577,0.3560191580299908,53.37648041574722,198,7,True
joint_ols,all,6,0.5,account_ls,577,0.5695688483164911,1.0098336789672941,198,7,True
joint_ols,matched,1,0.1,e_origin,229,5.201242643325393,0.5076159620656326,198,7,True
joint_ols,matched,1,0.1,downside,229,5.8011982413296455,390448.8925603429,198,7,True
joint_ols,matched,1,0.1,btc_vol,229,-5.52561006167997,-2650.9865906417513,198,7,True
joint_ols,matched,1,0.1,btc_ret,229,2.928127323980013,593.0731327829228,198,7,True
joint_ols,matched,1,0.1,account_ls,229,-1.7030651503250365,-3.1544892639562816,198,7,True
joint_ols,matched,6,0.1,e_origin,229,1.209896618379489,0.11808002011342379,198,7,True
joint_ols,matched,6,0.1,downside,229,-0.714833809474303,-48111.79650533044,198,7,True
joint_ols,matched,6,0.1,btc_vol,229,0.2268227034540977,108.82127739703495,198,7,True
joint_ols,matched,6,0.1,btc_ret,229,-0.36420520531947986,-73.76739403567888,198,7,True
joint_ols,matched,6,0.1,account_ls,229,0.26305566987221285,0.4872428317121935,198,7,True
joint_ols,matched,12,0.1,e_origin,229,1.1353861843480157,0.11080816447266631,198,7,True
joint_ols,matched,12,0.1,downside,229,-2.718177935418362,-182946.6121507347,198,7,True
joint_ols,matched,12,0.1,btc_vol,229,1.0264935214027306,492.47423003857944,198,7,True
joint_ols,matched,12,0.1,btc_ret,229,0.9192835750947703,186.19490530086736,198,7,True
joint_ols,matched,12,0.1,account_ls,229,2.447000392795433,4.532437567932613,198,7,True
