case,file,row,column,saved,recomputed,matches
kp_B300_point60_boot35,robustness_kp_mediation.csv,7,channel,TOPTRADER_ACCOUNT_LS,TOPTRADER_ACCOUNT_LS,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,8,channel,ACCOUNT_LS (decisive M2),ACCOUNT_LS (decisive M2),True
kp_B300_point60_boot35,robustness_kp_mediation.csv,0,base_dn,-0.115,-0.115,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,1,base_dn,-0.115,-0.115,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,2,base_dn,-,-,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,3,base_dn,-0.157,-0.157,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,4,base_dn,-0.157,-0.157,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,5,base_dn,-,-,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,6,base_dn,-0.118,-0.118,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,7,base_dn,-0.118,-0.118,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,8,base_dn,-,-,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,0,dn_beta,-0.064,-0.064,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,1,dn_beta,-0.009,-0.009,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,2,dn_beta,-0.158,-0.158,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,3,dn_beta,-0.027,-0.027,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,4,dn_beta,-0.018,-0.018,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,5,dn_beta,-0.214,-0.214,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,6,dn_beta,-0.08,-0.08,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,7,dn_beta,-0.014,-0.014,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,8,dn_beta,-0.152,-0.152,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,0,dn_p,0.173,0.28,False
kp_B300_point60_boot35,robustness_kp_mediation.csv,1,dn_p,0.307,0.327,False
kp_B300_point60_boot35,robustness_kp_mediation.csv,2,dn_p,-,-,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,3,dn_p,0.52,0.58,False
kp_B300_point60_boot35,robustness_kp_mediation.csv,4,dn_p,0.907,0.98,False
kp_B300_point60_boot35,robustness_kp_mediation.csv,5,dn_p,-,-,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,6,dn_p,0.2,0.233,False
kp_B300_point60_boot35,robustness_kp_mediation.csv,7,dn_p,0.36,0.413,False
kp_B300_point60_boot35,robustness_kp_mediation.csv,8,dn_p,-,-,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,0,ch_p,0.013,0.013,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,1,ch_p,0.0,0.0,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,2,ch_p,0.0,0.0,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,3,ch_p,0.0,0.0,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,4,ch_p,0.0,0.0,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,5,ch_p,0.0,0.007,False
kp_B300_point60_boot35,robustness_kp_mediation.csv,6,ch_p,0.0,0.0,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,7,ch_p,0.0,0.0,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,8,ch_p,0.0,0.0,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,0,mediates,YES,YES,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,1,mediates,YES,YES,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,2,mediates,survives,survives,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,3,mediates,YES,YES,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,4,mediates,YES,YES,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,5,mediates,survives,survives,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,6,mediates,artifact,artifact,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,7,mediates,YES,YES,True
kp_B300_point60_boot35,robustness_kp_mediation.csv,8,mediates,survives,survives,True
