table,source,sum,count
1,default_B300,119,120
2,archive_main_B40,8,8
2,default_B300,8,8
2,historical_saved_NOT_RERUN,8,8
2,main_B300_point80_boot30,8,8
2,main_B300_point80_boot35,8,8
3,archive_main_B40,8,10
3,default_B300,10,10
3,historical_saved_NOT_RERUN,8,10
3,main_B300_point80_boot30,10,10
3,main_B300_point80_boot35,10,10
4,archive_main_B40,7,12
4,default_B300,11,12
4,historical_saved_NOT_RERUN,7,12
4,main_B300_point80_boot30,9,12
4,main_B300_point80_boot35,10,12
4,main_B300_table7_only,9,12
5,archive_supplement_B200,12,15
5,default_B300,11,15
5,historical_saved_NOT_RERUN,15,15
5,kp_B150_point60_boot30,14,15
5,kp_B150_point60_boot35,15,15
5,kp_B300_point60_boot35,12,15
6,archive_supplement_B200,20,20
6,default_B300,14,20
6,historical_saved_NOT_RERUN,20,20
