mode,definition,month,window,band,train_n,forecast_n,inner_eligible_n,smallest_threshold_regime,residual_fit_end,train_last_label,features_R,features_B,features_F
available_macro,CAP,2025-10,all,"[0.35, 0.65]",1237,345,345,371,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,15,23
available_macro,CAP,2025-10,90,"[0.2, 0.8]",945,345,345,189,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,15,23
available_macro,CAP,2025-10,90,"[0.35, 0.65]",945,345,345,283,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,15,23
available_macro,CAP,2025-11,all,"[0.2, 0.8]",1582,280,280,317,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,15,23
available_macro,CAP,2025-11,all,"[0.35, 0.65]",1582,280,280,474,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,15,23
available_macro,CAP,2025-11,90,"[0.2, 0.8]",975,280,280,195,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,15,23
available_macro,CAP,2025-11,90,"[0.35, 0.65]",975,280,280,293,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,15,23
available_macro,CAP,2025-12,all,"[0.2, 0.8]",1862,313,313,373,2025-11-28T17:00:00+00:00,2025-11-28T17:00:00+00:00,5,15,23
available_macro,CAP,2025-12,all,"[0.35, 0.65]",1862,313,313,558,2025-11-28T17:00:00+00:00,2025-11-28T17:00:00+00:00,5,15,23
available_macro,CAP,2025-12,90,"[0.2, 0.8]",940,313,313,188,2025-11-28T17:00:00+00:00,2025-11-28T17:00:00+00:00,5,15,23
available_macro,CAP,2025-12,90,"[0.35, 0.65]",940,313,313,282,2025-11-28T17:00:00+00:00,2025-11-28T17:00:00+00:00,5,15,23
available_macro,CAP,2026-01,all,"[0.2, 0.8]",2175,294,294,435,2025-12-31T17:00:00+00:00,2025-12-31T17:00:00+00:00,5,15,23
