scenario,month,coin,pc1_loading,pc2_loading,pca2_effective_first_stage_bp_per_bp,pc1_variance_share,pc2_variance_share
clock_UTC_quote,2026-01,BTC,0.44745274884244846,-0.3062662316263866,0.2816064670309719,0.9970359962640615,0.002100096342560461
clock_UTC_quote,2026-01,ETH,0.4475098926537958,-0.27467825428618314,0.2726037129768509,0.9970359962640615,0.002100096342560461
clock_UTC_quote,2026-01,XRP,0.44753475028925793,-0.2692079388381,0.2718311614737922,0.9970359962640615,0.002100096342560461
clock_UTC_quote,2026-01,SOL,0.44749730054731435,-0.017686878073906946,0.20295835714028662,0.9970359962640615,0.002100096342560461
clock_UTC_quote,2026-01,DOGE,0.4460714593164674,0.8706130667513602,-0.039299228196637004,0.9970359962640615,0.002100096342560461
clock_UTC_quote,2026-02,BTC,0.4475204079264443,-0.29283000372667023,0.2753175697871934,0.9966049717482596,0.0024817567302796604
clock_UTC_quote,2026-02,ETH,0.44757563564445335,-0.26547639912856774,0.2677329606388637,0.9966049717482596,0.0024817567302796604
clock_UTC_quote,2026-02,XRP,0.4475981966702734,-0.2591078534151261,0.2667429514893189,0.9966049717482596,0.0024817567302796604
clock_UTC_quote,2026-02,SOL,0.4475646645300141,-0.058462369068264256,0.21354800960728743,0.9966049717482596,0.0024817567302796604
clock_UTC_quote,2026-02,DOGE,0.44580630353155376,0.8793282334399931,-0.03378998350525465,0.9966049717482596,0.0024817567302796604
clock_UTC_quote,2026-03,BTC,0.4476444173121279,-0.27657710161157234,0.26715818879607744,0.9958207696251513,0.003200954032679103
clock_UTC_quote,2026-03,ETH,0.44769639596333455,-0.25540564818614253,0.2614931795463177,0.9958207696251513,0.003200954032679103
clock_UTC_quote,2026-03,XRP,0.4477259742104149,-0.24600328217048514,0.2598688622124897,0.9958207696251513,0.003200954032679103
clock_UTC_quote,2026-03,SOL,0.4476839821850343,-0.10436219114550357,0.22428893636732172,0.9958207696251513,0.003200954032679103
clock_UTC_quote,2026-03,DOGE,0.4453121565857048,0.8870535383839112,-0.02351959656269048,0.9958207696251513,0.003200954032679103
clock_NY_quote,2026-01,BTC,0.4474619299224674,-0.27902754437596466,0.26833255552323393,0.9971558049820987,0.002030899007408928
clock_NY_quote,2026-01,ETH,0.4474987964113838,-0.2642715505000366,0.26425890363777377,0.9971558049820987,0.002030899007408928
clock_NY_quote,2026-01,XRP,0.4475352140225499,-0.2535298986209941,0.2629422686627898,0.9971558049820987,0.002030899007408928
