mode,definition,model,info,high_downside,high_account,n,raw_loss_bp,corrected_loss_bp,raw_below_rate,corrected_below_rate
available_macro,CAP,boosting,base,0,0,80,1.2629490821286022,1.3539444189104644,0.1375,0.1
available_macro,CAP,boosting,base,0,1,53,1.050143839106747,0.9141143895761251,0.18867924528301888,0.05660377358490566
available_macro,CAP,boosting,base,1,0,39,1.0779509971056018,1.077824300178771,0.15384615384615385,0.10256410256410256
available_macro,CAP,boosting,base,1,1,67,1.5613689391729852,1.3654310348227,0.1791044776119403,0.1044776119402985
available_macro,CAP,boosting,full,0,0,80,1.2362601416159893,1.3270122794846857,0.1375,0.1125
available_macro,CAP,boosting,full,0,1,53,1.1258719311730423,0.9371083075335316,0.22641509433962265,0.07547169811320754
available_macro,CAP,boosting,full,1,0,39,1.110923694196301,1.072842737414787,0.15384615384615385,0.10256410256410256
available_macro,CAP,boosting,full,1,1,67,1.5870900296725203,1.3671396482310731,0.208955223880597,0.1044776119402985
available_macro,CAP,boosting,history,0,0,80,1.3194441512783317,1.3182315072156352,0.175,0.1125
available_macro,CAP,boosting,history,0,1,53,1.1431192289151475,0.918977405188853,0.20754716981132076,0.05660377358490566
available_macro,CAP,boosting,history,1,0,39,1.4225866824353348,1.3347640406211967,0.1794871794871795,0.15384615384615385
available_macro,CAP,boosting,history,1,1,67,1.5983881193818925,1.376843398068163,0.1791044776119403,0.1044776119402985
available_macro,CAP,linear,base,0,0,80,1.4036596818529898,1.466269125656861,0.175,0.0875
available_macro,CAP,linear,base,0,1,53,1.0063953705876083,1.0437334835239036,0.1320754716981132,0.05660377358490566
available_macro,CAP,linear,base,1,0,39,1.4963748762080864,1.4050892204052248,0.1794871794871795,0.15384615384615385
available_macro,CAP,linear,base,1,1,67,1.478540519798718,1.3632824915472883,0.14925373134328357,0.1044776119402985
available_macro,CAP,linear,full,0,0,80,1.3932973696901978,1.5591585696994612,0.175,0.1
available_macro,CAP,linear,full,0,1,53,1.052278178714925,1.0501591597645294,0.1509433962264151,0.07547169811320754
available_macro,CAP,linear,full,1,0,39,1.5115318975042773,1.4503474169098332,0.15384615384615385,0.15384615384615385
available_macro,CAP,linear,full,1,1,67,1.5007328107724793,1.4806923359476916,0.14925373134328357,0.1044776119402985
available_macro,CAP,linear,history,0,0,80,1.374492173971996,1.4430196795352053,0.175,0.0875
available_macro,CAP,linear,history,0,1,53,1.044108386352523,1.0751217749365998,0.1509433962264151,0.05660377358490566
available_macro,CAP,linear,history,1,0,39,1.493385451618629,1.3855332689658502,0.15384615384615385,0.15384615384615385
available_macro,CAP,linear,history,1,1,67,1.397709438228496,1.328671430155766,0.13432835820895522,0.08955223880597014
available_macro,CAP,qrf,base,0,0,80,1.2465354069437224,1.3232462780676109,0.175,0.0875
available_macro,CAP,qrf,base,0,1,53,1.0573157428761715,0.9741340786621632,0.18867924528301888,0.11320754716981132
available_macro,CAP,qrf,base,1,0,39,1.2820052197569518,1.3011261483826135,0.1282051282051282,0.10256410256410256
available_macro,CAP,qrf,base,1,1,67,1.4700179534806497,1.4022954368640266,0.13432835820895522,0.1044776119402985
available_macro,CAP,qrf,full,0,0,80,1.2761787061531789,1.3457364693345206,0.1625,0.0875
available_macro,CAP,qrf,full,0,1,53,1.0686267741273865,0.9602210890854243,0.16981132075471697,0.09433962264150944
available_macro,CAP,qrf,full,1,0,39,1.2386380977325562,1.2793683020423234,0.1282051282051282,0.10256410256410256
available_macro,CAP,qrf,full,1,1,67,1.433027335628119,1.4143313124316563,0.13432835820895522,0.08955223880597014
