mode,definition,fold,info,model,window,form,params,validation_loss_bp,train_n,test_n
strict,CAP,2025-11,full,linear,all,change,"{""alpha"": 0.0}",1.0807005648615078,742,120
strict,CAP,2025-11,full,boosting,90,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.0411278839170002,455,120
strict,CAP,2025-11,full,qrf,all,change,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 20}",1.1432854484110968,742,120
strict,CAP,2025-11,history,linear,all,change,"{""alpha"": 0.01}",1.080874659515628,742,120
strict,CAP,2025-11,history,boosting,90,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.036370413548512,455,120
strict,CAP,2025-11,history,qrf,all,change,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 20}",1.1480937330406829,742,120
strict,CAP,2025-12,base,linear,90,change,"{""alpha"": 0.05}",1.9556103116656882,428,132
strict,CAP,2025-12,base,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.471082972536093,862,132
strict,CAP,2025-12,base,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.454260966553683,428,132
strict,CAP,2025-12,full,linear,90,change,"{""alpha"": 0.05}",1.9556103116656882,428,132
strict,CAP,2025-12,full,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.471082972536093,862,132
strict,CAP,2025-12,full,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.4562800427807412,428,132
strict,CAP,2025-12,history,linear,90,change,"{""alpha"": 0.05}",1.9556103116656882,428,132
strict,CAP,2025-12,history,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.471082972536093,862,132
strict,CAP,2025-12,history,qrf,90,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.458233716080381,428,132
strict,CAP,2026-01,base,linear,all,level,"{""alpha"": 0.0}",1.1354513788662437,994,126
strict,CAP,2026-01,base,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.1889126669166832,994,126
strict,CAP,2026-01,base,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.2232378697579818,994,126
strict,CAP,2026-01,full,linear,all,level,"{""alpha"": 0.01}",1.1487508369842754,994,126
strict,CAP,2026-01,full,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.1964920588670382,994,126
strict,CAP,2026-01,full,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.2169936987731098,994,126
