mode,definition,fold,h,n,days
strict,EQ,2025-12,1,132,22
strict,EQ,2025-12,6,22,22
strict,EQ,2025-12,12,72,17
strict,EQ,2026-01,1,126,21
strict,EQ,2026-01,6,21,21
strict,EQ,2026-01,12,74,16
strict,EQ,2026-02,1,120,20
strict,EQ,2026-02,6,20,20
strict,EQ,2026-02,12,68,16
strict,EQ,2026-03,1,89,14
strict,EQ,2026-03,6,22,14
strict,EQ,2026-03,12,55,11
strict,CAP,2025-12,1,132,22
strict,CAP,2025-12,6,22,22
strict,CAP,2025-12,12,72,17
strict,CAP,2026-01,1,126,21
strict,CAP,2026-01,6,21,21
strict,CAP,2026-01,12,74,16
strict,CAP,2026-02,1,120,20
strict,CAP,2026-02,6,20,20
strict,CAP,2026-02,12,68,16
strict,CAP,2026-03,1,89,14
strict,CAP,2026-03,6,22,14
strict,CAP,2026-03,12,55,11
strict,PCA,2025-12,1,132,22
strict,PCA,2025-12,6,22,22
strict,PCA,2025-12,12,72,17
strict,PCA,2026-01,1,126,21
strict,PCA,2026-01,6,21,21
strict,PCA,2026-01,12,74,16
strict,PCA,2026-02,1,120,20
strict,PCA,2026-02,6,20,20
strict,PCA,2026-02,12,68,16
strict,PCA,2026-03,1,89,14
strict,PCA,2026-03,6,22,14
strict,PCA,2026-03,12,55,11
available_macro,EQ,2025-12,1,313,23
available_macro,EQ,2025-12,6,200,23
available_macro,EQ,2025-12,12,139,23
available_macro,EQ,2026-01,1,294,21
available_macro,EQ,2026-01,6,189,21
available_macro,EQ,2026-01,12,137,21
available_macro,EQ,2026-02,1,280,20
available_macro,EQ,2026-02,6,180,20
available_macro,EQ,2026-02,12,128,20
available_macro,EQ,2026-03,1,201,14
available_macro,EQ,2026-03,6,134,14
available_macro,EQ,2026-03,12,105,14
available_macro,CAP,2025-12,1,313,23
available_macro,CAP,2025-12,6,200,23
available_macro,CAP,2025-12,12,139,23
available_macro,CAP,2026-01,1,294,21
available_macro,CAP,2026-01,6,189,21
available_macro,CAP,2026-01,12,137,21
available_macro,CAP,2026-02,1,280,20
available_macro,CAP,2026-02,6,180,20
available_macro,CAP,2026-02,12,128,20
available_macro,CAP,2026-03,1,201,14
available_macro,CAP,2026-03,6,134,14
available_macro,CAP,2026-03,12,105,14
available_macro,PCA,2025-12,1,313,23
available_macro,PCA,2025-12,6,200,23
available_macro,PCA,2025-12,12,139,23
available_macro,PCA,2026-01,1,294,21
available_macro,PCA,2026-01,6,189,21
available_macro,PCA,2026-01,12,137,21
available_macro,PCA,2026-02,1,280,20
available_macro,PCA,2026-02,6,180,20
available_macro,PCA,2026-02,12,128,20
available_macro,PCA,2026-03,1,201,14
available_macro,PCA,2026-03,6,134,14
available_macro,PCA,2026-03,12,105,14
