mode,definition,model,info,high_downside,high_account,calibration,n,days,mean_start_bp,realized_q10_bp,mean_predicted_q10_bp,loss_bp,below_rate
available_macro,CAP,boosting,base,0,0,raw,343,35,-1.439028248931498,-10.58769712868092,-8.454722769100174,1.2328494718939422,0.1457725947521866
available_macro,CAP,boosting,base,0,0,calibrated,343,35,-1.439028248931498,-10.58769712868092,-11.440625772652337,1.2813464921028814,0.09329446064139942
available_macro,CAP,boosting,base,0,1,raw,233,27,-1.4313950727366498,-10.317445956144367,-7.409701535623147,1.2824950154523813,0.19742489270386265
available_macro,CAP,boosting,base,0,1,calibrated,233,27,-1.4313950727366498,-10.317445956144367,-10.13574817636545,1.1529025205977677,0.09871244635193133
available_macro,CAP,boosting,base,1,0,raw,215,28,-2.096873682135008,-11.53193277987357,-9.376755879653471,1.1800527649693315,0.16744186046511628
available_macro,CAP,boosting,base,1,0,calibrated,215,28,-2.096873682135008,-11.53193277987357,-11.278993265587628,1.1887799120991096,0.09767441860465116
available_macro,CAP,boosting,base,1,1,raw,297,34,-1.3751872788820731,-10.627779490055639,-8.318478010519675,1.285476281633936,0.16498316498316498
available_macro,CAP,boosting,base,1,1,calibrated,297,34,-1.3751872788820731,-10.627779490055639,-11.614439891946981,1.250806724165104,0.09427609427609428
available_macro,CAP,boosting,full,0,0,raw,343,35,-1.439028248931498,-10.58769712868092,-8.379497935448788,1.247006683020518,0.14868804664723032
available_macro,CAP,boosting,full,0,0,calibrated,343,35,-1.439028248931498,-10.58769712868092,-11.449559912140113,1.2842536087088483,0.10204081632653061
available_macro,CAP,boosting,full,0,1,raw,233,27,-1.4313950727366498,-10.317445956144367,-7.148062023569561,1.3235715563623973,0.21888412017167383
available_macro,CAP,boosting,full,0,1,calibrated,233,27,-1.4313950727366498,-10.317445956144367,-10.008118336054984,1.157031822416525,0.10300429184549356
available_macro,CAP,boosting,full,1,0,raw,215,28,-2.096873682135008,-11.53193277987357,-9.32216359932182,1.1702323390896652,0.16744186046511628
available_macro,CAP,boosting,full,1,0,calibrated,215,28,-2.096873682135008,-11.53193277987357,-11.214742966204785,1.1735482669255433,0.09767441860465116
available_macro,CAP,boosting,full,1,1,raw,297,34,-1.3751872788820731,-10.627779490055639,-8.20085202439517,1.3029122817055532,0.18181818181818182
available_macro,CAP,boosting,full,1,1,calibrated,297,34,-1.3751872788820731,-10.627779490055639,-11.583007299734676,1.2510541998690146,0.10437710437710437
available_macro,CAP,boosting,history,0,0,raw,343,35,-1.439028248931498,-10.58769712868092,-7.769656457581963,1.279141539481508,0.1749271137026239
available_macro,CAP,boosting,history,0,0,calibrated,343,35,-1.439028248931498,-10.58769712868092,-11.200164381987998,1.2755203979450809,0.09912536443148688
available_macro,CAP,boosting,history,0,1,raw,233,27,-1.4313950727366498,-10.317445956144367,-7.0466354759175465,1.348772840672993,0.21030042918454936
available_macro,CAP,boosting,history,0,1,calibrated,233,27,-1.4313950727366498,-10.317445956144367,-10.01193388216858,1.141054375626747,0.10300429184549356
available_macro,CAP,boosting,history,1,0,raw,215,28,-2.096873682135008,-11.53193277987357,-8.9781309511271,1.288688594663986,0.17674418604651163
