mode,definition,model,info,calibration,fold,n,loss_bp,below_rate
available_macro,CAP,boosting,base,raw,2025-12,313,1.1615163248745464,0.14057507987220447
available_macro,CAP,boosting,base,raw,2026-01,294,1.319997615244683,0.23469387755102042
available_macro,CAP,boosting,base,raw,2026-02,280,1.2807341044755054,0.14285714285714285
available_macro,CAP,boosting,base,raw,2026-03,201,1.2285922873278652,0.13930348258706468
available_macro,CAP,boosting,base,calibrated,2025-12,313,1.2530820880421933,0.09584664536741214
available_macro,CAP,boosting,base,calibrated,2026-01,294,1.1157331681856688,0.11224489795918367
available_macro,CAP,boosting,base,calibrated,2026-02,280,1.2974878153174731,0.08928571428571429
available_macro,CAP,boosting,base,calibrated,2026-03,201,1.252082482468792,0.07960199004975124
available_macro,CAP,boosting,full,raw,2025-12,313,1.1615163248745464,0.14057507987220447
available_macro,CAP,boosting,full,raw,2026-01,294,1.3810133998753122,0.2755102040816326
available_macro,CAP,boosting,full,raw,2026-02,280,1.280515619182506,0.14285714285714285
available_macro,CAP,boosting,full,raw,2026-03,201,1.2266837953190404,0.13432835820895522
available_macro,CAP,boosting,full,calibrated,2025-12,313,1.2572190440361977,0.09584664536741214
available_macro,CAP,boosting,full,calibrated,2026-01,294,1.1057647532796222,0.12585034013605442
available_macro,CAP,boosting,full,calibrated,2026-02,280,1.3065024223373118,0.09642857142857143
available_macro,CAP,boosting,full,calibrated,2026-03,201,1.2414840828770568,0.0845771144278607
available_macro,CAP,boosting,history,raw,2025-12,313,1.1585813659191755,0.14057507987220447
available_macro,CAP,boosting,history,raw,2026-01,294,1.395693703043928,0.25510204081632654
available_macro,CAP,boosting,history,raw,2026-02,280,1.277535292669932,0.14285714285714285
available_macro,CAP,boosting,history,raw,2026-03,201,1.401423977616019,0.20398009950248755
available_macro,CAP,boosting,history,calibrated,2025-12,313,1.2488805217239447,0.0926517571884984
available_macro,CAP,boosting,history,calibrated,2026-01,294,1.078621034965674,0.11224489795918367
available_macro,CAP,boosting,history,calibrated,2026-02,280,1.3059391546596082,0.09285714285714286
available_macro,CAP,boosting,history,calibrated,2026-03,201,1.3041272796911798,0.1044776119402985
available_macro,CAP,linear,base,raw,2025-12,313,1.269952716885192,0.12779552715654952
available_macro,CAP,linear,base,raw,2026-01,294,1.2020126155339668,0.16666666666666666
available_macro,CAP,linear,base,raw,2026-02,280,1.2447246866391717,0.125
available_macro,CAP,linear,base,raw,2026-03,201,1.454771161687817,0.208955223880597
available_macro,CAP,linear,base,calibrated,2025-12,313,1.4592193564467733,0.08306709265175719
available_macro,CAP,linear,base,calibrated,2026-01,294,1.1683549180527066,0.09523809523809523
available_macro,CAP,linear,base,calibrated,2026-02,280,1.2457622569115407,0.09642857142857143
available_macro,CAP,linear,base,calibrated,2026-03,201,1.3000359328955575,0.1044776119402985
available_macro,CAP,linear,full,raw,2025-12,313,1.269952716885192,0.12779552715654952
available_macro,CAP,linear,full,raw,2026-01,294,1.2351193913587155,0.1836734693877551
available_macro,CAP,linear,full,raw,2026-02,280,1.2373533737912144,0.12857142857142856
available_macro,CAP,linear,full,raw,2026-03,201,1.454771161687817,0.208955223880597
available_macro,CAP,linear,full,calibrated,2025-12,313,1.6700861549312487,0.08306709265175719
available_macro,CAP,linear,full,calibrated,2026-01,294,1.160876987423477,0.10204081632653061
available_macro,CAP,linear,full,calibrated,2026-02,280,1.2559263814394943,0.09285714285714286
available_macro,CAP,linear,full,calibrated,2026-03,201,1.2992959323821995,0.09950248756218906
available_macro,CAP,linear,history,raw,2025-12,313,1.269952716885192,0.12779552715654952
available_macro,CAP,linear,history,raw,2026-01,294,1.2010376670333498,0.1836734693877551
available_macro,CAP,linear,history,raw,2026-02,280,1.2482266758693608,0.125
available_macro,CAP,linear,history,raw,2026-03,201,1.454771161687817,0.208955223880597
available_macro,CAP,linear,history,calibrated,2025-12,313,1.4592193564467733,0.08306709265175719
available_macro,CAP,linear,history,calibrated,2026-01,294,1.160660334556328,0.10204081632653061
available_macro,CAP,linear,history,calibrated,2026-02,280,1.2663117211254555,0.1
available_macro,CAP,linear,history,calibrated,2026-03,201,1.2970497245094552,0.1044776119402985
available_macro,CAP,qrf,base,raw,2025-12,313,1.2049179032882549,0.16293929712460065
available_macro,CAP,qrf,base,raw,2026-01,294,1.2803493112706323,0.1870748299319728
available_macro,CAP,qrf,base,raw,2026-02,280,1.270116550472723,0.10357142857142858
available_macro,CAP,qrf,base,raw,2026-03,201,1.314454988544777,0.21890547263681592
available_macro,CAP,qrf,base,calibrated,2025-12,313,1.2566866516376258,0.08626198083067092
available_macro,CAP,qrf,base,calibrated,2026-01,294,1.1924149966251008,0.11564625850340136
available_macro,CAP,qrf,base,calibrated,2026-02,280,1.3158107852048113,0.08571428571428572
available_macro,CAP,qrf,base,calibrated,2026-03,201,1.278308301316427,0.1044776119402985
available_macro,CAP,qrf,full,raw,2025-12,313,1.1320391975781372,0.14696485623003194
available_macro,CAP,qrf,full,raw,2026-01,294,1.2821800186258125,0.17346938775510204
available_macro,CAP,qrf,full,raw,2026-02,280,1.273255577095424,0.10357142857142858
available_macro,CAP,qrf,full,raw,2026-03,201,1.2742252193836456,0.1691542288557214
available_macro,CAP,qrf,full,calibrated,2025-12,313,1.2107612392356926,0.08626198083067092
available_macro,CAP,qrf,full,calibrated,2026-01,294,1.1845566066157316,0.11224489795918367
available_macro,CAP,qrf,full,calibrated,2026-02,280,1.3247221886585756,0.08928571428571429
available_macro,CAP,qrf,full,calibrated,2026-03,201,1.2837260968671436,0.08955223880597014
available_macro,CAP,qrf,history,raw,2025-12,313,1.1134882421183354,0.14376996805111822
available_macro,CAP,qrf,history,raw,2026-01,294,1.2881469100094773,0.1836734693877551
available_macro,CAP,qrf,history,raw,2026-02,280,1.2589795946394606,0.10357142857142858
available_macro,CAP,qrf,history,raw,2026-03,201,1.3353326402558234,0.21393034825870647
available_macro,CAP,qrf,history,calibrated,2025-12,313,1.2038137624728675,0.0926517571884984
available_macro,CAP,qrf,history,calibrated,2026-01,294,1.1907089300886209,0.11224489795918367
available_macro,CAP,qrf,history,calibrated,2026-02,280,1.3077506045425806,0.08928571428571429
available_macro,CAP,qrf,history,calibrated,2026-03,201,1.2979630476928843,0.0845771144278607
available_macro,EQ,boosting,base,raw,2025-12,313,1.7635985361660593,0.16293929712460065
available_macro,EQ,boosting,base,raw,2026-01,294,1.5840342615372742,0.20748299319727892
available_macro,EQ,boosting,base,raw,2026-02,280,2.03564027730804,0.18214285714285713
available_macro,EQ,boosting,base,raw,2026-03,201,1.9473846390906333,0.1791044776119403
available_macro,EQ,boosting,base,calibrated,2025-12,313,1.7462790496237446,0.0926517571884984
available_macro,EQ,boosting,base,calibrated,2026-01,294,1.452564803751659,0.11224489795918367
available_macro,EQ,boosting,base,calibrated,2026-02,280,1.965041492773731,0.1
available_macro,EQ,boosting,base,calibrated,2026-03,201,1.928006803270175,0.07960199004975124
available_macro,EQ,boosting,full,raw,2025-12,313,1.7605625459226015,0.16293929712460065
available_macro,EQ,boosting,full,raw,2026-01,294,1.5666491804072324,0.20748299319727892
available_macro,EQ,boosting,full,raw,2026-02,280,2.03564027730804,0.18214285714285713
available_macro,EQ,boosting,full,raw,2026-03,201,1.9857133906374844,0.14427860696517414
available_macro,EQ,boosting,full,calibrated,2025-12,313,1.7444936226205372,0.09584664536741214
available_macro,EQ,boosting,full,calibrated,2026-01,294,1.4432101010793332,0.10204081632653061
available_macro,EQ,boosting,full,calibrated,2026-02,280,1.964101914235759,0.1
available_macro,EQ,boosting,full,calibrated,2026-03,201,2.0637919738603507,0.08955223880597014
available_macro,EQ,boosting,history,raw,2025-12,313,1.7719284639027133,0.16613418530351437
available_macro,EQ,boosting,history,raw,2026-01,294,1.5741117824312987,0.20748299319727892
available_macro,EQ,boosting,history,raw,2026-02,280,2.028428848842857,0.18928571428571428
available_macro,EQ,boosting,history,raw,2026-03,201,2.034250627709166,0.14427860696517414
available_macro,EQ,boosting,history,calibrated,2025-12,313,1.757902359600743,0.09584664536741214
available_macro,EQ,boosting,history,calibrated,2026-01,294,1.4445643034618216,0.11564625850340136
available_macro,EQ,boosting,history,calibrated,2026-02,280,1.9812581779138896,0.09642857142857143
available_macro,EQ,boosting,history,calibrated,2026-03,201,2.0967521854282603,0.0945273631840796
available_macro,EQ,linear,base,raw,2025-12,313,1.931228893070991,0.15335463258785942
available_macro,EQ,linear,base,raw,2026-01,294,1.6214477935344511,0.11564625850340136
available_macro,EQ,linear,base,raw,2026-02,280,1.9442034457511868,0.15714285714285714
available_macro,EQ,linear,base,raw,2026-03,201,1.8543124899333747,0.13930348258706468
available_macro,EQ,linear,base,calibrated,2025-12,313,1.8802664385075665,0.0926517571884984
available_macro,EQ,linear,base,calibrated,2026-01,294,1.630054195818687,0.0782312925170068
available_macro,EQ,linear,base,calibrated,2026-02,280,1.8990633868232647,0.10357142857142858
available_macro,EQ,linear,base,calibrated,2026-03,201,1.8493275191655643,0.0945273631840796
available_macro,EQ,linear,full,raw,2025-12,313,1.931228893070991,0.15335463258785942
available_macro,EQ,linear,full,raw,2026-01,294,1.6214477935344511,0.11564625850340136
available_macro,EQ,linear,full,raw,2026-02,280,2.0292499520845246,0.175
available_macro,EQ,linear,full,raw,2026-03,201,1.8469439066907167,0.13432835820895522
available_macro,EQ,linear,full,calibrated,2025-12,313,1.8802664385075665,0.0926517571884984
available_macro,EQ,linear,full,calibrated,2026-01,294,1.630054195818687,0.0782312925170068
available_macro,EQ,linear,full,calibrated,2026-02,280,1.9688773920914913,0.11071428571428571
available_macro,EQ,linear,full,calibrated,2026-03,201,1.8594312982100092,0.08955223880597014
available_macro,EQ,linear,history,raw,2025-12,313,1.931228893070991,0.15335463258785942
available_macro,EQ,linear,history,raw,2026-01,294,1.6214477935344511,0.11564625850340136
available_macro,EQ,linear,history,raw,2026-02,280,1.9501667421705926,0.17142857142857143
available_macro,EQ,linear,history,raw,2026-03,201,1.871039700432032,0.13432835820895522
available_macro,EQ,linear,history,calibrated,2025-12,313,1.8802664385075665,0.0926517571884984
available_macro,EQ,linear,history,calibrated,2026-01,294,1.630054195818687,0.0782312925170068
available_macro,EQ,linear,history,calibrated,2026-02,280,1.8903001013753247,0.11428571428571428
available_macro,EQ,linear,history,calibrated,2026-03,201,1.9235518672260148,0.0845771144278607
available_macro,EQ,qrf,base,raw,2025-12,313,1.6498539706222126,0.16613418530351437
