mode,fold,train_n,recent90_n,test_n,train_q10,recent90_q10,test_q10,frozen_definition_test_q10,train_mean,test_mean,train_delta_q10,test_delta_q10
strict,2025-12,862,428,132,-8.446813475326747,-8.66576619400415,-14.019453759462046,-14.019453759462046,0.018627679055084025,-2.6565272475029613,-10.51190673679116,-15.878114384142311
strict,2026-01,994,399,126,-8.955356491052353,-10.434025138776905,-12.136522013468287,-12.341399961554885,0.06862603501830156,-4.020653489782592,-10.973631230570474,-10.96077031725051
strict,2026-02,1120,378,120,-9.138182133668106,-11.945361823106628,-15.077651613153394,-15.91381583546068,-0.06952399367653328,-1.0766964291183092,-10.9314603143214,-19.461395816203574
strict,2026-03,1240,378,89,-9.767802365065783,-13.433347203005061,-19.09280222597377,-19.08176658690421,-0.1501921119640099,-3.4310153481415306,-11.762291140083594,-16.36397262569163
available_macro,2025-12,1862,940,313,-8.221740166940812,-8.208751428691537,-15.191674046561175,-15.191674046561175,0.18099423564079137,-2.6177896933657836,-10.123345673352796,-14.075456221292045
available_macro,2026-01,2175,908,294,-8.680286405378794,-10.099940549170233,-12.798443188675567,-12.717020661955537,0.18610354007076083,-3.121867517132898,-10.505969075162742,-12.073733350736157
available_macro,2026-02,2469,887,280,-9.06109623836817,-12.083945915518363,-14.584341404736302,-15.468740692534897,0.11830199988105441,-0.2739883287304078,-10.689765624846137,-18.404960241277784
available_macro,2026-03,2749,887,201,-9.643085893899185,-13.447204180465823,-17.49671874728878,-17.7178550200849,0.09330587492801236,-3.496047473832066,-11.391494086322052,-15.307720704810635
