definition,model,info,calibration,cohort,n,loss_bp,below_rate
CAP,boosting,base,raw,2026-01_to_2026-03,335,1.450228554914725,0.20597014925373133
CAP,boosting,base,calibrated,2026-01_to_2026-03,335,1.321100970026116,0.09850746268656717
CAP,boosting,full,raw,2026-01_to_2026-03,335,1.466421615016926,0.21791044776119403
CAP,boosting,full,calibrated,2026-01_to_2026-03,335,1.3165401597558595,0.08955223880597014
CAP,linear,base,raw,2026-01_to_2026-03,335,1.3172525543469762,0.16417910447761194
CAP,linear,base,calibrated,2026-01_to_2026-03,335,1.2502139311621114,0.10746268656716418
CAP,linear,full,raw,2026-01_to_2026-03,335,1.313045641352502,0.16716417910447762
CAP,linear,full,calibrated,2026-01_to_2026-03,335,1.2435845532598424,0.1044776119402985
EQ,boosting,base,raw,2026-01_to_2026-03,335,2.125149431314136,0.2417910447761194
EQ,boosting,base,calibrated,2026-01_to_2026-03,335,1.7828877419330296,0.08955223880597014
EQ,boosting,full,raw,2026-01_to_2026-03,335,2.1205700979997335,0.23880597014925373
EQ,boosting,full,calibrated,2026-01_to_2026-03,335,1.8598092650293472,0.09850746268656717
EQ,linear,base,raw,2026-01_to_2026-03,335,1.8494686949748165,0.20597014925373133
EQ,linear,base,calibrated,2026-01_to_2026-03,335,1.6454483679409577,0.09253731343283582
EQ,linear,full,raw,2026-01_to_2026-03,335,1.8594913029082563,0.2
EQ,linear,full,calibrated,2026-01_to_2026-03,335,1.6341799868795364,0.08955223880597014
PCA,boosting,base,raw,2026-01_to_2026-03,335,2.1468627130639395,0.25970149253731345
PCA,boosting,base,calibrated,2026-01_to_2026-03,335,1.8097288216335339,0.08656716417910448
PCA,boosting,full,raw,2026-01_to_2026-03,335,2.0545257719690917,0.23582089552238805
PCA,boosting,full,calibrated,2026-01_to_2026-03,335,1.7965435545388424,0.08656716417910448
PCA,linear,base,raw,2026-01_to_2026-03,335,1.8260470639885924,0.20298507462686566
PCA,linear,base,calibrated,2026-01_to_2026-03,335,1.626677159863623,0.09253731343283582
PCA,linear,full,raw,2026-01_to_2026-03,335,1.8403003777493967,0.20298507462686566
PCA,linear,full,calibrated,2026-01_to_2026-03,335,1.615044527932434,0.08656716417910448
