mode,definition,h,high_downside,account_increasing24,n,mean_start_bp,future_q10_bp,mean_delta_bp,median_delta_bp
available_macro,CAP,1,0,0,83,-1.8692758969526666,-9.012212235895099,0.7412096549500324,0.3747506388461756
available_macro,CAP,1,0,1,50,-3.3361373939734205,-10.521176108892373,-0.02390041211112477,0.11407604978893945
available_macro,CAP,1,1,0,30,-4.806807812158721,-13.988529712305278,-0.04533827212619954,-0.32159159919090635
available_macro,CAP,1,1,1,76,-1.6668416924328735,-11.617798883058995,0.2511504567141981,1.8996482185854517
available_macro,CAP,6,0,0,83,-1.8692758969526666,-10.158334896831244,0.7561466716718569,1.3225633559936156
available_macro,CAP,6,0,1,50,-3.3361373939734205,-7.509992559012847,2.3873220297723243,1.945439932023572
available_macro,CAP,6,1,0,30,-4.806807812158721,-10.353509691237464,2.8516092743194,2.4979585761400513
available_macro,CAP,6,1,1,76,-1.6668416924328735,-9.494945681923644,0.9342440247329712,-0.35317312795351014
available_macro,CAP,12,0,0,83,-1.8692758969526666,-11.311893957337597,0.0037373790505553397,-0.6074431804642746
available_macro,CAP,12,0,1,50,-3.3361373939734205,-11.460784584861898,0.9735931237305632,1.086663120405011
available_macro,CAP,12,1,0,30,-4.806807812158721,-11.057859258488232,1.963721584770476,1.9814141826027538
available_macro,CAP,12,1,1,76,-1.6668416924328735,-9.494054569513915,1.5546003283120506,2.0470257001263468
available_macro,EQ,1,0,0,83,-2.473263115812273,-10.701223711790526,1.0048117920242985,1.8045538643978356
available_macro,EQ,1,0,1,50,-2.9957859739662918,-11.677166557858753,1.0483394189305093,1.6961253158139087
available_macro,EQ,1,1,0,30,-4.099666987603041,-19.499004828058503,-3.0637732686805608,-1.904883514207219
available_macro,EQ,1,1,1,76,-3.6923511433811247,-18.36668852844764,0.27099248404314125,1.132908956964357
available_macro,EQ,6,0,0,83,-2.473263115812273,-11.906980559043244,2.148450901372456,1.6048635223761627
available_macro,EQ,6,0,1,50,-2.9957859739662918,-10.747239565943392,1.8776209092970433,3.295643397174056
available_macro,EQ,6,1,0,30,-4.099666987603041,-13.332675946153993,4.777076812496543,2.520233059952274
available_macro,EQ,6,1,1,76,-3.6923511433811247,-14.833036295205044,0.8346418081931046,0.9227732020265118
available_macro,EQ,12,0,0,83,-2.473263115812273,-13.0725334071286,0.995924411355302,1.233146618017171
available_macro,EQ,12,0,1,50,-2.9957859739662918,-13.196654693437168,-0.9111760642764386,-1.4347909718561231
available_macro,EQ,12,1,0,30,-4.099666987603041,-14.598509886298512,1.0185552559309248,-1.4356486123980061
available_macro,EQ,12,1,1,76,-3.6923511433811247,-15.669540347508857,0.2596238506148612,2.1005128402960906
available_macro,PCA,1,0,0,83,-2.446328763183068,-10.649458682439324,0.9961585955798963,1.8734615756542228
available_macro,PCA,1,0,1,50,-2.989795651662149,-11.588908405652473,1.0285274161568143,1.739494112914506
available_macro,PCA,1,1,0,30,-4.102629784646112,-19.35780977540716,-3.0242467034089833,-1.8898230978100263
available_macro,PCA,1,1,1,76,-3.676206273939987,-18.238070264523977,0.2604654175328355,1.081329963886315
available_macro,PCA,6,0,0,83,-2.446328763183068,-11.804135017838508,2.120434351970193,1.576050083902974
available_macro,PCA,6,0,1,50,-2.989795651662149,-10.592787961092991,1.8686497627743632,3.278913835342939
available_macro,PCA,6,1,0,30,-4.102629784646112,-13.263040665574795,4.739377356234891,2.382664962721581
available_macro,PCA,6,1,1,76,-3.676206273939987,-14.715718906766867,0.828895748732598,0.905420620612403
available_macro,PCA,12,0,0,83,-2.446328763183068,-12.870743273074078,0.9705346717571431,1.2255389907456014
available_macro,PCA,12,0,1,50,-2.989795651662149,-13.099418191387587,-0.8925735614733784,-1.3784139658213164
available_macro,PCA,12,1,0,30,-4.102629784646112,-14.539383762158968,1.0308324059230776,-1.3640402595383851
available_macro,PCA,12,1,1,76,-3.676206273939987,-15.61659562570722,0.26968971264607555,2.0444137497836907
