mode,definition,model,info,calibration,comparison,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
available_macro,CAP,boosting,full,raw,vs_original_linear_full,467,0.053822259137552765,-0.03945179394299912,0.1401541323503067,-4.240130506000073,-11.267592552554463,2.9807913915681143,0.257,1,4
available_macro,CAP,boosting,full,calibrated,vs_original_linear_full,467,0.003979120031101673,-0.1119428011630345,0.10993221984069615,-0.3134760320593344,-8.974983976071544,8.362077508753195,0.9435,2,4
available_macro,CAP,linear,full,raw,vs_original_linear_full,467,0.046601845796792864,-0.012165647703943362,0.11184671295027063,-3.671304608264303,-8.476723835798456,1.0102695608076162,0.134,1,4
available_macro,CAP,linear,full,calibrated,vs_original_linear_full,467,0.10157347616543234,-0.055747760475964185,0.3034061629747089,-8.001982855993228,-24.090984857072602,4.252843447372569,0.3075,2,4
available_macro,CAP,qrf,full,raw,vs_original_linear_full,467,0.003737301834632024,-0.06495168483227763,0.08032221079639879,-0.294425536443077,-6.406819163074042,5.045395870936675,0.9215,1,4
available_macro,CAP,qrf,full,calibrated,vs_original_linear_full,467,0.0023966183853078938,-0.09447783125303758,0.10143890037680534,-0.18880617219751983,-8.34401289107759,7.242486579309117,0.96,1,4
available_macro,EQ,boosting,full,raw,vs_original_linear_full,467,-0.07260082601359537,-0.408766755053357,0.15869696290075058,3.602854734197347,-9.202998866929716,15.784270244111505,0.6465,2,4
available_macro,EQ,boosting,full,calibrated,vs_original_linear_full,467,-0.1989754204937408,-0.6296278374293708,0.09645702194415204,9.874261424801634,-5.8153497538005245,24.220825093158307,0.341,2,4
available_macro,EQ,linear,full,raw,vs_original_linear_full,467,-0.030906275138472845,-0.3038470828454855,0.16704691552314657,1.5337403968131325,-9.935983372754894,11.855578888063624,0.7885,2,4
available_macro,EQ,linear,full,calibrated,vs_original_linear_full,467,-0.19361224201217944,-0.6265464722805598,0.10835978775204436,9.608110830605632,-6.581599846249557,23.943275990487653,0.373,3,4
available_macro,EQ,qrf,full,raw,vs_original_linear_full,467,-0.22680854676452272,-0.536830906786969,-0.016168060657945574,11.25549516907639,0.8915442384066135,20.786665135427548,0.08,3,4
available_macro,EQ,qrf,full,calibrated,vs_original_linear_full,467,-0.346123821182773,-0.7752437808465824,-0.05668674888870516,17.176579334418353,3.4809073030175988,29.74218205288264,0.06,4,4
available_macro,PCA,boosting,full,raw,vs_original_linear_full,467,-0.07534697035658874,-0.4072481969050676,0.15506166412321595,3.7738064616531286,-9.270275918150318,15.938085179991257,0.639,2,4
available_macro,PCA,boosting,full,calibrated,vs_original_linear_full,467,-0.19707561574199167,-0.6302260837798429,0.09903936639925162,9.870672020409433,-5.943794837037789,24.16272975358936,0.346,3,4
available_macro,PCA,linear,full,raw,vs_original_linear_full,467,-0.03155851718951391,-0.2962295408732279,0.16473353286937187,1.580630721133769,-9.852739849238482,11.716435086336693,0.778,2,4
available_macro,PCA,linear,full,calibrated,vs_original_linear_full,467,-0.19631323363886466,-0.620276165986431,0.10904816246227016,9.832487571938387,-6.5788518263565345,24.191797717236692,0.3545,3,4
available_macro,PCA,qrf,full,raw,vs_original_linear_full,467,-0.22550572079682404,-0.5269646175316376,-0.02090338636418127,11.294614000473668,1.2132766304425173,20.648707176020253,0.0745,3,4
available_macro,PCA,qrf,full,calibrated,vs_original_linear_full,467,-0.34649296799444923,-0.7717940977611172,-0.062072264490810915,17.354346105045227,3.820263265665889,29.76488869602681,0.0575,3,4
strict,CAP,boosting,full,raw,vs_original_linear_full,467,0.06768397316974575,-0.01214884828370514,0.15296417815078192,-5.332159667822123,-12.025294195523173,0.9400092577869105,0.094,1,4
strict,CAP,boosting,full,calibrated,vs_original_linear_full,467,0.04160206075087015,-0.05196851920415413,0.12506916062384932,-3.277420341116022,-10.324325146234553,3.814987610575923,0.342,1,4
strict,CAP,linear,full,raw,vs_original_linear_full,467,0.04225443370653842,-0.011492079154459194,0.10227215513511466,-3.328814439300354,-7.950578120013855,0.942439165579408,0.1535,1,4
strict,CAP,linear,full,calibrated,vs_original_linear_full,467,0.23428762614636872,0.005903336131540685,0.4665431066027081,-18.45723547691889,-37.72362732136553,-0.4310577948668591,0.0465,2,4
strict,CAP,qrf,full,raw,vs_original_linear_full,467,0.02212221573464148,-0.04542196633247501,0.09803322166143705,-1.7427934705795733,-7.696304252413683,3.500642115467457,0.563,1,4
strict,CAP,qrf,full,calibrated,vs_original_linear_full,467,-0.01916772217099188,-0.11065606598946005,0.0587936545523286,1.5100377577991986,-4.943465709826827,8.158619325277359,0.645,2,4
strict,EQ,boosting,full,raw,vs_original_linear_full,467,-0.07209525322191443,-0.4091476552099785,0.16113801022989344,3.577765414612366,-9.200255787963759,16.03444577717756,0.6345,2,4
strict,EQ,boosting,full,calibrated,vs_original_linear_full,467,-0.20691624459810495,-0.598023500010561,0.07269864367147603,10.268329058584168,-4.53117854581792,22.891638773209323,0.2485,3,4
strict,EQ,linear,full,raw,vs_original_linear_full,467,-0.060066292997657804,-0.2958019180359003,0.11352815437251619,2.9808218442551992,-6.5710616074427834,11.523707601354225,0.596,2,4
strict,EQ,linear,full,calibrated,vs_original_linear_full,467,-0.12327361198915505,-0.5681026093516102,0.20031531156668814,6.117518779656351,-12.257214797062478,21.841962513119753,0.567,3,4
strict,EQ,qrf,full,raw,vs_original_linear_full,467,-0.22470461080784115,-0.5280566731781087,-0.007850678551684668,11.151086224465223,0.4354578802684532,20.689195023544237,0.088,3,4
strict,EQ,qrf,full,calibrated,vs_original_linear_full,467,-0.23514310805265948,-0.6253256557753448,0.060376556574333724,11.669102220720639,-3.6286752615135156,23.899979057817852,0.183,4,4
strict,PCA,boosting,full,raw,vs_original_linear_full,467,-0.09612811702999878,-0.4280097672085765,0.13651760536109406,4.814644934992218,-7.715142508767953,16.952615340661016,0.5755,2,4
strict,PCA,boosting,full,calibrated,vs_original_linear_full,467,-0.1997121639809213,-0.585377363916364,0.07445746938034138,10.002725409330605,-4.631982990894019,22.52973597482944,0.2635,4,4
strict,PCA,linear,full,raw,vs_original_linear_full,467,-0.05963525287744853,-0.29021153208092015,0.11033814100515506,2.986873945775781,-6.460214103567733,11.457604698722205,0.5905,2,4
strict,PCA,linear,full,calibrated,vs_original_linear_full,467,-0.12283420289980111,-0.5600349848018681,0.19694990707124882,6.152238191150383,-12.331110203326872,21.697953143709853,0.567,3,4
strict,PCA,qrf,full,raw,vs_original_linear_full,467,-0.20287521078976348,-0.504260847827422,0.012627403026084933,10.161148852625379,-0.7532155799412679,19.88581390263365,0.1255,3,4
strict,PCA,qrf,full,calibrated,vs_original_linear_full,467,-0.22203976620189675,-0.6053239081810793,0.07074523824891536,11.121019205829219,-4.318284857573065,23.413249141373917,0.2025,4,4
