mode,definition,fold,downside_p75,account_log_p75,train_n
strict,EQ,2025-12,1059.2328420035983,0.5459830417398606,862
strict,EQ,2026-01,1163.7254383176337,0.6445438274228048,994
strict,EQ,2026-02,1152.5532116334507,0.7030483390664176,1120
strict,EQ,2026-03,1435.9321809924124,0.7271456751551503,1240
strict,CAP,2025-12,1059.2328420035983,0.5459830417398606,862
strict,CAP,2026-01,1163.7254383176337,0.6445438274228048,994
strict,CAP,2026-02,1152.5532116334507,0.7030483390664176,1120
strict,CAP,2026-03,1435.9321809924124,0.7271456751551503,1240
strict,PCA,2025-12,1059.2328420035983,0.5459830417398606,862
strict,PCA,2026-01,1163.7254383176337,0.6445438274228048,994
strict,PCA,2026-02,1152.5532116334507,0.7030483390664176,1120
strict,PCA,2026-03,1435.9321809924124,0.7271456751551503,1240
available_macro,EQ,2025-12,1059.877919799546,0.5773348991242773,1862
available_macro,EQ,2026-01,1146.4359208621945,0.6701624737715646,2175
available_macro,EQ,2026-02,1136.140828155184,0.7238202889162311,2469
available_macro,EQ,2026-03,1434.0105494430964,0.7451581143827072,2749
available_macro,CAP,2025-12,1059.877919799546,0.5773348991242773,1862
available_macro,CAP,2026-01,1146.4359208621945,0.6701624737715646,2175
available_macro,CAP,2026-02,1136.140828155184,0.7238202889162311,2469
available_macro,CAP,2026-03,1434.0105494430964,0.7451581143827072,2749
available_macro,PCA,2025-12,1059.877919799546,0.5773348991242773,1862
available_macro,PCA,2026-01,1146.4359208621945,0.6701624737715646,2175
available_macro,PCA,2026-02,1136.140828155184,0.7238202889162311,2469
available_macro,PCA,2026-03,1434.0105494430964,0.7451581143827072,2749
