mode,definition,h,high_downside,high_account,n,days,mean_start_bp,future_q10_bp,mean_future_bp,median_delta_bp,mean_delta_bp,negative_start_n,remains_negative_rate,delta_local_bp,delta_quote_bp,delta_fx_bp,delta_market_bp,delta_g_bp
available_macro,CAP,1,0,0,80,27,-2.3763982500503706,-10.806008138895567,-1.6565118313131522,0.36663243689357383,0.7198864187372186,49,0.673469387755102,-0.15299236576098946,0.08760135846902979,-1.5185180095065391,2.2946886770979456,0.009106758437926646
available_macro,CAP,1,0,1,53,20,-2.4876397951266545,-9.267816670021686,-2.4360460733093157,0.2666977196755811,0.05159372181733879,36,0.8333333333333334,-3.619038172329965,0.24654543200718249,4.278894816328981,-0.7960400608463145,-0.05876829334262481
available_macro,CAP,1,1,0,39,13,-3.0578159309389785,-11.719859578024893,-4.077598814597113,-0.9973207377732924,-1.019782883658134,27,0.8518518518518519,-0.913935397156593,0.10237791901665003,2.2261389205417066,-2.4259430883344586,-0.008421237726001706
available_macro,CAP,1,1,1,67,23,-2.263125099746863,-12.73495534966457,-1.4049337712519336,1.7935381420752048,0.8581913284949301,41,0.7317073170731707,-0.6326177912398508,0.15158607577763186,-0.0838904989967203,1.4212459055817819,0.0018676373715244127
available_macro,CAP,6,0,0,80,27,-2.3763982500503706,-8.451581596586074,-1.7838014607867003,0.38387115678734773,0.5925967892636702,49,0.7346938775510204,8.486337073631454,-0.011679060238275762,-6.3073380094194995,-1.620498097093111,0.0457748823826683
available_macro,CAP,6,0,1,53,20,-2.4876397951266545,-8.540056937948508,0.05421930102969842,2.681213893922675,2.541859096156353,36,0.5,0.20701268736532763,0.5871582334761742,4.546965296348301,-2.666829464986118,-0.13244765604636483
available_macro,CAP,6,1,0,39,13,-3.0578159309389785,-10.406413056320583,-1.8265379664687948,1.4306362729199886,1.231277964470184,27,0.6296296296296297,4.917173987716489,0.3883364089445967,3.134534605788707,-7.15604954396668,-0.05271749401315267
available_macro,CAP,6,1,1,67,23,-2.263125099746863,-9.602702793208053,-0.6432596744490929,0.4244823538430307,1.6198654252977702,41,0.5853658536585366,-2.3649605376055485,-0.13617596591552736,-1.2779323672257101,5.3388896858877,0.06004461015656231
available_macro,CAP,12,0,0,80,27,-2.3763982500503706,-11.087026334570076,-1.3843907295073916,0.7542629415187461,0.9920075205429789,49,0.6938775510204082,19.34653240750707,-0.6351513310008455,-17.43033329781044,-0.4167809207132599,0.12774066256031696
available_macro,CAP,12,0,1,53,20,-2.4876397951266545,-11.428432967088487,-3.0606726818382404,0.4850603677943854,-0.5730328867115861,36,0.6666666666666666,6.455293390717283,-0.3434427717062237,14.409168183369308,-21.25326824337518,0.1592165542838078
available_macro,CAP,12,1,0,39,13,-3.0578159309389785,-14.624131358249405,-1.8008897338176364,1.524629582090534,1.2569261971213426,27,0.5925925925925926,5.785811627418912,-0.41784413984575564,2.5096102941914014,-6.6253170132221095,0.004665428580209568
available_macro,CAP,12,1,1,67,23,-2.263125099746863,-8.378847616389432,-0.35206314740212025,2.568375664243153,1.9110619523447434,41,0.4878048780487805,-4.054977008288836,-1.1197063046524565,5.436916560155622,1.3714488404887268,0.27737986464104625
available_macro,EQ,1,0,0,80,27,-2.98527627319949,-11.800524318233682,-1.9627239117357367,1.735924937805196,1.0225523614637533,53,0.6981132075471698,-0.15299236576098946,0.08760135846902979,-1.5185180095065391,2.6020129725564916,0.0044484057059158005
available_macro,EQ,1,0,1,53,20,-2.1933591595240385,-9.903295371440377,-1.174261786553435,2.204155208654548,1.0190973729706032,35,0.7142857142857143,-3.619038172329965,0.24654543200718249,4.278894816328981,0.15715360704349432,-0.0444583100791696
available_macro,EQ,1,1,0,39,13,-1.9920573081763957,-15.65244533560849,-3.410947552152431,1.097253023066655,-1.4188902439760351,23,0.7391304347826086,-0.913935397156593,0.10237791901665003,2.2261389205417066,-2.8264560761156825,-0.0070156102626795615
available_macro,EQ,1,1,1,67,23,-4.86445464934593,-21.74325264080436,-5.1029777800634335,-0.0844391009428147,-0.23852313071750356,46,0.717391304347826,-0.6326177912398508,0.15158607577763186,-0.0838904989967203,0.3307661746337378,-0.004367090892865532
available_macro,EQ,6,0,0,80,27,-2.98527627319949,-11.0639350005559,-0.9288092489790735,3.2162794229179363,2.0564670242204164,53,0.660377358490566,8.486337073631454,-0.011679060238275762,-6.3073380094194995,-0.14810004936683097,0.037247069613133274
