seed,calibration,comparison,improvement_pct
20260925,raw,vs_linear_history,8.23349316645844
20260925,raw,vs_qrf_base,0.1027483771919524
20260925,raw,vs_qrf_full,1.1933455224938272
20260925,calibrated,vs_linear_history,9.629015595270996
20260925,calibrated,vs_qrf_base,1.3200039714830525
20260925,calibrated,vs_qrf_full,2.2946143447270195
20260926,raw,vs_linear_history,7.925281908747584
20260926,raw,vs_qrf_base,-0.3418653659047255
20260926,raw,vs_qrf_full,0.6591385031119779
20260926,calibrated,vs_linear_history,8.677713045258805
20260926,calibrated,vs_qrf_base,0.6129083454736506
20260926,calibrated,vs_qrf_full,0.783446338988969
20260927,raw,vs_linear_history,7.766878052079185
20260927,raw,vs_qrf_base,-0.6816534221835813
20260927,raw,vs_qrf_full,0.21891642777591702
20260927,calibrated,vs_linear_history,8.94306211617546
20260927,calibrated,vs_qrf_base,0.14776266382554581
20260927,calibrated,vs_qrf_full,0.6500920362695117
20260928,raw,vs_linear_history,7.626762670025
20260928,raw,vs_qrf_base,-0.2471994702403002
20260928,raw,vs_qrf_full,0.20811580804139806
20260928,calibrated,vs_linear_history,9.168970266879029
20260928,calibrated,vs_qrf_base,1.1150763210841852
20260928,calibrated,vs_qrf_full,1.3238866059447463
