datetime,USDKRW,VIX,SPY,DXY,XAUUSD,USDKRW_stale_flag,VIX_stale_flag,SPY_stale_flag,DXY_stale_flag,XAUUSD_stale_flag
2025-06-02 09:00:00+00:00,1378.41,19.45,588.59,98.66,3371.97,0,0,0,0,0
2025-06-02 10:00:00+00:00,1376.84,18.97,588.55,98.723,3376.09,0,0,0,0,0
2025-06-02 11:00:00+00:00,1376.93,18.94,589.39,98.825,3374.7,0,0,0,0,0
2025-06-02 12:00:00+00:00,1378.8,18.92,589.84,98.881,3371.83,0,0,0,0,0
2025-06-02 13:00:00+00:00,1378.8,18.84,591.5,98.817,3374.44,1,0,0,0,0
2025-06-03 09:00:00+00:00,1378.93,18.32,593.835,99.156,3345.94,0,0,0,0,0
2025-06-03 10:00:00+00:00,1377.81,17.98,594.96,99.21,3346.48,0,0,0,0,0
2025-06-03 11:00:00+00:00,1378.62,17.98,596.055,99.234,3350.43,0,0,0,0,0
2025-06-03 12:00:00+00:00,1377.36,17.84,596.745,99.211,3348.69,0,0,0,0,0
2025-06-03 13:00:00+00:00,1377.36,17.96,596.17,99.224,3353.26,1,0,0,0,0
2025-06-04 09:00:00+00:00,1366.64,17.82,597.58,98.876,3354.74,0,0,0,0,0
2025-06-04 10:00:00+00:00,1366.46,17.61,596.97,98.791,3377.65,0,0,0,0,0
2025-06-04 11:00:00+00:00,1364.31,17.86,595.91,98.737,3371.97,0,0,0,0,0
2025-06-04 12:00:00+00:00,1363.77,17.53,597.318,98.747,3375.08,0,0,0,0,0
2025-06-04 13:00:00+00:00,1363.77,17.5,597.58,98.751,3379.27,1,0,0,0,0
2025-06-05 09:00:00+00:00,1354.16,18.08,596.15,98.523,3377.63,0,0,0,0,0
2025-06-05 10:00:00+00:00,1355.4,17.23,598.68,98.69,3367.92,0,0,0,0,0
2025-06-05 11:00:00+00:00,1355.68,17.2,597.9,98.764,3344.55,0,0,0,0,0
2025-06-05 12:00:00+00:00,1355.54,17.42,596.46,98.757,3354.6,0,0,0,0,0
2025-06-05 13:00:00+00:00,1355.54,17.62,595.33,98.769,3354.19,1,0,0,0,0
2025-06-06 09:00:00+00:00,1360.29,17.31,599.145,99.047,3342.52,0,0,0,0,0
2025-06-06 10:00:00+00:00,1361.45,17.03,598.49,99.217,3325.95,0,0,0,0,0
2025-06-06 11:00:00+00:00,1360.76,16.84,598.59,99.2,3332.16,0,0,0,0,0
2025-06-06 12:00:00+00:00,1361.36,17.02,598.23,99.223,3323.06,0,0,0,0,0
2025-06-06 13:00:00+00:00,1361.36,16.68,599.58,99.187,3323.93,1,0,0,0,0
2025-06-09 09:00:00+00:00,1357.36,17.25,599.75,99.114,3319.66,0,0,0,0,0
2025-06-09 10:00:00+00:00,1356.59,17.25,599.215,98.983,3321.03,0,0,0,0,0
2025-06-09 11:00:00+00:00,1355.05,17.09,599.8,98.953,3328.64,0,0,0,0,0
2025-06-09 12:00:00+00:00,1354.44,16.96,600.825,98.949,3338.07,0,0,0,0,0
2025-06-09 13:00:00+00:00,1354.44,16.92,600.97,98.921,3333.63,1,0,0,0,0
2025-06-10 09:00:00+00:00,1364.88,17.06,601.19,98.954,3343.6,0,0,0,0,0
2025-06-10 10:00:00+00:00,1367.35,17.13,601.1346,99.084,3328.3,0,0,0,0,0
2025-06-10 11:00:00+00:00,1368.01,16.94,601.8901,99.094,3326.77,0,0,0,0,0
2025-06-10 12:00:00+00:00,1367.15,16.88,601.92,99.094,3321.61,0,0,0,0,0
2025-06-10 13:00:00+00:00,1367.15,17.14,600.9014,99.089,3324.8,1,0,0,0,0
2025-06-11 09:00:00+00:00,1371.47,16.5,604.76,98.757,3329.24,0,0,0,0,0
2025-06-11 10:00:00+00:00,1370.6,16.47,604.2,98.64,3337.82,0,0,0,0,0
2025-06-11 11:00:00+00:00,1368.58,16.64,603.225,98.615,3333.32,0,0,0,0,0
2025-06-11 12:00:00+00:00,1369.09,16.4,604.35,98.57,3330.29,0,0,0,0,0
2025-06-11 13:00:00+00:00,1369.09,17.15,600.58,98.626,3324.57,1,0,0,0,0
2025-06-12 09:00:00+00:00,1355.04,17.7,602.52,97.921,3392.36,0,0,0,0,0
2025-06-12 10:00:00+00:00,1356.21,17.59,602.41,97.996,3383.88,0,0,0,0,0
2025-06-12 11:00:00+00:00,1356.86,18.02,602.98,97.969,3386.31,0,0,0,0,0
2025-06-12 12:00:00+00:00,1356.55,17.71,602.97,98.0,3384.27,0,0,0,0,0
2025-06-12 13:00:00+00:00,1356.55,17.69,602.82,97.92,3382.67,1,0,0,0,0
2025-06-13 09:00:00+00:00,1369.63,20.52,596.85,98.19,3437.28,0,0,0,0,0
2025-06-13 10:00:00+00:00,1368.73,19.59,600.58,98.043,3428.1,0,0,0,0,0
2025-06-13 11:00:00+00:00,1365.14,19.02,600.901,98.034,3426.5,0,0,0,0,0
2025-06-13 12:00:00+00:00,1363.23,19.51,599.49,98.161,3430.43,0,0,0,0,0
2025-06-13 13:00:00+00:00,1363.23,20.29,597.12,98.192,3430.9,1,0,0,0,0
2025-06-16 09:00:00+00:00,1355.66,18.78,604.1,97.739,3387.99,0,0,0,0,0
2025-06-16 10:00:00+00:00,1356.58,18.99,603.36,97.895,3397.23,0,0,0,0,0
2025-06-16 11:00:00+00:00,1357.57,19.05,603.05,97.925,3404.69,0,0,0,0,0
2025-06-16 12:00:00+00:00,1359.06,19.34,603.4,97.975,3399.5,0,0,0,0,0
2025-06-16 13:00:00+00:00,1359.06,19.25,602.58,98.005,3392.75,1,0,0,0,0
2025-06-17 09:00:00+00:00,1367.58,19.55,601.14,98.346,3390.5,0,0,0,0,0
2025-06-17 10:00:00+00:00,1369.68,19.75,600.44,98.469,3385.11,0,0,0,0,0
