datetime_utc,BTC_BINANCE_CLOSE,ETH_BINANCE_CLOSE,XRP_BINANCE_CLOSE,SOL_BINANCE_CLOSE,DOGE_BINANCE_CLOSE,USDT_BINANCE_CLOSE,BTC_UPBIT_CLOSE,ETH_UPBIT_CLOSE,XRP_UPBIT_CLOSE,SOL_UPBIT_CLOSE,DOGE_UPBIT_CLOSE,USDT_UPBIT_CLOSE,USDKRW,BTC_KP,ETH_KP,XRP_KP,SOL_KP,DOGE_KP,USDT_KP,MKT_KP_EQ,RESIDUAL_RAW,BTC_KP_pct,ETH_KP_pct,XRP_KP_pct,SOL_KP_pct,DOGE_KP_pct,USDT_KP_pct,MKT_KP_EQ_pct,RESIDUAL_RAW_pct,VIX,SPY,DXY,XAUUSD,VIX_ret,SPY_ret,DXY_ret,XAUUSD_ret,USDKRW_ret,BTC_RET,BTC_VOL_24,BTC_RET_POS,BTC_RET_NEG,BTC_RET_ABS,BTC_DOWNSIDE_24,BTC_BIG_UP,BTC_BIG_DOWN,BTC_VOL_RATIO,BTC_VOL_RATIO_LOG,ETH_VOL_RATIO,ETH_VOL_RATIO_LOG,XRP_VOL_RATIO,XRP_VOL_RATIO_LOG,SOL_VOL_RATIO,SOL_VOL_RATIO_LOG,DOGE_VOL_RATIO,DOGE_VOL_RATIO_LOG,USDT_VOL_RATIO,USDT_VOL_RATIO_LOG
2025-06-02 09:00:00+00:00,104585.36,2481.52,2.1531,153.54,0.18968,0.9994,147099000.0,3492000.0,3028.0,216000.0,267.0,1405.5,1378.41,0.0203764097804222,0.0208878617108922,0.0202656254075597,0.0205958539671236,0.021201173629562,0.0202652376896352,0.0206653848991119,-0.0004001472094766,2.037640978042221,2.0887861710892297,2.026562540755972,2.05958539671236,2.1201173629562087,2.0265237689635285,2.0665384899111983,-0.0400147209476696,19.45,588.59,98.66,3371.97,,,,,,-0.0070797931261985525,,0.0,-0.0070797931261985525,0.0070797931261985525,,0,1,17.682336263465764,2.8725661900783077,14.116219894729756,2.6473244833857814,2.2260843118300633,0.8002441280705179,15.109089588141147,2.715296522195492,2.5513789372633098,0.9366339727235925,8.954278535251051,2.1921314666893226
2025-06-02 10:00:00+00:00,104370.85,2482.1,2.1462,154.01,0.19009,0.9994,146961000.0,3493000.0,3021.0,216700.0,267.5,1406.5,1376.84,0.0226791538593866,0.0221057616378599,0.0223440178564171,0.0219426296178033,0.0220709414924273,0.0221553750936829,0.0222285008927789,-7.312579909597369e-05,2.267915385938668,2.2105761637859933,2.234401785641716,2.1942629617803355,2.2070941492427387,2.2155375093682927,2.22285008927789,-0.0073125799095973,18.97,588.55,98.723,3376.09,-0.0249882861175327,-6.796133002939797e-05,0.0006383528686795,0.0012210918432646,-0.001139642624027104,-0.002053158174669889,,0.0,-0.002053158174669889,0.002053158174669889,,0,0,13.330278655372387,2.5900380383511474,15.805640103979623,2.7603668449410916,2.2541824780798763,0.8127873697851956,14.617913731227063,2.682247744496598,4.512164326866588,1.5067769334941337,18.139295388985374,2.8980806009880067
2025-06-02 11:00:00+00:00,104047.64,2480.94,2.143,153.45,0.18928,0.9994,146546000.0,3492000.0,3018.0,216000.0,266.5,1406.0,1376.93,0.0228922130807236,0.0222240901640342,0.0227870065477584,0.0222920797942416,0.0225407485979918,0.0217252194838359,0.0225472276369499,-0.0008220081531139,2.2892213080723645,2.222409016403426,2.278700654775845,2.229207979424164,2.254074859799182,2.172521948383599,2.254722763694996,-0.0822008153113972,18.94,589.39,98.825,3374.7,-0.0015826961889904,0.0014262188946583,0.0010326605084776,-0.0004118036613913,6.536493609310412e-05,-0.0031015507222633687,,0.0,-0.0031015507222633687,0.0031015507222633687,,0,0,12.860195501047711,2.5541369209526845,12.636920682229766,2.536622742127089,1.3364959825799543,0.2900512506663587,32.684553999752985,3.486902611560946,1.8445533385686002,0.612237155266522,19.635227995408457,2.9773252996462074
2025-06-02 12:00:00+00:00,104200.32,2497.69,2.1522,154.21,0.19044,0.9994,146594000.0,3511000.0,3026.0,216950.0,267.8,1406.0,1378.8,0.0203422445891376,0.0195088959616729,0.0197295906278371,0.0203421851909733,0.0198848137978244,0.0203395028023487,0.0199615460334891,0.0003779567688596,2.034224458913769,1.9508895961672927,1.972959062783719,2.0342185190973305,1.988481379782448,2.0339502802348752,1.996154603348912,0.0377956768859634,18.92,589.84,98.881,3371.83,-0.0010565241341997,0.0007632099282472,0.0005664977441011,-0.0008508077998996,0.0013571723550800385,0.001466329152579604,,0.001466329152579604,0.0,0.001466329152579604,,0,0,9.763010326652756,2.278600787976536,10.55666783104667,2.3567576821805067,2.0914838720858606,0.7378738006993882,24.94535792167762,3.2166877496437216,2.394748791978084,0.8732783368347963,35.15549989834218,3.55978107538624
2025-06-03 09:00:00+00:00,105198.11,2614.49,2.199,159.89,0.19481,0.9994,147280000.0,3657000.0,3076.0,223900.0,272.6,1398.5,1378.93,0.0152982040735494,0.0143685018974917,0.014422519187929,0.0155248868259312,0.0147811348656512,0.0148010441155514,0.0148790493701105,-7.800525455903262e-05,1.5298204073549426,1.4368501897491726,1.4422519187929028,1.5524886825931228,1.4781134865651246,1.4801044115551498,1.487904937011053,-0.0078005254559032,18.32,593.835,99.156,3345.94,-0.0322262043777481,0.0067501893160795,0.0027772605801965,-0.0077079531399348,9.428044086678966e-05,0.0009812974150715803,0.0032136951744097266,0.0009812974150715803,0.0,0.0009812974150715803,4.800511220439667e-06,0,0,12.730428937973395,2.54399510705062,16.23085241696694,2.7869139012173685,1.9076212845844351,0.6458570651614183,15.210237319735322,2.72196870902491,2.8194231322662433,1.0365323009979976,10.874272045118028,2.386399636354323
2025-06-03 10:00:00+00:00,105280.99,2611.46,2.2018,161.23,0.19532,0.9993,147320000.0,3654000.0,3080.0,225650.0,273.3,1398.0,1377.81,0.0155993577369679,0.0155371902308221,0.015274589296393,0.0157811548645576,0.0155553153895433,0.0153644446620724,0.0155495215036568,-0.0001850768415843,1.5599357736967967,1.5537190230822118,1.5274589296393026,1.5781154864557667,1.5555315389543356,1.536444466207243,1.554952150365683,-0.0185076841584396,17.98,594.96,99.21,3346.48,-0.0187333302025098,0.0018926733975703,0.0005444481547636,0.0001613766025361,-0.0008125540033683265,0.0007875366654808147,0.003177542673116312,0.0007875366654808147,0.0,0.0007875366654808147,4.62486711668076e-06,0,0,12.711694403845181,2.5425223889710304,16.16926408227134,2.783112161252871,2.5380700208277003,0.9314039578902323,17.189089185626024,2.84427483286162,3.255578925274983,1.1803701170731484,14.172263647604433,2.651286790245682
2025-06-03 11:00:00+00:00,105287.24,2601.78,2.2149,160.56,0.19503,0.9993,147193000.0,3640000.0,3095.0,224400.0,272.8,1397.5,1378.62,0.0140674460216074,0.0148135049470712,0.0135891560838936,0.013773462377262,0.0146082062182668,0.0144049377309762,0.0141703551296202,0.000234582601356,1.4067446021607477,1.4813504947071232,1.358915608389366,1.377346237726207,1.460820621826686,1.4404937730976286,1.417035512962026,0.0234582601356026,17.98,596.055,99.234,3350.43,0.0,0.0018387682917886,0.0002418818418998,0.0011796486612656,0.000587716737458166,5.936318125243645e-05,0.003092110868535696,5.936318125243645e-05,0.0,5.936318125243645e-05,4.2240497465652416e-06,0,0,7.874220886474532,2.0635942447664486,9.148548951159107,2.2135952821387916,2.318932989953764,0.8411071617600617,10.590445538306993,2.359952230334278,1.714364136764889,0.5390422461325355,17.80396322446967,2.879421085574619
2025-06-03 12:00:00+00:00,105307.94,2609.76,2.2249,161.15,0.19549,0.9993,147281000.0,3647000.0,3108.0,225100.0,273.3,1396.5,1377.36,0.0154022945697367,0.014583339498172,0.0141986955901098,0.014139547151506,0.0150036841848326,0.0146063736164365,0.0146655121988714,-5.913858243489223e-05,1.540229456973674,1.4583339498172032,1.4198695590109889,1.4139547151506004,1.5003684184832666,1.4606373616436574,1.4665512198871469,-0.0059138582434892,17.84,596.745,99.211,3348.69,-0.0078169018916112,0.001156941778948,-0.0002318022636291,-0.0005194712258109,-0.0009143753494500473,0.00019658569646985313,0.003085597387458484,0.00019658569646985313,0.0,0.00019658569646985313,4.2240497465652416e-06,0,0,15.756526832710946,2.757254681507701,8.31928807616165,2.1185766834029542,1.128933535377354,0.1212734130868159,16.481299443761724,2.802226371115671,3.01852328848136,1.104767734474328,43.445696917921246,3.771511811546355
2025-06-04 09:00:00+00:00,105825.31,2643.43,2.2592,157.54,0.19632,0.9993,146946000.0,3674000.0,3137.0,218750.0,272.6,1389.0,1366.64,0.0160476868467958,0.016991234283384,0.0160280816921349,0.0160219551331988,0.0160315132393782,0.0170732461268225,0.0162240942389783,0.0008491518878442,1.6047686846795806,1.6991234283384005,1.6028081692134988,1.6021955133198815,1.6031513239378237,1.7073246126822594,1.622409423897837,0.0849151887844224,17.82,597.58,98.876,3354.74,-0.0011217051091998,0.0013982795906448,-0.0033823554233824,0.0018050465635273,-0.007813450829415203,0.0036862459097655176,0.0033327987308206584,0.0036862459097655176,0.0,0.0036862459097655176,4.387021248042062e-06,0,0,22.999814934626905,3.1354861695762084,6.93313589444405,1.9363122208708146,1.2525417806087231,0.22517491119196034,11.694243222724896,2.459096688470389,2.597862215171458,0.9546888818810569,8.807122773619183,2.175560800184788
2025-06-04 10:00:00+00:00,105705.13,2638.45,2.2555,156.64,0.19546,0.9993,146911000.0,3669000.0,3133.0,217650.0,271.8,1390.0,1366.46,0.0170945495985475,0.0176581617264774,0.0165310300736698,0.0168551061840982,0.0176410906093864,0.0179395529888206,0.0171559876384359,0.0007835653503847,1.7094549598547504,1.7658161726477497,1.653103007366985,1.6855106184098243,1.7641090609386456,1.7939552988820662,1.715598763843591,0.0783565350384752,17.61,596.97,98.791,3377.65,-0.0118544995345488,-0.0010213051827427,-0.0008600323295162,0.0068059302666192,-0.00013171856153082473,-0.0011362904831173637,0.0033423716892726366,0.0,-0.0011362904831173637,0.0011362904831173637,4.440819417293024e-06,0,0,13.958840096396242,2.6361130062315574,18.069533070272062,2.894227264218925,1.8067387803936823,0.5915234413339056,18.27311886140692,2.9054310652573307,5.8180384881808545,1.760963175413943,10.054587856661819,2.3080290334896514
