datetime_utc,BTC_BINANCE_CLOSE,ETH_BINANCE_CLOSE,XRP_BINANCE_CLOSE,SOL_BINANCE_CLOSE,DOGE_BINANCE_CLOSE,USDT_BINANCE_CLOSE,BTC_UPBIT_CLOSE,ETH_UPBIT_CLOSE,XRP_UPBIT_CLOSE,SOL_UPBIT_CLOSE,DOGE_UPBIT_CLOSE,USDT_UPBIT_CLOSE,USDKRW,BTC_KP,ETH_KP,XRP_KP,SOL_KP,DOGE_KP,USDT_KP,MKT_KP_EQ,RESIDUAL_RAW,BTC_KP_pct,ETH_KP_pct,XRP_KP_pct,SOL_KP_pct,DOGE_KP_pct,USDT_KP_pct,MKT_KP_EQ_pct,RESIDUAL_RAW_pct,VIX,SPY,DXY,XAUUSD,VIX_ret,SPY_ret,DXY_ret,XAUUSD_ret
2025-06-02 09:00:00+00:00,104585.36,2481.52,2.1531,153.54,0.18968,0.9994,147099000.0,3492000.0,3028.0,216000.0,267.0,1405.5,1378.41,0.0203764097804222,0.0208878617108922,0.0202656254075597,0.0205958539671236,0.021201173629562,0.0202652376896352,0.0206653848991119,-0.0004001472094766,2.037640978042221,2.0887861710892297,2.026562540755972,2.05958539671236,2.1201173629562087,2.0265237689635285,2.0665384899111983,-0.0400147209476696,19.45,588.59,98.66,3371.97,,,,
2025-06-02 10:00:00+00:00,104370.85,2482.1,2.1462,154.01,0.19009,0.9994,146961000.0,3493000.0,3021.0,216700.0,267.5,1406.5,1376.84,0.0226791538593866,0.0221057616378599,0.0223440178564171,0.0219426296178033,0.0220709414924273,0.0221553750936829,0.0222285008927789,-7.312579909597369e-05,2.267915385938668,2.2105761637859933,2.2344017856417158,2.1942629617803355,2.2070941492427387,2.2155375093682927,2.22285008927789,-0.0073125799095973,18.97,588.55,98.723,3376.09,-0.024988286117532788,-6.796133002939797e-05,0.0006383528686795259,0.0012210918432646878
2025-06-02 11:00:00+00:00,104047.64,2480.94,2.143,153.45,0.18928,0.9994,146546000.0,3492000.0,3018.0,216000.0,266.5,1406.0,1376.93,0.0228922130807236,0.0222240901640342,0.0227870065477584,0.0222920797942416,0.0225407485979918,0.0217252194838359,0.0225472276369499,-0.0008220081531139,2.2892213080723645,2.222409016403426,2.278700654775845,2.229207979424164,2.254074859799182,2.172521948383599,2.254722763694996,-0.0822008153113972,18.94,589.39,98.825,3374.7,-0.001582696188990429,0.0014262188946583265,0.001032660508477612,-0.0004118036613913745
2025-06-02 12:00:00+00:00,104200.32,2497.69,2.1522,154.21,0.19044,0.9994,146594000.0,3511000.0,3026.0,216950.0,267.8,1406.0,1378.8,0.0203422445891376,0.0195088959616729,0.0197295906278371,0.0203421851909733,0.0198848137978244,0.0203395028023487,0.0199615460334891,0.0003779567688596,2.034224458913769,1.9508895961672932,1.972959062783719,2.0342185190973305,1.9884813797824477,2.0339502802348752,1.996154603348912,0.0377956768859634,18.92,589.84,98.881,3371.83,-0.0010565241341997655,0.0007632099282472993,0.0005664977441011132,-0.0008508077998996555
2025-06-03 09:00:00+00:00,105198.11,2614.49,2.199,159.89,0.19481,0.9994,147280000.0,3657000.0,3076.0,223900.0,272.6,1398.5,1378.93,0.0152982040735494,0.0143685018974917,0.014422519187929,0.0155248868259312,0.0147811348656512,0.0148010441155514,0.0148790493701105,-7.800525455903262e-05,1.5298204073549426,1.4368501897491726,1.4422519187929028,1.5524886825931228,1.4781134865651246,1.4801044115551498,1.487904937011053,-0.0078005254559032,18.32,593.835,99.156,3345.94,-0.03222620437774815,0.0067501893160795134,0.002777260580196561,-0.007707953139934887
2025-06-03 10:00:00+00:00,105280.99,2611.46,2.2018,161.23,0.19532,0.9993,147320000.0,3654000.0,3080.0,225650.0,273.3,1398.0,1377.81,0.0155993577369679,0.0155371902308221,0.015274589296393,0.0157811548645576,0.0155553153895433,0.0153644446620724,0.0155495215036568,-0.0001850768415843,1.5599357736967967,1.5537190230822118,1.5274589296393026,1.5781154864557667,1.5555315389543356,1.536444466207243,1.554952150365683,-0.0185076841584396,17.98,594.96,99.21,3346.48,-0.01873333020250989,0.001892673397570377,0.0005444481547636215,0.00016137660253612296
2025-06-03 11:00:00+00:00,105287.24,2601.78,2.2149,160.56,0.19503,0.9993,147193000.0,3640000.0,3095.0,224400.0,272.8,1397.5,1378.62,0.0140674460216074,0.0148135049470712,0.0135891560838936,0.013773462377262,0.0146082062182668,0.0144049377309762,0.0141703551296202,0.000234582601356,1.4067446021607477,1.4813504947071232,1.358915608389366,1.377346237726207,1.460820621826686,1.4404937730976286,1.417035512962026,0.0234582601356026,17.98,596.055,99.234,3350.43,0.0,0.0018387682917886394,0.0002418818418998825,0.001179648661265631
2025-06-03 12:00:00+00:00,105307.94,2609.76,2.2249,161.15,0.19549,0.9993,147281000.0,3647000.0,3108.0,225100.0,273.3,1396.5,1377.36,0.0154022945697367,0.014583339498172,0.0141986955901098,0.014139547151506,0.0150036841848326,0.0146063736164365,0.0146655121988714,-5.913858243489223e-05,1.540229456973674,1.4583339498172032,1.4198695590109889,1.4139547151506004,1.5003684184832666,1.4606373616436574,1.4665512198871469,-0.0059138582434892,17.84,596.745,99.211,3348.69,-0.007816901891611217,0.0011569417789480951,-0.00023180226362917722,-0.0005194712258109746
2025-06-04 09:00:00+00:00,105825.31,2643.43,2.2592,157.54,0.19632,0.9993,146946000.0,3674000.0,3137.0,218750.0,272.6,1389.0,1366.64,0.0160476868467958,0.016991234283384,0.0160280816921349,0.0160219551331988,0.0160315132393782,0.0170732461268225,0.0162240942389783,0.0008491518878442,1.6047686846795806,1.6991234283384005,1.6028081692134988,1.6021955133198815,1.6031513239378237,1.7073246126822594,1.622409423897837,0.0849151887844224,17.82,597.58,98.876,3354.74,-0.0011217051091998442,0.0013982795906448686,-0.0033823554233824993,0.0018050465635273127
2025-06-04 10:00:00+00:00,105705.13,2638.45,2.2555,156.64,0.19546,0.9993,146911000.0,3669000.0,3133.0,217650.0,271.8,1390.0,1366.46,0.0170945495985475,0.0176581617264774,0.0165310300736698,0.0168551061840982,0.0176410906093864,0.0179395529888206,0.0171559876384359,0.0007835653503847,1.7094549598547504,1.7658161726477497,1.653103007366985,1.6855106184098243,1.7641090609386456,1.7939552988820662,1.715598763843591,0.0783565350384752,17.61,596.97,98.791,3377.65,-0.011854499534548868,-0.0010213051827427932,-0.0008600323295162582,0.006805930266619242
2025-06-04 11:00:00+00:00,105084.36,2624.4,2.253,155.92,0.19381,0.9993,146320000.0,3651000.0,3134.0,217000.0,269.8,1391.0,1364.31,0.0205929088508094,0.0196913646774026,0.0195880530475853,0.0201049274099163,0.0203582996035422,0.0202771965810169,0.0200671107178512,0.0002100858631656,2.0592908850809444,1.9691364677402623,1.9588053047585372,2.010492740991632,2.0358299603542296,2.02771965810169,2.006711071785121,0.0210085863165686,17.86,595.91,98.737,3371.97,0.014096652940238652,-0.0017772119224046534,-0.0005467579416107426,-0.0016830581101761055
2025-06-04 12:00:00+00:00,105039.19,2616.73,2.2382,155.67,0.19261,0.9993,146110000.0,3642000.0,3114.0,216650.0,267.8,1390.5,1363.77,0.0199701075723148,0.0205631789477134,0.0201841788622756,0.0204991217256718,0.0195079313599817,0.0203142992016804,0.0201449036935915,0.0001693955080889,1.997010757231488,2.0563178947713423,2.018417886227564,2.049912172567181,1.9507931359981745,2.031429920168049,2.01449036935915,0.0169395508088986,17.53,597.318,98.747,3375.08,-0.018649876515210106,0.0023599859431593373,0.0001012740273500512,0.0009218844443896757
