datetime_utc,BTC_BINANCE_OPEN,BTC_BINANCE_HIGH,BTC_BINANCE_LOW,BTC_BINANCE_CLOSE,BTC_BINANCE_VOLUME,ETH_BINANCE_OPEN,ETH_BINANCE_HIGH,ETH_BINANCE_LOW,ETH_BINANCE_CLOSE,ETH_BINANCE_VOLUME,XRP_BINANCE_OPEN,XRP_BINANCE_HIGH,XRP_BINANCE_LOW,XRP_BINANCE_CLOSE,XRP_BINANCE_VOLUME,SOL_BINANCE_OPEN,SOL_BINANCE_HIGH,SOL_BINANCE_LOW,SOL_BINANCE_CLOSE,SOL_BINANCE_VOLUME,DOGE_BINANCE_OPEN,DOGE_BINANCE_HIGH,DOGE_BINANCE_LOW,DOGE_BINANCE_CLOSE,DOGE_BINANCE_VOLUME,USDT_BINANCE_OPEN,USDT_BINANCE_HIGH,USDT_BINANCE_LOW,USDT_BINANCE_CLOSE,USDT_BINANCE_VOLUME
2025-06-01 18:00:00+00:00,105066.34,105066.34,104319.79,104900.01,575.5374,2538.99,2539.0,2493.49,2520.2,24142.0208,2.172,2.172,2.1454,2.1573,4684152.4,156.33,156.36,153.47,154.72,152778.058,0.19278,0.19282,0.18904,0.19084,30752973.0,0.9995,0.9995,0.9994,0.9995,15430378.0
2025-06-01 19:00:00+00:00,104900.01,105156.73,104805.44,105121.94,361.59685,2520.21,2527.1,2511.82,2526.38,10315.2005,2.1574,2.168,2.1543,2.1675,1734289.9,154.72,155.97,154.54,155.89,84379.446,0.19085,0.19193,0.19054,0.19188,19848268.0,0.9994,0.9995,0.9994,0.9994,11655652.0
2025-06-01 20:00:00+00:00,105121.95,105300.0,104893.72,104948.91,324.69341,2526.38,2537.0,2519.42,2525.7,8489.7509,2.1675,2.1695,2.1551,2.1552,1687497.3,155.88,156.23,155.18,155.69,63017.949,0.19188,0.19256,0.19091,0.19139,17517878.0,0.9995,0.9995,0.9994,0.9995,16244212.0
2025-06-01 21:00:00+00:00,104948.91,105504.67,104926.82,105496.54,414.58616,2525.7,2540.91,2524.34,2539.4,9680.5621,2.1552,2.1778,2.1534,2.1725,3902182.0,155.68,157.23,155.58,156.91,58586.679,0.19138,0.19333,0.19105,0.19321,11548662.0,0.9995,0.9995,0.9994,0.9995,8179160.0
2025-06-01 22:00:00+00:00,105496.54,105737.84,105414.63,105512.18,474.08063,2539.39,2547.59,2532.76,2535.28,13535.7331,2.1725,2.1809,2.1696,2.1728,1784789.4,156.9,157.41,156.38,157.2,69482.213,0.1932,0.19435,0.19307,0.19364,16381435.0,0.9994,0.9995,0.9994,0.9994,17104295.0
2025-06-01 23:00:00+00:00,105512.17,105866.91,105466.39,105642.93,413.01524,2535.28,2545.25,2533.2,2539.21,10373.4325,2.1727,2.1879,2.1727,2.1792,2283236.1,157.2,157.92,156.96,157.68,67835.899,0.19364,0.19485,0.19333,0.19363,25213809.0,0.9995,0.9995,0.9994,0.9994,5923773.0
2025-06-02 00:00:00+00:00,105642.93,105735.42,105404.31,105427.48,432.43804,2539.2,2540.66,2526.51,2534.32,14520.2472,2.1792,2.1816,2.1672,2.1707,3249677.1,157.68,158.22,157.19,157.81,95323.856,0.19364,0.19443,0.19223,0.19284,62451214.0,0.9995,0.9995,0.9994,0.9995,5126829.0
2025-06-02 01:00:00+00:00,105427.48,105658.38,105349.63,105388.59,368.13444,2534.32,2541.71,2525.05,2526.23,9747.1034,2.1707,2.1834,2.1641,2.1642,2934020.7,157.81,158.93,157.81,158.06,78251.746,0.19284,0.19418,0.19207,0.1921,18840210.0,0.9994,0.9995,0.9994,0.9995,11238754.0
2025-06-02 02:00:00+00:00,105388.58,105414.64,105019.05,105026.98,500.23301,2526.23,2527.5,2507.6,2508.53,14101.7992,2.1642,2.1714,2.1568,2.1595,3988712.9,158.06,158.28,156.66,156.86,94747.132,0.1921,0.19224,0.19053,0.1908,23775984.0,0.9994,0.9996,0.9994,0.9995,39929873.0
2025-06-02 03:00:00+00:00,105026.97,105055.1,104571.42,104829.27,586.76964,2508.54,2510.24,2485.65,2496.31,23695.5303,2.1596,2.1615,2.1509,2.1574,3307089.9,156.86,156.93,155.36,155.46,111607.753,0.19081,0.19099,0.18916,0.19032,26292883.0,0.9996,0.9996,0.9995,0.9995,18655896.0
2025-06-02 04:00:00+00:00,104829.27,104997.06,104700.03,104765.48,262.60797,2496.3,2501.6,2487.7,2492.59,9815.4285,2.1575,2.1745,2.1572,2.1695,3014963.5,155.46,156.23,155.1,155.29,56210.019,0.19032,0.19157,0.19001,0.19039,16639445.0,0.9996,0.9996,0.9994,0.9995,54796209.0
2025-06-02 05:00:00+00:00,104765.48,104918.04,104610.13,104833.79,244.85997,2492.59,2497.24,2483.37,2492.91,9683.8437,2.1695,2.1755,2.1644,2.1691,3672573.0,155.3,156.21,154.69,155.35,73219.791,0.1904,0.19126,0.18956,0.19072,10471700.0,0.9995,0.9995,0.9994,0.9995,9769790.0
2025-06-02 06:00:00+00:00,104833.79,105266.87,104732.38,105162.38,470.58034,2492.9,2500.0,2485.0,2494.79,13893.1142,2.1692,2.1734,2.1574,2.1671,6055118.4,155.35,156.15,154.66,155.73,71385.801,0.19073,0.1924,0.19011,0.1918,28639472.0,0.9995,0.9996,0.9994,0.9995,98167634.0
2025-06-02 07:00:00+00:00,105162.39,105438.87,105162.38,105387.67,346.57956,2494.8,2513.97,2494.8,2506.94,13363.4466,2.167,2.1794,2.1616,2.1633,4503467.2,155.73,156.73,155.36,155.55,84030.088,0.19181,0.19339,0.19167,0.19187,20873311.0,0.9995,0.9995,0.9994,0.9995,33355063.0
2025-06-02 08:00:00+00:00,105387.67,105935.63,105241.18,105328.43,705.16393,2506.94,2515.92,2490.1,2494.58,15842.1779,2.1633,2.1793,2.1616,2.1632,4903639.8,155.54,156.55,154.38,154.86,117748.974,0.19187,0.1931,0.19083,0.19114,30532344.0,0.9995,0.9995,0.9994,0.9994,24891237.0
2025-06-02 09:00:00+00:00,105328.43,105335.99,104483.64,104585.36,998.9363,2494.57,2494.94,2475.0,2481.52,28887.7397,2.1633,2.1637,2.1483,2.1531,6390197.5,154.86,154.88,153.21,153.54,144749.119,0.19115,0.19117,0.18936,0.18968,19501846.0,0.9994,0.9995,0.9994,0.9994,40004600.0
2025-06-02 10:00:00+00:00,104585.37,104660.0,104254.71,104370.85,704.18464,2481.52,2489.78,2476.4,2482.1,16349.3649,2.1531,2.1587,2.1422,2.1462,6572365.8,153.53,154.24,152.95,154.01,85683.312,0.18968,0.19099,0.18922,0.19009,29192259.0,0.9994,0.9995,0.9994,0.9994,48045540.0
2025-06-02 11:00:00+00:00,104370.85,104487.82,103941.0,104047.64,725.6249,2482.1,2488.7,2475.72,2480.94,11290.6552,2.1462,2.1496,2.1357,2.143,4543007.9,154.02,154.65,153.31,153.45,144632.333,0.19009,0.19046,0.18851,0.18928,17694089.0,0.9994,0.9995,0.9994,0.9994,39035289.0
2025-06-02 12:00:00+00:00,104047.63,104281.98,103862.5,104200.32,696.19227,2480.93,2498.39,2477.88,2497.69,15426.0504,2.143,2.1531,2.1375,2.1522,3943712.0,153.44,154.37,153.14,154.21,106982.848,0.18927,0.1905,0.1886,0.19044,16434581.0,0.9994,0.9995,0.9994,0.9994,66397898.0
2025-06-02 13:00:00+00:00,104200.32,104570.57,103700.0,103800.0,1053.66155,2497.69,2519.99,2487.35,2504.67,25138.227,2.1521,2.1555,2.1392,2.143,4717807.7,154.22,154.5,152.0,152.24,167003.633,0.19045,0.19155,0.18903,0.18945,31620798.0,0.9995,0.9995,0.9994,0.9995,67413417.0
2025-06-02 14:00:00+00:00,103799.99,104679.25,103659.88,104176.62,1127.64518,2504.67,2540.79,2495.82,2531.4,44211.7292,2.143,2.1596,2.1375,2.15,5165059.0,152.23,154.27,151.67,153.01,175804.201,0.18945,0.19248,0.18846,0.19157,53180755.0,0.9995,0.9996,0.9994,0.9995,102756324.0
2025-06-02 15:00:00+00:00,104176.61,104565.32,103905.1,104438.79,580.0461,2531.4,2556.74,2523.36,2544.39,32858.5657,2.15,2.1636,2.1432,2.1594,2743568.7,153.02,153.86,152.04,153.16,127868.931,0.19156,0.19311,0.18989,0.19189,26548566.0,0.9996,0.9996,0.9994,0.9995,56092991.0
2025-06-02 16:00:00+00:00,104438.79,104450.01,104030.01,104286.06,501.02384,2544.39,2553.9,2529.7,2546.78,19362.2562,2.1594,2.1649,2.1494,2.1633,1771234.5,153.16,153.32,152.02,153.04,99387.13,0.1919,0.19199,0.1903,0.1918,12898024.0,0.9995,0.9995,0.9994,0.9995,42471724.0
2025-06-02 17:00:00+00:00,104286.06,104490.57,104095.23,104399.89,372.61381,2546.78,2552.99,2538.56,2549.74,18432.07,2.1633,2.1765,2.1625,2.1686,3427283.6,153.04,153.84,152.45,153.67,83092.316,0.19179,0.19288,0.19082,0.19239,15317544.0,0.9995,0.9995,0.9994,0.9994,22227239.0
2025-06-02 18:00:00+00:00,104399.89,104731.95,104200.0,104361.54,367.55001,2549.74,2565.56,2538.0,2544.47,26962.9825,2.1687,2.1786,2.164,2.1655,2262461.5,153.67,155.13,153.03,153.22,103500.69,0.1924,0.19371,0.19099,0.19116,23459938.0,0.9995,0.9995,0.9994,0.9994,25279809.0
2025-06-02 19:00:00+00:00,104361.54,104510.96,104050.96,104425.63,339.8615,2544.48,2549.4,2524.8,2532.44,19354.3219,2.1656,2.1735,2.1565,2.1653,2391219.3,153.22,153.64,151.77,152.95,103302.1,0.19115,0.19195,0.18883,0.19024,17018137.0,0.9994,0.9995,0.9994,0.9994,25084299.0
2025-06-02 20:00:00+00:00,104425.64,104995.93,104425.64,104878.62,440.97656,2532.45,2547.9,2532.2,2539.74,11321.8911,2.1653,2.1849,2.1653,2.1763,4263602.3,152.96,154.54,152.92,154.31,98194.281,0.19025,0.19272,0.19023,0.19208,19919998.0,0.9995,0.9995,0.9994,0.9994,75386749.0
2025-06-02 21:00:00+00:00,104878.61,105096.66,104575.37,104942.0,303.58011,2539.74,2561.34,2539.74,2560.55,12463.5181,2.1764,2.1862,2.1747,2.1859,2503377.2,154.31,155.5,154.24,155.43,70730.222,0.19208,0.1936,0.19203,0.19353,14856011.0,0.9994,0.9995,0.9993,0.9994,61772867.0
