datetime,open,high,low,close
2026-03-20 01:00:00,4721.59,4722.13,4713.51,4714.2
2026-03-20 00:00:00,4725.96,4727.73,4715.67,4721.58
2026-03-19 23:00:00,4697.93,4735.72,4693.37,4725.96
2026-03-19 22:00:00,4678.41,4703.59,4670.64,4697.93
2026-03-19 21:00:00,4648.71,4699.33,4639.73,4678.38
2026-03-19 20:00:00,4643.45,4665.1,4642.41,4648.68
2026-03-19 19:00:00,4637.02,4647.97,4634.58,4643.44
2026-03-19 18:00:00,4654.71,4677.08,4636.36,4637.0
2026-03-19 17:00:00,4650.02,4651.92,4650.02,4651.92
2026-03-19 16:00:00,4643.33,4661.97,4643.19,4649.82
2026-03-19 15:00:00,4623.72,4663.18,4623.69,4643.33
2026-03-19 14:00:00,4615.57,4623.73,4596.35,4623.73
2026-03-19 13:00:00,4584.96,4629.75,4574.16,4615.57
2026-03-19 12:00:00,4596.12,4626.5,4576.98,4585.05
2026-03-19 11:00:00,4601.42,4638.5,4566.53,4596.09
2026-03-19 10:00:00,4621.92,4649.11,4581.38,4601.44
2026-03-19 09:00:00,4573.23,4621.85,4502.8,4621.85
2026-03-19 08:00:00,4651.98,4653.88,4531.74,4573.27
2026-03-19 07:00:00,4679.95,4699.54,4651.35,4651.98
2026-03-19 06:00:00,4699.01,4719.68,4666.87,4679.85
2026-03-19 05:00:00,4709.79,4725.87,4688.0,4699.02
2026-03-19 04:00:00,4727.79,4740.43,4687.01,4709.81
2026-03-19 03:00:00,4764.68,4784.35,4727.38,4727.78
2026-03-19 02:00:00,4827.53,4842.21,4748.31,4764.7
2026-03-19 01:00:00,4849.73,4853.71,4827.19,4827.5
2026-03-19 00:00:00,4851.25,4853.79,4845.88,4849.73
2026-03-18 23:00:00,4858.82,4865.95,4850.92,4851.19
2026-03-18 22:00:00,4849.91,4862.12,4841.68,4858.82
2026-03-18 21:00:00,4841.36,4867.07,4833.04,4849.94
2026-03-18 20:00:00,4836.83,4848.71,4835.71,4841.33
2026-03-18 19:00:00,4834.74,4842.61,4828.39,4836.84
2026-03-18 18:00:00,4829.46,4838.98,4804.91,4834.72
2026-03-18 16:00:00,4842.06,4848.67,4807.09,4818.5
2026-03-18 15:00:00,4852.81,4865.42,4839.03,4842.05
2026-03-18 14:00:00,4890.19,4899.32,4852.53,4852.84
2026-03-18 13:00:00,4887.34,4899.01,4884.05,4890.19
2026-03-18 12:00:00,4862.64,4890.36,4861.07,4887.34
2026-03-18 11:00:00,4870.25,4880.14,4861.22,4862.64
2026-03-18 10:00:00,4878.79,4894.55,4856.87,4870.24
2026-03-18 09:00:00,4880.92,4885.5,4834.51,4878.76
2026-03-18 08:00:00,4930.01,4932.57,4870.98,4880.92
2026-03-18 07:00:00,4967.95,4974.05,4925.23,4930.02
2026-03-18 06:00:00,4991.93,4991.93,4959.15,4967.94
2026-03-18 05:00:00,4987.67,4995.66,4984.9,4991.93
2026-03-18 04:00:00,4994.6,4996.83,4977.62,4987.65
2026-03-18 03:00:00,5010.2,5014.88,4990.53,4994.59
2026-03-18 02:00:00,4997.66,5016.33,4996.43,5010.2
2026-03-18 01:00:00,4987.21,5002.56,4984.84,4997.67
2026-03-18 00:00:00,4991.44,4993.46,4981.93,4987.21
2026-03-17 23:00:00,4991.95,4997.64,4986.31,4991.46
2026-03-17 22:00:00,4999.25,5007.06,4990.67,4991.93
2026-03-17 21:00:00,5004.12,5016.0,4991.57,4999.25
2026-03-17 20:00:00,5003.02,5012.37,5000.36,5004.13
2026-03-17 19:00:00,5000.13,5003.72,4998.96,5003.02
2026-03-17 18:00:00,5005.53,5005.61,4993.39,5000.14
2026-03-17 16:00:00,5000.15,5006.4,5000.15,5005.61
2026-03-17 15:00:00,5003.2,5005.66,4996.53,5000.14
2026-03-17 14:00:00,5002.88,5009.08,4999.94,5003.19
2026-03-17 13:00:00,5001.69,5008.81,4996.56,5002.88
2026-03-17 12:00:00,4997.89,5005.91,4991.67,5001.69
2026-03-17 11:00:00,5007.52,5017.53,4973.81,4997.9
2026-03-17 10:00:00,5017.61,5020.56,5003.13,5007.51
2026-03-17 09:00:00,5012.28,5031.47,5005.63,5017.63
2026-03-17 08:00:00,5002.68,5023.94,4999.51,5012.27
2026-03-17 07:00:00,5000.22,5011.47,4996.88,5002.69
2026-03-17 06:00:00,5010.05,5016.53,4992.27,5000.23
2026-03-17 05:00:00,5025.06,5025.96,5010.09,5010.09
2026-03-17 04:00:00,5021.04,5029.67,5018.53,5025.04
2026-03-17 03:00:00,5010.06,5028.08,5009.06,5021.04
2026-03-17 02:00:00,5021.33,5022.84,5005.18,5010.04
2026-03-17 01:00:00,5038.24,5044.56,5020.2,5021.32
2026-03-17 00:00:00,5027.29,5041.8,5026.41,5038.25
2026-03-16 23:00:00,5022.39,5033.56,5020.7,5027.3
2026-03-16 22:00:00,5027.88,5029.69,5020.05,5022.39
2026-03-16 21:00:00,5001.23,5027.95,4995.05,5027.88
2026-03-16 20:00:00,5013.0,5014.14,4998.47,5001.19
2026-03-16 19:00:00,5002.3,5015.63,5002.12,5013.0
2026-03-16 18:00:00,5010.81,5016.16,4998.54,5002.31
2026-03-16 16:00:00,5013.31,5021.64,5004.84,5006.41
2026-03-16 15:00:00,5012.9,5020.3,5008.19,5013.3
2026-03-16 14:00:00,4991.72,5017.88,4990.12,5012.91
2026-03-16 13:00:00,4992.36,5003.94,4984.13,4991.68
2026-03-16 12:00:00,4986.92,4998.91,4974.17,4992.35
2026-03-16 11:00:00,4996.59,5005.77,4984.02,4986.91
2026-03-16 10:00:00,5029.96,5038.04,4988.16,4996.59
2026-03-16 09:00:00,5020.17,5034.39,5014.03,5029.96
2026-03-16 08:00:00,4996.99,5025.04,4994.44,5020.13
2026-03-16 07:00:00,4999.33,5022.68,4992.93,4997.04
2026-03-16 06:00:00,4975.58,4999.5,4970.23,4999.34
2026-03-16 05:00:00,4990.68,4991.62,4972.9,4975.56
2026-03-16 04:00:00,4994.95,5003.51,4985.21,4990.68
2026-03-16 03:00:00,5012.31,5016.47,4992.0,4994.95
2026-03-16 02:00:00,5017.4,5035.97,5005.62,5012.32
2026-03-16 01:00:00,5012.53,5020.12,5003.31,5017.4
2026-03-16 00:00:00,5019.21,5026.22,5012.47,5012.51
2026-03-15 23:00:00,5003.8,5020.73,4998.24,5019.21
2026-03-15 22:00:00,5016.06,5018.86,4997.97,5003.81
2026-03-15 21:00:00,5026.01,5026.32,4982.92,5016.07
2026-03-15 20:00:00,4997.65,5030.87,4996.95,5025.98
2026-03-15 19:00:00,5024.49,5026.2,4967.91,4997.67
