datetime,open,high,low,close
2026-03-19 19:30:00,659.8,659.8,659.8,659.8
2026-03-19 18:30:00,659.8,659.8,659.8,659.8
2026-03-19 17:30:00,659.8,659.8,659.8,659.8
2026-03-19 16:30:00,659.8,659.8,659.8,659.8
2026-03-19 15:30:00,660.19,660.74,658.97,659.8
2026-03-19 14:30:00,657.15,662.98,656.32,660.2
2026-03-19 13:30:00,657.1701,658.62,656.16,657.16
2026-03-19 12:30:00,658.02,658.71,655.61,657.16
2026-03-19 11:30:00,657.66,659.04,656.18,658.07
2026-03-19 10:30:00,656.3,659.71,656.26,657.6599
2026-03-19 09:30:00,656.97,659.47,655.17,656.29
2026-03-18 19:30:00,661.43,661.43,661.43,661.43
2026-03-18 18:30:00,661.43,661.43,661.43,661.43
2026-03-18 17:30:00,661.43,661.43,661.43,661.43
2026-03-18 16:30:00,661.43,661.43,661.43,661.43
2026-03-18 15:30:00,662.91,663.2192,661.19,661.43
2026-03-18 14:30:00,666.0,666.3,662.68,662.92
2026-03-18 13:30:00,665.855,667.44,665.29,665.95
2026-03-18 12:30:00,667.05,667.296,665.43,665.86
2026-03-18 11:30:00,666.83,667.62,666.4918,667.07
2026-03-18 10:30:00,665.92,668.0,665.66,666.83
2026-03-18 09:30:00,668.36,669.72,665.72,665.91
2026-03-17 19:30:00,670.79,670.79,670.79,670.79
2026-03-17 18:30:00,670.79,670.79,670.79,670.79
2026-03-17 17:30:00,670.79,670.79,670.79,670.79
2026-03-17 16:30:00,670.79,670.79,670.79,670.79
2026-03-17 15:30:00,671.06,671.28,670.47,670.79
2026-03-17 14:30:00,670.93,671.605,670.59,671.06
2026-03-17 13:30:00,671.49,672.3,670.86,670.92
2026-03-17 12:30:00,671.19,671.94,670.72,671.49
2026-03-17 11:30:00,671.7,672.19,669.7,671.2
2026-03-17 10:30:00,672.63,673.47,671.6,671.7
2026-03-17 09:30:00,672.39,674.44,671.56,672.61
2026-03-16 19:30:00,669.03,669.03,669.03,669.03
2026-03-16 18:30:00,669.03,669.03,669.03,669.03
2026-03-16 17:30:00,669.03,669.03,669.03,669.03
2026-03-16 16:30:00,669.03,669.03,669.03,669.03
2026-03-16 15:30:00,669.21,669.43,668.42,669.03
2026-03-16 14:30:00,669.82,672.07,668.69,669.2
2026-03-16 13:30:00,669.27,670.08,667.98,669.82
2026-03-16 12:30:00,667.48,669.75,667.12,669.26
2026-03-16 11:30:00,670.07,670.64,667.15,667.48
2026-03-16 10:30:00,670.29,670.35,667.575,670.06
2026-03-16 09:30:00,668.38,671.4,667.69,670.29
2026-03-13 19:30:00,662.29,662.29,662.29,662.29
2026-03-13 18:30:00,662.29,662.29,662.29,662.29
2026-03-13 17:30:00,662.29,662.29,662.29,662.29
2026-03-13 16:30:00,662.29,662.29,662.29,662.29
2026-03-13 15:30:00,662.43,663.0,661.36,662.29
2026-03-13 14:30:00,663.23,664.81,662.16,662.42
2026-03-13 13:30:00,664.45,664.52,662.08,663.24
2026-03-13 12:30:00,664.38,665.23,663.13,664.45
2026-03-13 11:30:00,664.68,665.33,663.1,664.345
2026-03-13 10:30:00,668.775,670.23,664.43,664.67
2026-03-13 09:30:00,669.27,672.335,667.73,668.785
2026-03-12 19:30:00,666.06,666.06,666.06,666.06
2026-03-12 18:30:00,666.06,666.06,666.06,666.06
2026-03-12 17:30:00,666.06,666.06,666.06,666.06
2026-03-12 16:30:00,666.06,666.06,666.06,666.06
2026-03-12 15:30:00,667.99,668.65,665.87,666.06
2026-03-12 14:30:00,668.12,668.48,666.87,667.98
2026-03-12 13:30:00,668.6401,669.75,667.2701,668.12
2026-03-12 12:30:00,668.81,670.3099,667.99,668.67
2026-03-12 11:30:00,668.13,671.31,667.24,668.81
2026-03-12 10:30:00,668.04,670.551,666.92,668.145
2026-03-12 09:30:00,671.16,671.65,668.02,668.04
2026-03-11 19:30:00,676.33,676.33,676.33,676.33
2026-03-11 18:30:00,676.33,676.33,676.33,676.33
2026-03-11 17:30:00,676.33,676.33,676.33,676.33
2026-03-11 16:30:00,676.33,676.33,676.33,676.33
2026-03-11 15:30:00,675.07,676.6,674.75,676.33
2026-03-11 14:30:00,675.23,675.79,674.32,675.04
2026-03-11 13:30:00,676.475,676.6399,673.34,675.24
2026-03-11 12:30:00,674.73,676.77,674.73,676.4801
2026-03-11 11:30:00,674.69,675.29,673.51,674.681
2026-03-11 10:30:00,676.14,678.64,674.59,674.69
2026-03-11 09:30:00,677.58,680.08,675.195,676.13
2026-03-10 19:30:00,677.18,677.18,677.18,677.18
2026-03-10 18:30:00,677.18,677.18,677.18,677.18
2026-03-10 17:30:00,677.18,677.18,677.18,677.18
2026-03-10 16:30:00,677.18,677.18,677.18,677.18
2026-03-10 15:30:00,677.39,678.32,676.23,677.18
2026-03-10 14:30:00,679.38,680.37,677.38,677.38
2026-03-10 13:30:00,683.21,683.24,677.38,679.38
2026-03-10 12:30:00,680.722,683.36,680.62,683.205
2026-03-10 11:30:00,681.11,681.9499,679.68,680.72
2026-03-10 10:30:00,677.69,681.685,677.69,681.11
2026-03-10 09:30:00,677.72,678.785,674.76,677.69
2026-03-09 19:30:00,678.27,678.27,678.27,678.27
2026-03-09 18:30:00,678.27,678.27,678.27,678.27
2026-03-09 17:30:00,678.27,678.27,678.27,678.27
2026-03-09 16:30:00,678.27,678.27,678.27,678.27
2026-03-09 15:30:00,677.45,679.92,675.88,678.27
2026-03-09 14:30:00,670.02,677.515,669.9,677.47
2026-03-09 13:30:00,668.89,670.87,668.09,670.01
2026-03-09 12:30:00,670.92,672.25,668.71,668.91
2026-03-09 11:30:00,669.75,671.6,668.37,670.92
2026-03-09 10:30:00,664.07,669.92,664.02,669.74
2026-03-09 09:30:00,666.39,667.63,662.39,664.01
2026-03-06 19:30:00,672.38,672.38,672.38,672.38
2026-03-06 18:30:00,672.38,672.38,672.38,672.38
2026-03-06 17:30:00,672.38,672.38,672.38,672.38
2026-03-06 16:30:00,672.38,672.38,672.38,672.38
2026-03-06 15:30:00,672.2178,673.4,671.14,672.38
2026-03-06 14:30:00,674.8,675.97,671.98,672.22
2026-03-06 13:30:00,674.61,675.43,673.69,674.8
2026-03-06 12:30:00,673.85,676.11,672.03,674.63
2026-03-06 11:30:00,674.32,676.0,673.35,673.88
2026-03-06 10:30:00,674.24,676.01,672.46,674.36
2026-03-06 09:30:00,673.41,674.36,669.76,674.23
2026-03-05 19:30:00,681.31,681.31,681.31,681.31
2026-03-05 18:30:00,681.31,681.31,681.31,681.31
2026-03-05 17:30:00,681.31,681.31,681.31,681.31
2026-03-05 16:30:00,681.31,681.31,681.31,681.31
2026-03-05 15:30:00,679.42,681.75,679.17,681.31
