datetime_utc,BTC_BINANCE_CLOSE,ETH_BINANCE_CLOSE,XRP_BINANCE_CLOSE,SOL_BINANCE_CLOSE,DOGE_BINANCE_CLOSE,USDT_BINANCE_CLOSE,BTC_UPBIT_CLOSE,ETH_UPBIT_CLOSE,XRP_UPBIT_CLOSE,SOL_UPBIT_CLOSE,DOGE_UPBIT_CLOSE,USDT_UPBIT_CLOSE,USDKRW,BTC_KP,ETH_KP,XRP_KP,SOL_KP,DOGE_KP,USDT_KP,MKT_KP_EQ,RESIDUAL_RAW,BTC_KP_pct,ETH_KP_pct,XRP_KP_pct,SOL_KP_pct,DOGE_KP_pct,USDT_KP_pct,MKT_KP_EQ_pct,RESIDUAL_RAW_pct,VIX,SPY,DXY,XAUUSD
2025-06-01 18:00:00+00:00,104900.01,2520.2,2.1573,154.72,0.19084,0.9995,148295000.0,3563000.0,3051.0,218850.0,269.7,1413.5,,,,,,,,,,,,,,,,,,,,,
2025-06-01 19:00:00+00:00,105121.94,2526.38,2.1675,155.89,0.19188,0.9994,148483000.0,3570000.0,3061.0,220100.0,271.0,1411.0,,,,,,,,,,,,,,,,,,,,,
2025-06-01 20:00:00+00:00,104948.91,2525.7,2.1552,155.69,0.19139,0.9995,148083000.0,3565000.0,3043.0,219500.0,270.0,1411.0,,,,,,,,,,,,,,,,,,,,,
2025-06-01 21:00:00+00:00,105496.54,2539.4,2.1725,156.91,0.19321,0.9995,148739000.0,3582000.0,3064.0,221150.0,273.0,1410.5,,,,,,,,,,,,,,,,,,,,,
2025-06-01 22:00:00+00:00,105512.18,2535.28,2.1728,157.2,0.19364,0.9994,149011000.0,3580000.0,3067.0,222050.0,273.4,1412.0,,,,,,,,,,,,,,,,,,,,,
2025-06-01 23:00:00+00:00,105642.93,2539.21,2.1792,157.68,0.19363,0.9994,149100000.0,3581000.0,3073.0,222400.0,273.2,1411.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 00:00:00+00:00,105427.48,2534.32,2.1707,157.81,0.19284,0.9995,148441000.0,3564000.0,3053.0,222000.0,271.2,1407.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 01:00:00+00:00,105388.59,2526.23,2.1642,158.06,0.1921,0.9995,148206000.0,3552000.0,3042.0,222150.0,270.1,1405.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 02:00:00+00:00,105026.98,2508.53,2.1595,156.86,0.1908,0.9995,147621000.0,3525000.0,3037.0,220350.0,268.0,1405.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 03:00:00+00:00,104829.27,2496.31,2.1574,155.46,0.19032,0.9995,147511000.0,3514000.0,3035.0,218700.0,267.7,1406.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 04:00:00+00:00,104765.48,2492.59,2.1695,155.29,0.19039,0.9995,147134000.0,3501000.0,3044.0,217950.0,267.4,1402.5,,,,,,,,,,,,,,,,,,,,,
2025-06-02 05:00:00+00:00,104833.79,2492.91,2.1691,155.35,0.19072,0.9995,147000000.0,3496000.0,3041.0,217950.0,267.5,1402.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 06:00:00+00:00,105162.38,2494.79,2.1671,155.73,0.1918,0.9995,147547000.0,3501000.0,3039.0,218500.0,269.0,1402.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 07:00:00+00:00,105387.67,2506.94,2.1633,155.55,0.19187,0.9995,147613000.0,3509000.0,3032.0,218000.0,268.7,1399.5,,,,,,,,,,,,,,,,,,,,,
2025-06-02 08:00:00+00:00,105328.43,2494.58,2.1632,154.86,0.19114,0.9994,147665000.0,3498000.0,3035.0,217150.0,268.2,1401.5,,,,,,,,,,,,,,,,,,,,,
2025-06-02 09:00:00+00:00,104585.36,2481.52,2.1531,153.54,0.18968,0.9994,147099000.0,3492000.0,3028.0,216000.0,267.0,1405.5,1378.41,0.02037640978042221,0.020887861710892297,0.020265625407559718,0.0205958539671236,0.021201173629562087,0.020265237689635285,0.02066538489911198,-0.0004001472094766964,2.037640978042221,2.0887861710892297,2.0265625407559718,2.05958539671236,2.1201173629562087,2.0265237689635285,2.0665384899111983,-0.04001472094766964,19.45,588.59,98.66,3371.97
2025-06-02 10:00:00+00:00,104370.85,2482.1,2.1462,154.01,0.19009,0.9994,146961000.0,3493000.0,3021.0,216700.0,267.5,1406.5,1376.84,0.02267915385938668,0.022105761637859933,0.022344017856417153,0.021942629617803355,0.022070941492427387,0.022155375093682927,0.0222285008927789,-7.312579909597369e-05,2.267915385938668,2.2105761637859933,2.2344017856417153,2.1942629617803355,2.2070941492427387,2.2155375093682927,2.22285008927789,-0.007312579909597369,18.97,588.55,98.723,3376.09
2025-06-02 11:00:00+00:00,104047.64,2480.94,2.143,153.45,0.18928,0.9994,146546000.0,3492000.0,3018.0,216000.0,266.5,1406.0,1376.93,0.022892213080723645,0.02222409016403426,0.022787006547758448,0.022292079794241637,0.022540748597991822,0.02172521948383599,0.02254722763694996,-0.000822008153113972,2.2892213080723645,2.222409016403426,2.278700654775845,2.2292079794241637,2.254074859799182,2.172521948383599,2.2547227636949962,-0.0822008153113972,18.94,589.39,98.825,3374.7
2025-06-02 12:00:00+00:00,104200.32,2497.69,2.1522,154.21,0.19044,0.9994,146594000.0,3511000.0,3026.0,216950.0,267.8,1406.0,1378.8,0.020342244589137692,0.019508895961672934,0.01972959062783719,0.020342185190973305,0.019884813797824474,0.020339502802348752,0.019961546033489118,0.0003779567688596344,2.0342244589137692,1.9508895961672934,1.972959062783719,2.0342185190973305,1.9884813797824474,2.0339502802348752,1.9961546033489117,0.03779567688596344,18.92,589.84,98.881,3371.83
2025-06-02 13:00:00+00:00,103800.0,2504.67,2.143,152.24,0.18945,0.9995,146250000.0,3525000.0,3019.0,214500.0,266.9,1408.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 14:00:00+00:00,104176.62,2531.4,2.15,153.01,0.19157,0.9995,146620000.0,3558000.0,3025.0,215200.0,269.3,1405.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 15:00:00+00:00,104438.79,2544.39,2.1594,153.16,0.19189,0.9995,146915000.0,3577000.0,3037.0,215500.0,269.8,1406.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 16:00:00+00:00,104286.06,2546.78,2.1633,153.04,0.1918,0.9995,146647000.0,3580000.0,3041.0,215250.0,269.8,1405.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 17:00:00+00:00,104399.89,2549.74,2.1686,153.67,0.19239,0.9994,146713000.0,3581000.0,3044.0,215950.0,270.0,1404.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 18:00:00+00:00,104361.54,2544.47,2.1655,153.22,0.19116,0.9994,146601000.0,3572000.0,3042.0,215200.0,268.6,1404.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 19:00:00+00:00,104425.63,2532.44,2.1653,152.95,0.19024,0.9994,146834000.0,3560000.0,3045.0,215000.0,267.7,1405.5,,,,,,,,,,,,,,,,,,,,,
2025-06-02 20:00:00+00:00,104878.62,2539.74,2.1763,154.31,0.19208,0.9994,147210000.0,3564000.0,3054.0,216600.0,269.9,1404.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 21:00:00+00:00,104942.0,2560.55,2.1859,155.43,0.19353,0.9994,147311000.0,3590000.0,3064.0,217950.0,271.3,1403.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 22:00:00+00:00,105695.49,2584.57,2.1906,156.22,0.19482,0.9994,147928000.0,3618000.0,3066.0,218800.0,272.7,1401.0,,,,,,,,,,,,,,,,,,,,,
2025-06-02 23:00:00+00:00,105857.99,2607.41,2.1965,156.83,0.19507,0.9995,148074000.0,3647000.0,3073.0,219450.0,273.2,1400.0,,,,,,,,,,,,,,,,,,,,,
