month,method,candidate_id,member_prediction_sd_bp,member_rmses_bp
2025-08,ae_relu_1,f05,0.0006260403618329622,"[7.956937756785215, 7.957554254482448, 7.95759658230277]"
2025-08,ae_relu_2,f06,0.953810206451574,"[7.63924588786948, 7.822462884317599, 7.903706773440823]"
2025-08,ae_tanh_1,f08,0.2704477197417566,"[9.164615194441815, 8.858808790178436, 8.913673736227171]"
2025-08,ae_tanh_2,f10,0.11124421695569892,"[8.958143519837982, 8.918750955299041, 9.014464036285307]"
2025-08,ae_selected,f05,0.0006260403618329622,"[7.956937756785215, 7.957554254482448, 7.95759658230277]"
2025-08,ae_reconstruction_selected,f05,0.0006260403618329622,"[7.956937756785215, 7.957554254482448, 7.95759658230277]"
2025-09,ae_relu_1,f05,0.0003705591077385618,"[6.032100389581355, 6.031960365535893, 6.032120667865007]"
2025-09,ae_relu_2,f06,1.8611531007153155,"[5.751317495355355, 5.583959312308448, 5.957099517565023]"
2025-09,ae_tanh_1,f08,0.2532186761181761,"[9.831968055284758, 9.588267256318952, 9.83243016564193]"
2025-09,ae_tanh_2,f10,0.11127577333170545,"[8.591008596170163, 8.698510004228297, 8.882290866311358]"
2025-09,ae_selected,f05,0.0003705591077385618,"[6.032100389581355, 6.031960365535893, 6.032120667865007]"
2025-09,ae_reconstruction_selected,f05,0.0003705591077385618,"[6.032100389581355, 6.031960365535893, 6.032120667865007]"
2025-10,ae_relu_1,f05,62.76921715112863,"[18.61918894608613, 178.31749108288963, 179.32146867902898]"
2025-10,ae_relu_2,f06,68.39226313407924,"[184.76128062183327, 203.41764515545512, 32.0860338901633]"
2025-10,ae_tanh_1,f08,2.048168156625019,"[150.96986934367433, 152.94601470893232, 153.6874587371877]"
2025-10,ae_tanh_2,f10,1.4426519816654952,"[149.46595500176485, 147.15081993184768, 148.5684944104914]"
2025-10,ae_selected,f05,62.76921715112863,"[18.61918894608613, 178.31749108288963, 179.32146867902898]"
2025-10,ae_reconstruction_selected,f05,62.76921715112863,"[18.61918894608613, 178.31749108288963, 179.32146867902898]"
2025-11,ae_relu_1,f05,0.011216775782506575,"[8.820909738886407, 8.821774525426868, 8.82090417786813]"
2025-11,ae_relu_2,f06,2.758222682519246,"[8.189232278324935, 8.691943871302371, 8.83614555318357]"
2025-11,ae_tanh_1,f08,1.1923974450141461,"[11.763255968614365, 11.16473778073723, 11.214097198079482]"
2025-11,ae_tanh_2,f10,0.3448025481827023,"[13.453118224091583, 13.03239638856609, 13.353362157982364]"
2025-11,ae_selected,f05,0.011216775782506575,"[8.820909738886407, 8.821774525426868, 8.82090417786813]"
2025-11,ae_reconstruction_selected,f05,0.011216775782506575,"[8.820909738886407, 8.821774525426868, 8.82090417786813]"
2025-12,ae_relu_1,f05,0.0028986808877531425,"[13.830521923913398, 13.835677242536466, 13.83330532866145]"
2025-12,ae_relu_2,f06,2.9328010252091574,"[8.981152893290288, 13.620350209339321, 13.930756628611801]"
2025-12,ae_tanh_1,f08,0.5042214931086282,"[13.183453637657726, 13.985476999049089, 13.02559221744215]"
2025-12,ae_tanh_2,f10,0.2315626307621113,"[13.116949686867551, 12.846744967014693, 12.897420968407816]"
2025-12,ae_selected,f05,0.0028986808877531425,"[13.830521923913398, 13.835677242536466, 13.83330532866145]"
2025-12,ae_reconstruction_selected,f05,0.0028986808877531425,"[13.830521923913398, 13.835677242536466, 13.83330532866145]"
2026-01,ae_relu_1,f05,0.01063242287857131,"[8.409705537501305, 8.409419514128647, 8.408925883170005]"
2026-01,ae_relu_2,f06,5.076050020212275,"[6.551830168190106, 11.395043571318974, 8.17781578290114]"
2026-01,ae_tanh_1,f08,0.33369219885841794,"[10.312291435427968, 10.134786595906847, 10.142385330428489]"
2026-01,ae_tanh_2,f10,0.6316475948231791,"[10.71728874033783, 10.561828516022011, 10.770161931974535]"
2026-01,ae_selected,f05,0.01063242287857131,"[8.409705537501305, 8.409419514128647, 8.408925883170005]"
2026-01,ae_reconstruction_selected,f05,0.01063242287857131,"[8.409705537501305, 8.409419514128647, 8.408925883170005]"
2026-02,ae_relu_1,f05,0.006324593345947079,"[9.857984094066662, 9.86708287209461, 9.863958954480776]"
2026-02,ae_relu_2,f06,10.28398239280004,"[7.203550773455178, 19.45617612567472, 9.885480499746643]"
2026-02,ae_tanh_1,f08,1.0986349829307855,"[10.506195004209323, 9.94533926171031, 9.910621300437002]"
2026-02,ae_tanh_2,f11,0.0816718279728303,"[11.893620101429159, 11.892757129962085, 11.808042404211934]"
2026-02,ae_selected,f06,10.28398239280004,"[7.203550773455178, 19.45617612567472, 9.885480499746643]"
2026-02,ae_reconstruction_selected,f06,10.28398239280004,"[7.203550773455178, 19.45617612567472, 9.885480499746643]"
2026-03,ae_relu_1,f05,0.04907694460556874,"[10.60531293904171, 10.593939767058048, 10.585217979206911]"
2026-03,ae_relu_2,f06,7.1471311958688215,"[7.676434765032137, 11.387388825265946, 10.836417399650285]"
2026-03,ae_tanh_1,f08,1.1767006286594297,"[14.060571753447158, 12.496420224391235, 13.639745538908235]"
2026-03,ae_tanh_2,f10,0.9882256476608363,"[14.773277986708726, 14.818544046662502, 14.876603397975865]"
2026-03,ae_selected,f06,7.1471311958688215,"[7.676434765032137, 11.387388825265946, 10.836417399650285]"
2026-03,ae_reconstruction_selected,f06,7.1471311958688215,"[7.676434765032137, 11.387388825265946, 10.836417399650285]"
