scenario,scope,sample,h,method,n,days
clock_FXUTC_USNY_quote,core,matched,6,linear,724,179
clock_FXUTC_USNY_quote,core,matched,6,pca,724,179
clock_FXUTC_USNY_quote,core,matched,6,ml,724,179
clock_FXUTC_USNY_quote,core,matched,6,joint_linear,724,179
clock_FXUTC_USNY_quote,core,all,12,linear,1340,179
clock_FXUTC_USNY_quote,core,all,12,pca,1340,179
clock_FXUTC_USNY_quote,core,all,12,ml,1340,179
clock_FXUTC_USNY_quote,core,all,12,joint_linear,1340,179
clock_FXUTC_USNY_quote,core,matched,12,linear,724,179
clock_FXUTC_USNY_quote,core,matched,12,pca,724,179
clock_FXUTC_USNY_quote,core,matched,12,ml,724,179
clock_FXUTC_USNY_quote,core,matched,12,joint_linear,724,179
clock_FXUTC_USNY_quote,full_macro,all,1,linear,501,163
clock_FXUTC_USNY_quote,full_macro,all,1,pca,501,163
clock_FXUTC_USNY_quote,full_macro,all,1,ml,501,163
clock_FXUTC_USNY_quote,full_macro,all,1,joint_linear,501,163
clock_FXUTC_USNY_quote,full_macro,matched,1,linear,188,123
clock_FXUTC_USNY_quote,full_macro,matched,1,pca,188,123
clock_FXUTC_USNY_quote,full_macro,matched,1,ml,188,123
clock_FXUTC_USNY_quote,full_macro,matched,1,joint_linear,188,123
clock_FXUTC_USNY_quote,full_macro,all,6,linear,188,123
clock_FXUTC_USNY_quote,full_macro,all,6,pca,188,123
clock_FXUTC_USNY_quote,full_macro,all,6,ml,188,123
clock_FXUTC_USNY_quote,full_macro,all,6,joint_linear,188,123
clock_FXUTC_USNY_quote,full_macro,matched,6,linear,188,123
clock_FXUTC_USNY_quote,full_macro,matched,6,pca,188,123
clock_FXUTC_USNY_quote,full_macro,matched,6,ml,188,123
clock_FXUTC_USNY_quote,full_macro,matched,6,joint_linear,188,123
clock_FXUTC_USNY_quote,full_macro,all,12,linear,562,128
clock_FXUTC_USNY_quote,full_macro,all,12,pca,562,128
clock_FXUTC_USNY_quote,full_macro,all,12,ml,562,128
clock_FXUTC_USNY_quote,full_macro,all,12,joint_linear,562,128
clock_FXUTC_USNY_quote,full_macro,matched,12,linear,188,123
clock_FXUTC_USNY_quote,full_macro,matched,12,pca,188,123
clock_FXUTC_USNY_quote,full_macro,matched,12,ml,188,123
clock_FXUTC_USNY_quote,full_macro,matched,12,joint_linear,188,123
clock_FXKST_USNY_quote,core,all,1,linear,2516,198
clock_FXKST_USNY_quote,core,all,1,pca,2516,198
clock_FXKST_USNY_quote,core,all,1,ml,2516,198
clock_FXKST_USNY_quote,core,all,1,joint_linear,2516,198
clock_FXKST_USNY_quote,core,matched,1,linear,723,163
clock_FXKST_USNY_quote,core,matched,1,pca,723,163
clock_FXKST_USNY_quote,core,matched,1,ml,723,163
clock_FXKST_USNY_quote,core,matched,1,joint_linear,723,163
clock_FXKST_USNY_quote,core,all,6,linear,1719,163
clock_FXKST_USNY_quote,core,all,6,pca,1719,163
clock_FXKST_USNY_quote,core,all,6,ml,1719,163
clock_FXKST_USNY_quote,core,all,6,joint_linear,1719,163
clock_FXKST_USNY_quote,core,matched,6,linear,723,163
clock_FXKST_USNY_quote,core,matched,6,pca,723,163
clock_FXKST_USNY_quote,core,matched,6,ml,723,163
clock_FXKST_USNY_quote,core,matched,6,joint_linear,723,163
clock_FXKST_USNY_quote,core,all,12,linear,1344,164
clock_FXKST_USNY_quote,core,all,12,pca,1344,164
clock_FXKST_USNY_quote,core,all,12,ml,1344,164
clock_FXKST_USNY_quote,core,all,12,joint_linear,1344,164
clock_FXKST_USNY_quote,core,matched,12,linear,723,163
clock_FXKST_USNY_quote,core,matched,12,pca,723,163
clock_FXKST_USNY_quote,core,matched,12,ml,723,163
clock_FXKST_USNY_quote,core,matched,12,joint_linear,723,163
clock_FXKST_USNY_quote,full_macro,all,1,linear,1324,129
clock_FXKST_USNY_quote,full_macro,all,1,pca,1324,129
clock_FXKST_USNY_quote,full_macro,all,1,ml,1324,129
clock_FXKST_USNY_quote,full_macro,all,1,joint_linear,1324,129
clock_FXKST_USNY_quote,full_macro,matched,1,linear,440,127
clock_FXKST_USNY_quote,full_macro,matched,1,pca,440,127
clock_FXKST_USNY_quote,full_macro,matched,1,ml,440,127
clock_FXKST_USNY_quote,full_macro,matched,1,joint_linear,440,127
clock_FXKST_USNY_quote,full_macro,all,6,linear,1190,128
clock_FXKST_USNY_quote,full_macro,all,6,pca,1190,128
clock_FXKST_USNY_quote,full_macro,all,6,ml,1190,128
clock_FXKST_USNY_quote,full_macro,all,6,joint_linear,1190,128
clock_FXKST_USNY_quote,full_macro,matched,6,linear,440,127
clock_FXKST_USNY_quote,full_macro,matched,6,pca,440,127
clock_FXKST_USNY_quote,full_macro,matched,6,ml,440,127
clock_FXKST_USNY_quote,full_macro,matched,6,joint_linear,440,127
clock_FXKST_USNY_quote,full_macro,all,12,linear,457,127
clock_FXKST_USNY_quote,full_macro,all,12,pca,457,127
clock_FXKST_USNY_quote,full_macro,all,12,ml,457,127
clock_FXKST_USNY_quote,full_macro,all,12,joint_linear,457,127
clock_FXKST_USNY_quote,full_macro,matched,12,linear,440,127
clock_FXKST_USNY_quote,full_macro,matched,12,pca,440,127
clock_FXKST_USNY_quote,full_macro,matched,12,ml,440,127
clock_FXKST_USNY_quote,full_macro,matched,12,joint_linear,440,127
clock_NY_macro_end1h_quote,core,all,1,linear,2523,164
clock_NY_macro_end1h_quote,core,all,1,pca,2523,164
clock_NY_macro_end1h_quote,core,all,1,ml,2523,164
clock_NY_macro_end1h_quote,core,all,1,joint_linear,2523,164
clock_NY_macro_end1h_quote,core,matched,1,linear,727,164
clock_NY_macro_end1h_quote,core,matched,1,pca,727,164
clock_NY_macro_end1h_quote,core,matched,1,ml,727,164
clock_NY_macro_end1h_quote,core,matched,1,joint_linear,727,164
clock_NY_macro_end1h_quote,core,all,6,linear,1729,164
clock_NY_macro_end1h_quote,core,all,6,pca,1729,164
clock_NY_macro_end1h_quote,core,all,6,ml,1729,164
clock_NY_macro_end1h_quote,core,all,6,joint_linear,1729,164
clock_NY_macro_end1h_quote,core,matched,6,linear,727,164
clock_NY_macro_end1h_quote,core,matched,6,pca,727,164
clock_NY_macro_end1h_quote,core,matched,6,ml,727,164
clock_NY_macro_end1h_quote,core,matched,6,joint_linear,727,164
clock_NY_macro_end1h_quote,core,all,12,linear,1343,164
clock_NY_macro_end1h_quote,core,all,12,pca,1343,164
clock_NY_macro_end1h_quote,core,all,12,ml,1343,164
clock_NY_macro_end1h_quote,core,all,12,joint_linear,1343,164
clock_NY_macro_end1h_quote,core,matched,12,linear,727,164
clock_NY_macro_end1h_quote,core,matched,12,pca,727,164
clock_NY_macro_end1h_quote,core,matched,12,ml,727,164
clock_NY_macro_end1h_quote,core,matched,12,joint_linear,727,164
clock_NY_macro_end1h_quote,full_macro,all,1,linear,1049,163
clock_NY_macro_end1h_quote,full_macro,all,1,pca,1049,163
clock_NY_macro_end1h_quote,full_macro,all,1,ml,1049,163
clock_NY_macro_end1h_quote,full_macro,all,1,joint_linear,1049,163
clock_NY_macro_end1h_quote,full_macro,matched,1,linear,0,0
clock_NY_macro_end1h_quote,full_macro,matched,1,pca,0,0
clock_NY_macro_end1h_quote,full_macro,matched,1,ml,0,0
clock_NY_macro_end1h_quote,full_macro,matched,1,joint_linear,0,0
clock_NY_macro_end1h_quote,full_macro,all,6,linear,237,163
clock_NY_macro_end1h_quote,full_macro,all,6,pca,237,163
clock_NY_macro_end1h_quote,full_macro,all,6,ml,237,163
clock_NY_macro_end1h_quote,full_macro,all,6,joint_linear,237,163
clock_NY_macro_end1h_quote,full_macro,matched,6,linear,0,0
clock_NY_macro_end1h_quote,full_macro,matched,6,pca,0,0
clock_NY_macro_end1h_quote,full_macro,matched,6,ml,0,0
clock_NY_macro_end1h_quote,full_macro,matched,6,joint_linear,0,0
clock_NY_macro_end1h_quote,full_macro,all,12,linear,593,128
clock_NY_macro_end1h_quote,full_macro,all,12,pca,593,128
clock_NY_macro_end1h_quote,full_macro,all,12,ml,593,128
clock_NY_macro_end1h_quote,full_macro,all,12,joint_linear,593,128
clock_NY_macro_end1h_quote,full_macro,matched,12,linear,0,0
clock_NY_macro_end1h_quote,full_macro,matched,12,pca,0,0
clock_NY_macro_end1h_quote,full_macro,matched,12,ml,0,0
clock_NY_macro_end1h_quote,full_macro,matched,12,joint_linear,0,0
