scenario,scope,method,variant,n,status,term,coef_raw,effect_bp_per_sd
clock_UTC_quote,core,linear,Aug_Nov,926,estimated,e_origin,0.3733590534652327,3.625466937839789
clock_UTC_quote,core,linear,Aug_Nov,926,estimated,downside,37499.04844392882,0.6118238478055673
clock_UTC_quote,core,linear,Aug_Nov,926,estimated,btc_vol,9.53047464821035,0.0184927737397805
clock_UTC_quote,core,linear,Aug_Nov,926,estimated,account_ls,0.1423042637035491,0.0901533674177035
clock_UTC_quote,core,linear,Dec_Mar,800,estimated,e_origin,0.2658358364479722,2.581373150028237
clock_UTC_quote,core,linear,Dec_Mar,800,estimated,downside,-161204.57429038515,-2.6301681514313224
clock_UTC_quote,core,linear,Dec_Mar,800,estimated,btc_vol,258.15019888338,0.5009103318611902
clock_UTC_quote,core,linear,Dec_Mar,800,estimated,account_ls,3.324079247987344,2.105888678034687
clock_UTC_quote,core,linear,exclude_top1_downside_days,1716,estimated,e_origin,0.3286574843089432,3.1913966788182604
clock_UTC_quote,core,linear,exclude_top1_downside_days,1716,estimated,downside,-61655.05300759948,-1.0059463728571765
clock_UTC_quote,core,linear,exclude_top1_downside_days,1716,estimated,btc_vol,-388.71543848981486,-0.7542569408651226
clock_UTC_quote,core,linear,exclude_top1_downside_days,1716,estimated,account_ls,1.4832543854588245,0.9396793469572924
clock_UTC_quote,core,linear,exclude_top5_downside_days,1672,estimated,e_origin,0.2680395792898978,2.602772381515325
clock_UTC_quote,core,linear,exclude_top5_downside_days,1672,estimated,downside,77364.48833583936,1.2622570678804934
clock_UTC_quote,core,linear,exclude_top5_downside_days,1672,estimated,btc_vol,-985.219037464086,-1.9117025559025052
clock_UTC_quote,core,linear,exclude_top5_downside_days,1672,estimated,account_ls,0.818183416586048,0.5183399868061317
clock_UTC_quote,core,pca,Aug_Nov,926,estimated,e_origin,0.3820611548791877,3.6922350941957016
clock_UTC_quote,core,pca,Aug_Nov,926,estimated,downside,42959.680563956674,0.700917974023776
clock_UTC_quote,core,pca,Aug_Nov,926,estimated,btc_vol,-0.5151316223976262,-0.0009995527915279
clock_UTC_quote,core,pca,Aug_Nov,926,estimated,account_ls,-0.012586519565928,-0.0079738800047557
clock_UTC_quote,core,pca,Dec_Mar,800,estimated,e_origin,0.2629898630464597,2.5415313474223997
clock_UTC_quote,core,pca,Dec_Mar,800,estimated,downside,-167739.82626671076,-2.736795470695522
clock_UTC_quote,core,pca,Dec_Mar,800,estimated,btc_vol,281.43086470143453,0.5460837467619444
clock_UTC_quote,core,pca,Dec_Mar,800,estimated,account_ls,3.3983555124738185,2.152944579160836
clock_UTC_quote,core,pca,exclude_top1_downside_days,1716,estimated,e_origin,0.3283700285207355,3.1733645980567804
clock_UTC_quote,core,pca,exclude_top1_downside_days,1716,estimated,downside,-48684.10413641916,-0.7943160468258053
clock_UTC_quote,core,pca,exclude_top1_downside_days,1716,estimated,btc_vol,-407.8648696194023,-0.791414177015105
clock_UTC_quote,core,pca,exclude_top1_downside_days,1716,estimated,account_ls,1.420973462267676,0.900222799377929
clock_UTC_quote,core,pca,exclude_top5_downside_days,1672,estimated,e_origin,0.2682342408969989,2.5922129613465006
clock_UTC_quote,core,pca,exclude_top5_downside_days,1672,estimated,downside,78010.54354991764,1.2727979216721106
clock_UTC_quote,core,pca,exclude_top5_downside_days,1672,estimated,btc_vol,-986.7204662609904,-1.9146159032490369
clock_UTC_quote,core,pca,exclude_top5_downside_days,1672,estimated,account_ls,0.7921935909360385,0.5018747717804702
clock_UTC_quote,core,ml,Aug_Nov,926,estimated,e_origin,0.2900791744370565,2.8203806499480133
clock_UTC_quote,core,ml,Aug_Nov,926,estimated,downside,17288.88791554218,0.2820805958471928
clock_UTC_quote,core,ml,Aug_Nov,926,estimated,btc_vol,259.4860200672924,0.503502336963007
clock_UTC_quote,core,ml,Aug_Nov,926,estimated,account_ls,0.4631019120583403,0.2933868300433453
clock_UTC_quote,core,ml,Dec_Mar,800,estimated,e_origin,0.2628934104250459,2.556059011132245
clock_UTC_quote,core,ml,Dec_Mar,800,estimated,downside,-174552.2135589294,-2.8479444512383
clock_UTC_quote,core,ml,Dec_Mar,800,estimated,btc_vol,327.6413312785469,0.6357497638664233
clock_UTC_quote,core,ml,Dec_Mar,800,estimated,account_ls,4.939891229611283,3.129546630833169
