scenario,method,info,algorithm,n,crossing_rate
clock_UTC_quote,linear,without_positioning,linear_qr,577,0.0
clock_UTC_quote,linear,without_positioning,quantile_lightgbm,577,0.0
clock_UTC_quote,linear,with_positioning,linear_qr,577,0.0
clock_UTC_quote,linear,with_positioning,quantile_lightgbm,577,0.0
clock_UTC_quote,pca,without_positioning,linear_qr,577,0.0
clock_UTC_quote,pca,without_positioning,quantile_lightgbm,577,0.0
clock_UTC_quote,pca,with_positioning,linear_qr,577,0.0
clock_UTC_quote,pca,with_positioning,quantile_lightgbm,577,0.0
clock_UTC_quote,ml,without_positioning,linear_qr,577,0.0
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,577,0.0
clock_UTC_quote,ml,with_positioning,linear_qr,577,0.0
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,577,0.0
clock_UTC_quote,joint_linear,without_positioning,linear_qr,577,0.0
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,577,0.0
clock_UTC_quote,joint_linear,with_positioning,linear_qr,577,0.0
clock_UTC_quote,joint_linear,with_positioning,quantile_lightgbm,577,0.0
clock_NY_quote,linear,without_positioning,linear_qr,577,0.0
clock_NY_quote,linear,without_positioning,quantile_lightgbm,577,0.0
clock_NY_quote,linear,with_positioning,linear_qr,577,0.0
clock_NY_quote,linear,with_positioning,quantile_lightgbm,577,0.0
clock_NY_quote,pca,without_positioning,linear_qr,577,0.0
clock_NY_quote,pca,without_positioning,quantile_lightgbm,577,0.0
clock_NY_quote,pca,with_positioning,linear_qr,577,0.0
clock_NY_quote,pca,with_positioning,quantile_lightgbm,577,0.0
clock_NY_quote,ml,without_positioning,linear_qr,577,0.0
clock_NY_quote,ml,without_positioning,quantile_lightgbm,577,0.0
clock_NY_quote,ml,with_positioning,linear_qr,577,0.0
clock_NY_quote,ml,with_positioning,quantile_lightgbm,577,0.0
clock_NY_quote,joint_linear,without_positioning,linear_qr,577,0.0
clock_NY_quote,joint_linear,without_positioning,quantile_lightgbm,577,0.0
clock_NY_quote,joint_linear,with_positioning,linear_qr,577,0.0
clock_NY_quote,joint_linear,with_positioning,quantile_lightgbm,577,0.0
clock_FXUTC_USNY_quote,linear,without_positioning,linear_qr,577,0.0
clock_FXUTC_USNY_quote,linear,without_positioning,quantile_lightgbm,577,0.0
clock_FXUTC_USNY_quote,linear,with_positioning,linear_qr,577,0.0
clock_FXUTC_USNY_quote,linear,with_positioning,quantile_lightgbm,577,0.0
clock_FXUTC_USNY_quote,pca,without_positioning,linear_qr,577,0.0
clock_FXUTC_USNY_quote,pca,without_positioning,quantile_lightgbm,577,0.0
clock_FXUTC_USNY_quote,pca,with_positioning,linear_qr,577,0.0
clock_FXUTC_USNY_quote,pca,with_positioning,quantile_lightgbm,577,0.0
clock_FXUTC_USNY_quote,ml,without_positioning,linear_qr,577,0.0
clock_FXUTC_USNY_quote,ml,without_positioning,quantile_lightgbm,577,0.0
clock_FXUTC_USNY_quote,ml,with_positioning,linear_qr,577,0.0
clock_FXUTC_USNY_quote,ml,with_positioning,quantile_lightgbm,577,0.0
clock_FXUTC_USNY_quote,joint_linear,without_positioning,linear_qr,577,0.0
clock_FXUTC_USNY_quote,joint_linear,without_positioning,quantile_lightgbm,577,0.0
clock_FXUTC_USNY_quote,joint_linear,with_positioning,linear_qr,577,0.0
clock_FXUTC_USNY_quote,joint_linear,with_positioning,quantile_lightgbm,577,0.0
clock_FXKST_USNY_quote,linear,without_positioning,linear_qr,577,0.0
clock_FXKST_USNY_quote,linear,without_positioning,quantile_lightgbm,577,0.0
clock_FXKST_USNY_quote,linear,with_positioning,linear_qr,577,0.0
clock_FXKST_USNY_quote,linear,with_positioning,quantile_lightgbm,577,0.0
clock_FXKST_USNY_quote,pca,without_positioning,linear_qr,577,0.0
clock_FXKST_USNY_quote,pca,without_positioning,quantile_lightgbm,577,0.0
clock_FXKST_USNY_quote,pca,with_positioning,linear_qr,577,0.0
clock_FXKST_USNY_quote,pca,with_positioning,quantile_lightgbm,577,0.0
clock_FXKST_USNY_quote,ml,without_positioning,linear_qr,577,0.0
clock_FXKST_USNY_quote,ml,without_positioning,quantile_lightgbm,577,0.0
clock_FXKST_USNY_quote,ml,with_positioning,linear_qr,577,0.0
clock_FXKST_USNY_quote,ml,with_positioning,quantile_lightgbm,577,0.0
clock_FXKST_USNY_quote,joint_linear,without_positioning,linear_qr,577,0.0
clock_FXKST_USNY_quote,joint_linear,without_positioning,quantile_lightgbm,577,0.0
clock_FXKST_USNY_quote,joint_linear,with_positioning,linear_qr,577,0.0
clock_FXKST_USNY_quote,joint_linear,with_positioning,quantile_lightgbm,577,0.0
clock_NY_macro_end1h_quote,linear,without_positioning,linear_qr,576,0.0
clock_NY_macro_end1h_quote,linear,without_positioning,quantile_lightgbm,576,0.0
clock_NY_macro_end1h_quote,linear,with_positioning,linear_qr,576,0.0
clock_NY_macro_end1h_quote,linear,with_positioning,quantile_lightgbm,576,0.0
clock_NY_macro_end1h_quote,pca,without_positioning,linear_qr,576,0.0
clock_NY_macro_end1h_quote,pca,without_positioning,quantile_lightgbm,576,0.0
clock_NY_macro_end1h_quote,pca,with_positioning,linear_qr,576,0.0
clock_NY_macro_end1h_quote,pca,with_positioning,quantile_lightgbm,576,0.0
clock_NY_macro_end1h_quote,ml,without_positioning,linear_qr,576,0.0
clock_NY_macro_end1h_quote,ml,without_positioning,quantile_lightgbm,576,0.0
clock_NY_macro_end1h_quote,ml,with_positioning,linear_qr,576,0.0
clock_NY_macro_end1h_quote,ml,with_positioning,quantile_lightgbm,576,0.0
clock_NY_macro_end1h_quote,joint_linear,without_positioning,linear_qr,576,0.0
clock_NY_macro_end1h_quote,joint_linear,without_positioning,quantile_lightgbm,576,0.0
clock_NY_macro_end1h_quote,joint_linear,with_positioning,linear_qr,576,0.0
clock_NY_macro_end1h_quote,joint_linear,with_positioning,quantile_lightgbm,576,0.0
