scenario,scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd
clock_UTC_quote,core,all,1,pca,M2,0.5,downside,2523,estimated,-118113.39369819163,-1.9924300011273768
clock_UTC_quote,core,all,1,pca,M2,0.5,btc_vol,2523,estimated,266.20063568970204,0.5200383710116488
clock_UTC_quote,core,all,1,pca,M2,0.5,btc_ret,2523,estimated,103.75867904121394,0.4737678521493362
clock_UTC_quote,core,all,1,pca,M2,0.5,account_ls,2523,estimated,0.720073793354352,0.4473399197274159
clock_UTC_quote,core,all,1,pca,M2,0.9,e_origin,2523,estimated,0.3325810914596794,3.190281693735544
clock_UTC_quote,core,all,1,pca,M2,0.9,downside,2523,estimated,-84524.26228805367,-1.4258220065727891
clock_UTC_quote,core,all,1,pca,M2,0.9,btc_vol,2523,estimated,568.855321455795,1.111291841752065
clock_UTC_quote,core,all,1,pca,M2,0.9,btc_ret,2523,estimated,101.57339955116583,0.4637897454510536
clock_UTC_quote,core,all,1,pca,M2,0.9,account_ls,2523,estimated,1.5057952080960146,0.9354628841270932
clock_UTC_quote,core,all,1,ml,M0,0.1,e_origin,2523,estimated,0.4745588712501595,4.598850644393504
clock_UTC_quote,core,all,1,ml,M0,0.1,downside,2523,estimated,-120163.92426778108,-2.0270199701153
clock_UTC_quote,core,all,1,ml,M0,0.5,e_origin,2523,estimated,0.379105194686903,3.673829053676558
clock_UTC_quote,core,all,1,ml,M0,0.5,downside,2523,estimated,-59761.28971642071,-1.0081006294791155
clock_UTC_quote,core,all,1,ml,M0,0.9,e_origin,2523,estimated,0.3672506394577859,3.5589490414015685
clock_UTC_quote,core,all,1,ml,M0,0.9,downside,2523,estimated,27000.000576188875,0.4554573320949189
clock_UTC_quote,core,all,1,ml,M1,0.1,e_origin,2523,estimated,0.4765758386295257,4.618396652895849
clock_UTC_quote,core,all,1,ml,M1,0.1,downside,2523,estimated,-100339.4421532416,-1.6926049500647304
clock_UTC_quote,core,all,1,ml,M1,0.1,btc_vol,2523,estimated,-185.91987157551367,-0.3632052451802818
clock_UTC_quote,core,all,1,ml,M1,0.1,btc_ret,2523,estimated,209.38336865288667,0.9560560114982568
clock_UTC_quote,core,all,1,ml,M1,0.5,e_origin,2523,estimated,0.3819302778199288,3.701206342720917
clock_UTC_quote,core,all,1,ml,M1,0.5,downside,2523,estimated,-103885.48199088148,-1.7524223504161247
clock_UTC_quote,core,all,1,ml,M1,0.5,btc_vol,2523,estimated,398.481657730269,0.7784570146767948
clock_UTC_quote,core,all,1,ml,M1,0.5,btc_ret,2523,estimated,105.04811161817798,0.479655472424812
clock_UTC_quote,core,all,1,ml,M1,0.9,e_origin,2523,estimated,0.363667075085973,3.524221469504909
clock_UTC_quote,core,all,1,ml,M1,0.9,downside,2523,estimated,5010.003761736595,0.08451269994114
clock_UTC_quote,core,all,1,ml,M1,0.9,btc_vol,2523,estimated,292.1975180883997,0.5708247875766306
clock_UTC_quote,core,all,1,ml,M1,0.9,btc_ret,2523,estimated,95.15479722988606,0.4344820531822885
clock_UTC_quote,core,all,1,ml,M2,0.1,e_origin,2523,estimated,0.4560683256959529,4.419662639514074
clock_UTC_quote,core,all,1,ml,M2,0.1,downside,2523,estimated,-162678.28112018234,-2.7441857158376366
clock_UTC_quote,core,all,1,ml,M2,0.1,btc_vol,2523,estimated,-2.6062497513772107,-0.0050914599495381
clock_UTC_quote,core,all,1,ml,M2,0.1,btc_ret,2523,estimated,207.89780231883708,0.9492728336685884
