scenario,block_days,scope,sample,h,method,q,term,metric,point,ci_low,ci_high,successful
clock_UTC_quote,3,core,all,6,linear,0.5,e_origin,coef_raw,0.2233490922327112,0.12235282203438323,0.3536107736189415,199
clock_UTC_quote,3,core,all,6,linear,0.5,e_origin,effect_bp_per_sd,2.1688097341441,1.1880952314401527,3.43370317853777,199
clock_UTC_quote,3,core,all,6,linear,0.5,downside,coef_raw,-73640.14464304537,-179741.57042692747,15035.342347151352,199
clock_UTC_quote,3,core,all,6,linear,0.5,downside,effect_bp_per_sd,-1.2014917316058196,-2.932612527319278,0.24531238497059693,199
clock_UTC_quote,3,core,all,6,linear,0.5,btc_vol,coef_raw,-39.34722271241341,-592.29552344162,741.0865244864611,199
clock_UTC_quote,3,core,all,6,linear,0.5,btc_vol,effect_bp_per_sd,-0.0763486934038541,-1.1492803355966743,1.437991907517638,199
clock_UTC_quote,3,core,all,6,linear,0.5,account_ls,coef_raw,1.5763941409574351,0.42752825799169936,2.713507931257185,199
clock_UTC_quote,3,core,all,6,linear,0.5,account_ls,effect_bp_per_sd,0.9986857490153068,0.27085001616304427,1.7190762325091196,199
clock_UTC_quote,3,core,all,6,pca,0.1,e_origin,coef_raw,0.3262484781343441,0.14303807400042076,0.46259034077877353,199
clock_UTC_quote,3,core,all,6,pca,0.1,e_origin,effect_bp_per_sd,3.152861956815444,1.3823184845827006,4.470468323322281,199
clock_UTC_quote,3,core,all,6,pca,0.1,downside,coef_raw,-58050.28972733869,-272359.1293667235,136578.53369346092,199
clock_UTC_quote,3,core,all,6,pca,0.1,downside,effect_bp_per_sd,-0.9471320767062974,-4.443734372707842,2.228376651661529,199
clock_UTC_quote,3,core,all,6,pca,0.1,btc_vol,coef_raw,-353.0273683582602,-1640.585100870862,594.5812276998489,199
clock_UTC_quote,3,core,all,6,pca,0.1,btc_vol,effect_bp_per_sd,-0.6850084059795918,-3.1833639132503304,1.153715477942016,199
clock_UTC_quote,3,core,all,6,pca,0.1,account_ls,coef_raw,1.564426303536166,-0.7240207500195021,3.912737558250996,199
clock_UTC_quote,3,core,all,6,pca,0.1,account_ls,effect_bp_per_sd,0.991103819871689,-0.4586855445914617,2.4788186770910676,199
clock_UTC_quote,3,core,all,6,pca,0.5,e_origin,coef_raw,0.2277079291875802,0.12208977082628485,0.35654540959747805,199
clock_UTC_quote,3,core,all,6,pca,0.5,e_origin,effect_bp_per_sd,2.2005670993662494,1.1798742969032348,3.4456511926905167,199
clock_UTC_quote,3,core,all,6,pca,0.5,downside,coef_raw,-67017.23242766513,-177153.32973707226,13554.753389385482,199
clock_UTC_quote,3,core,all,6,pca,0.5,downside,effect_bp_per_sd,-1.0934341727226564,-2.8903835256878905,0.22115551510993217,199
clock_UTC_quote,3,core,all,6,pca,0.5,btc_vol,coef_raw,-70.30021997268184,-567.8379653319578,692.1215931512954,199
clock_UTC_quote,3,core,all,6,pca,0.5,btc_vol,effect_bp_per_sd,-0.1364093720196543,-1.101823298560806,1.3429811730276042,199
clock_UTC_quote,3,core,all,6,pca,0.5,account_ls,coef_raw,1.4814274771966796,0.434805372903073,2.6743770939500173,199
clock_UTC_quote,3,core,all,6,pca,0.5,account_ls,effect_bp_per_sd,0.9385219541462192,0.2754602533918642,1.6942858526476658,199
clock_UTC_quote,3,core,all,6,ml,0.1,e_origin,coef_raw,0.3241879562036224,0.15114655746571387,0.4378393284930872,199
clock_UTC_quote,3,core,all,6,ml,0.1,e_origin,effect_bp_per_sd,3.1520133784071063,1.4695671511401611,4.2570224914097965,199
clock_UTC_quote,3,core,all,6,ml,0.1,downside,coef_raw,-91286.10415188032,-296998.098553298,115291.24989709219,199
clock_UTC_quote,3,core,all,6,ml,0.1,downside,effect_bp_per_sd,-1.4893982063810367,-4.845736811682623,1.8810593617015476,199
clock_UTC_quote,3,core,all,6,ml,0.1,btc_vol,coef_raw,-428.402455669327,-1533.1531305020362,565.8793625168047,199
clock_UTC_quote,3,core,all,6,ml,0.1,btc_vol,effect_bp_per_sd,-0.8312649657744928,-2.974904713285659,1.098022858389285,199
